rowname,Estimate.Intercept,Est.Error.Intercept,Q2.5.Intercept,Q97.5.Intercept,Estimate.pred_climb_difficulty,Est.Error.pred_climb_difficulty,Q2.5.pred_climb_difficulty,Q97.5.pred_climb_difficulty,n
?Vetcov Serghei,-0.4034882083220346,1.7404006440273103,-3.987347915227387,2.7717226623680173,0.0058444766076485395,0.12137602087119517,-0.22906157679144107,0.24491527497011437,19
Aaen Jorgensen Jonas,-0.7154367107716639,1.6130947850644115,-4.1419029551482645,2.1167342807614284,0.021273795973423267,0.12002129187331219,-0.2143864044213019,0.2565592750894963,46
Aalrust Hakon,1.3211717583322211,1.2421175857933746,-1.3799460044723977,3.4302240055203175,-0.04353185661873411,0.11595253484454814,-0.27047162606757225,0.1848716195127529,32
Aasheim Aksel,-0.4379426928031217,1.7395733661856545,-4.027778377979531,2.750076107563304,0.012330268416506609,0.12372712982302328,-0.22622754178396237,0.2578998205520194,19
Aaskov Jeppe,-0.16958192847660267,1.8605806605296276,-3.927156961697152,3.301612358596748,0.006056856669687509,0.12656804568185437,-0.2416652048943444,0.25904798012281116,4
Aasvold Kristian,-0.7251698592984235,1.610203263752171,-4.11338128042136,2.1304176946797564,0.021775562073011186,0.12153014140941387,-0.21518526714147285,0.2628880577570946,48
Abay Burak,-0.06739407488672403,1.8925911443788006,-3.81176469091644,3.5760373195324044,0.0011891936071204438,0.12610783074925577,-0.24190571949086714,0.24724227171692234,2
Abdul Halil Mohamad Izzat Hilmi,-0.12507729266742101,1.8599780313165621,-3.821071492323946,3.4465823796514656,0.002415081896706853,0.12484447123376252,-0.24266478199520472,0.25008801930452856,4
Aberasturi Jon,3.9898387505495094,0.40459164431828154,3.1672712048328147,4.744268529028276,-0.24707782776032033,0.08974023966208028,-0.4334632796872068,-0.08567257312384201,126
Abraham Daniel,-0.44465246248704604,1.727648843951816,-4.019458908992986,2.6457629605095625,0.014366083441924547,0.12310557734775199,-0.22209970358465647,0.2570613838835169,18
Abraham Meron,-0.30688632888447465,1.7688363270669258,-3.95954803559038,2.9984327726220634,0.005532515207030175,0.12357636213242948,-0.23872282025258112,0.24603167638678833,13
Abrahamsen Jonas,-0.682856266781424,1.6148594684853534,-4.084419250701308,2.183758700539974,0.018712812729979347,0.12090652750886426,-0.21548772128472465,0.25906641070915337,43
Abu-Fares Saned,-0.1509700233550897,1.8641563227298086,-3.876347537474823,3.3756999670777277,0.005196492804390357,0.1260390377457588,-0.24426757579173933,0.25284973396832666,4
Acar Fethi,-0.17448406661576,1.8745395056498693,-3.9277187050193767,3.3770601053829785,0.004050828596917298,0.12623630201845595,-0.23918771669342717,0.251526370511397,5
Acevedo Janier,-0.2608503989206463,1.82368381756979,-3.9881056561828254,3.131897747496491,0.002585760173081289,0.12468442522996281,-0.2445472666131806,0.24912326844628577,11
Achterberg Yannik,-0.06585910758872736,1.9181482938300454,-3.8510303529921512,3.634086768953029,0.0010338802364505257,0.1272056085720152,-0.2496150472503513,0.25088983059874465,2
Ackermann Pascal,6.491878172601731,0.2816172970863249,5.953166225474488,7.049168430532628,-0.4018854533481425,0.0797511015280574,-0.5645567847052134,-0.25466284591370175,127
Acosta Ruben Dario,-0.6670128701396993,1.6246288792677195,-4.102998195285591,2.238028515804392,0.010047577515807033,0.12011301230146705,-0.22417386639398404,0.24411096045089903,47
Acosta Thomas,-0.16415072759519142,1.8592961893205162,-3.902372587443199,3.348956436989863,0.005260584795170479,0.1247380630324067,-0.24246672845118114,0.2508862690164732,5
Adamietz Johannes,-0.3301710203385254,1.802444739641511,-4.018380937635186,3.0316476701054973,0.001673810393060887,0.12389397836293034,-0.24061614626844913,0.24350981847754125,16
Adams Jens,-0.35338118118816425,1.7183355627419838,-3.8463299239497473,2.8055119694748427,0.011416184572701184,0.1230655104956512,-0.23028201226494618,0.25618704896552724,15
Adria Roger,-0.29198315555107407,1.7775358158474497,-3.837043156148386,2.9964148841048615,0.005073792493298549,0.12602197470935433,-0.2443111583023156,0.25186247998034433,13
Aebi Antoine,-0.25184958978407956,1.8267167159512239,-3.9692485864025633,3.153761479861719,0.0058173400738347715,0.1252890554687072,-0.23866140147863463,0.25333605588700314,9
Aernouts Jim,-0.31466755510796574,1.7569288645768162,-3.928579900124453,2.9361504817163886,0.010112397842082302,0.12488835937613842,-0.2332737140832173,0.2535068769263817,11
Aerts Thijs,-0.40786058243000234,1.7510563094962814,-4.037716362382481,2.7628252714149335,0.01304822901173952,0.12402803159002733,-0.22737316091209395,0.2605995141767147,17
Aerts Toon,-0.4569650778801328,1.6932210286992984,-3.947430168459647,2.5616378783762306,0.013867245937999699,0.1235507125281586,-0.22721891489285242,0.25805983534574956,21
Afewerki Elyas,-0.11384142601367389,1.8321158699268705,-3.707851996619886,3.360900809834216,0.004399663929990274,0.1257015622954435,-0.24144161018392565,0.25022191011050915,3
