StravaSegment,OrderInRace,AtKM,race,year,stage,class
PeyresourdedescenttoD25,1,137.5,tour de france,2020,8,2.UWT
BalesdescenttoFabaslane,1,120.5,tour de france,2020,8,2.UWT
MentetoBoutx,1,69.5,tour de france,2020,8,2.UWT
ColdeLabays-Arette,1,99,tour de france,2020,9,2.UWT
DescenteMarie-blanque,1,147,tour de france,2020,9,2.UWT
Descenteichère,1,123,tour de france,2020,9,2.UWT
DescenteColdesGéants->Chaumeil,1,187.5,tour de france,2020,12,2.UWT
Descendonsparlaforet,1,197,tour de france,2020,12,2.UWT
DescenteColversCeyssat,1,44,tour de france,2020,13,2.UWT
Mont-Dore-LaBourbouleD130,1,78,tour de france,2020,13,2.UWT
DescentedelaStèleversTourd'Auvergne,1,92,tour de france,2020,13,2.UWT
DescenteFraisse-Montbrison,1,109,tour de france,2020,14,2.UWT
DescenteYzeron-->Vaugrenay,1,169,tour de france,2020,14,2.UWT
Biche-Culoz,1,156.5,tour de france,2020,15,2.UWT
ladescentdegrandcolombier,1,121.5,tour de france,2020,15,2.UWT
LePinetd'Uriage-UriagelesBains,1,107,tour de france,2020,16,2.UWT
ColdePorte-ColdeVenceDescente,1,80,tour de france,2020,16,2.UWT
DescenteMadeleineNord,1,133,tour de france,2020,17,2.UWT
DescentedesSaisies(versionentière),1,106,tour de france,2020,18,2.UWT
DécenteduMéraillet,1,63,tour de france,2020,18,2.UWT
DescenteColdesFleuries/LaRoche,1,174,tour de france,2020,18,2.UWT
AravistoLaClusazdescent,1,124,tour de france,2020,18,2.UWT
DHTurini-L'Escarène,1,126,tour de france,2020,2,2.UWT
DescenteEze-Nice,1,167,tour de france,2020,2,2.UWT
descenteSaint-MartinversRoquebillière,1,81.5,tour de france,2020,2,2.UWT
TopofRommetoReposir,1,53,criterium du dauphine,2020,5,2.UWT
colcolombieredescenttotopofvillage,1,72,criterium du dauphine,2020,5,2.UWT
ColdesAravis->Flumet,1,97,criterium du dauphine,2020,5,2.UWT
ColdesAravis->Flumet,1,61,criterium du dauphine,2020,4,2.UWT
DescenteRaffort-Ugine,1,78,criterium du dauphine,2020,4,2.UWT
DESCENT:SAISIES-FULLLENGTH,1,132,criterium du dauphine,2020,4,2.UWT
CroixFrydescenttoAravisroad,1,46,criterium du dauphine,2020,4,2.UWT
DescenteMadeleineNord,1,130,criterium du dauphine,2020,3,2.UWT
DescenteMontaud(côtéVeurey),1,104,criterium du dauphine,2020,2,2.UWT
SestriereDecent,1,149.5,giro d'italia,2020,20,2.UWT
SestriereDecent,2,176,giro d'italia,2020,20,2.UWT
PassoCampoCarloMagno-Dimarodownhill,1,29,giro d'italia,2020,18,2.UWT
StelvioDescent,1,189,giro d'italia,2020,18,2.UWT
gogogogo!!,1,75,giro d'italia,2020,18,2.UWT
DiscesaFolgaria-Calliano,1,87,giro d'italia,2020,17,2.UWT
MonteBodonedownhill,1,140,giro d'italia,2020,17,2.UWT
DiscesaPassoDurone,1,171,giro d'italia,2020,17,2.UWT
madonninadomdownhill,1,39,giro d'italia,2020,16,2.UWT
MontediRagogna-SanPietroDownhill,1,166,giro d'italia,2020,16,2.UWT
MontediRagogna-SanPietroDownhill,2,193,giro d'italia,2020,16,2.UWT
MontediRagogna-SanPietroDownhill,3,220,giro d'italia,2020,16,2.UWT
CastelmonteCarrariadescent,1,84,giro d'italia,2020,16,2.UWT
RestsudpureDH,1,115,giro d'italia,2020,15,2.UWT
DISCESASELLACHIANZUTANLAGODIVERZEGNIS,1,73,giro d'italia,2020,15,2.UWT
[A]DiscesadaPalaBarzana,1,150.5,giro d'italia,2020,15,2.UWT
DiscesaLettomanoppellodaPassoLanciano,1,111,giro d'italia,2020,9,2.UWT
DicessaCampoDiGiove-Cansano,1,171,giro d'italia,2020,9,2.UWT
DiscesaMonteSant'Angelo-Mattinata,1,124,giro d'italia,2020,8,2.UWT
S.Tecla-Pugnochiuso,1,154,giro d'italia,2020,8,2.UWT
SS18-ViboValentia/Pizzo,1,26,giro d'italia,2020,5,2.UWT
porticelle-savutoDH,1,162,giro d'italia,2020,5,2.UWT
Montescuro-MocconeDH,1,221,giro d'italia,2020,5,2.UWT
SellaMandrazzi-TermeVigliatore-FG,1,105,giro d'italia,2020,4,2.UWT
DescensoLaAlbercaporMogarraz,1,65,la vuelta ciclista a espana,2020,17,2.UWT
AltodelPortillo-LasMestas,1,106,la vuelta ciclista a espana,2020,16,2.UWT
SierraCasares-RíoGrande,1,136,la vuelta ciclista a espana,2020,16,2.UWT
BajadaSanEsteban(BF),1,57,la vuelta ciclista a espana,2020,16,2.UWT
BajadaelPadrun,1,33,la vuelta ciclista a espana,2020,12,2.UWT
Ast7iStoEmiliano-Sama,1,47,la vuelta ciclista a espana,2020,12,2.UWT
LAMOZQUETA-FIGAREDO,1,75,la vuelta ciclista a espana,2020,12,2.UWT
DescensoCordalhaciaAngluíru,1,90,la vuelta ciclista a espana,2020,12,2.UWT
Ast7iLaColladona-Cabañaquinta,1,60,la vuelta ciclista a espana,2020,11,2.UWT
BajadaCobertoria,1,103,la vuelta ciclista a espana,2020,11,2.UWT
SanLorenzoLaRiera,1,144,la vuelta ciclista a espana,2020,11,2.UWT
DescensoPto.deLaRasa(porAlmarzadeCameros),1,123,la vuelta ciclista a espana,2020,8,2.UWT
Barrerilladesdensorotonda,1,57,la vuelta ciclista a espana,2020,7,2.UWT
Barrerilladesdensorotonda,2,130,la vuelta ciclista a espana,2020,7,2.UWT
BajadaOrduña(berberana),1,71,la vuelta ciclista a espana,2020,7,2.UWT
BajadaOrduña(berberana),2,145,la vuelta ciclista a espana,2020,7,2.UWT
CotefabloBiescas(gasolinera),1,119,la vuelta ciclista a espana,2020,6,2.UWT
BajadaPetralbadespuestunel,1,75,la vuelta ciclista a espana,2020,6,2.UWT
Descensofanlo-sarvise,1,149,la vuelta ciclista a espana,2020,5,2.UWT
AltodePetralba-rotondaYebradeBasa<U+2193>,1,177,la vuelta ciclista a espana,2020,5,2.UWT
UrbasakojaitsieraOlaztialdetik,1,34,la vuelta ciclista a espana,2020,2,2.UWT
GuirguillanodescensoEstenoz,1,104,la vuelta ciclista a espana,2020,2,2.UWT
SanMigueDH,1,151,la vuelta ciclista a espana,2020,2,2.UWT
Udanajeitsiera,1,105,la vuelta ciclista a espana,2020,1,2.UWT
KarabietadescensoEibar,1,135,la vuelta ciclista a espana,2020,1,2.UWT
KarabietadescensoEibar,2,164,la vuelta ciclista a espana,2020,1,2.UWT
BajadametaARRATE,1,173,la vuelta ciclista a espana,2020,1,2.UWT
ColleGalloDHbyGambetta,1,68,il lombardia,2020,1,1.UWT
DiscesaCollesuGalbiate,1,121,il lombardia,2020,1,1.UWT
OnnoDownhill,1,150,il lombardia,2020,1,1.UWT
GhisallopicchiatavsSormano,1,173,il lombardia,2020,1,1.UWT
Sormano+discesaamissileaNesso,1,193,il lombardia,2020,1,1.UWT
CiviglioDH-fineDHviaRienza,1,220,il lombardia,2020,1,1.UWT
IlPoggio(Sanremo)_Discesa,1,288,milano-sanremo,2020,1,1.UWT
Cipressa(SantoStefano)_Discesa,1,303,milano-sanremo,2020,1,1.UWT
A-395downhillfromGR410junctiontoSE39junction,1,113,vuelta a andalucia ruta ciclista del sol,2020,4,2.Pro
Canales-Cenes,1,118,vuelta a andalucia ruta ciclista del sol,2020,4,2.Pro
PalomastoGraz,1,171,vuelta a andalucia ruta ciclista del sol,2020,1,2.Pro
DescensoPto.delViento,1,76,vuelta a andalucia ruta ciclista del sol,2020,1,2.Pro
Mongardino-PorrettanaDescent,1,43,giro dell'emilia,2020,1,1.Pro
Montalbano-ViaSaragozza,1,170,giro dell'emilia,2020,1,1.Pro
Montalbano-ViaSaragozza,2,179,giro dell'emilia,2020,1,1.Pro
Montalbano-ViaSaragozza,3,188,giro dell'emilia,2020,1,1.Pro
Montalbano-ViaSaragozza,4,197,giro dell'emilia,2020,1,1.Pro
discesarotondaIES-Torrenieri,1,69,strade bianche,2020,1,1.UWT
EroicaMontalcino-discesaversoBuonconvento,1,99,strade bianche,2020,1,1.UWT
VersoBuonconvento,1,47,strade bianche,2020,1,1.UWT
VersoBuonconvento,1,33,strade bianche,2020,1,1.UWT
BalesdescenttoFabaslane,1,110,la route d'occitanie - la depeche du midi,2020,3,2.1
PeyresourdedescenttoD25,1,128,la route d'occitanie - la depeche du midi,2020,3,2.1
ladescentdegrandcolombier,1,89,tour de l'ain,2020,3,2.1
Biche-Culoz,1,111,tour de l'ain,2020,3,2.1
DescenteColduCuvillat,1,59,tour de l'ain,2020,2,2.1
Descentecolmenthiere,1,128,tour de l'ain,2020,2,2.1
CyclingCols-FromGirondowntoLeBordaz,1,99,tour de l'ain,2020,2,2.1
DescenteLalleyriat-LaVoûte,1,84,tour de l'ain,2020,2,2.1
DescenteChaletReynard=>Sault,1,120,mont ventoux denivele challenge,2020,1,1.1
PuigMajorDownhill,1,131,trofeo serra de tramuntana,2020,1,1.1
BajadadeCollde`nClaretaSaGranja,1,14,trofeo serra de tramuntana,2020,1,1.1
DescensoaLlucalcari,1,138,trofeo serra de tramuntana,2020,1,1.1
DescensoaLlucalcari,1,95,pollenca - andratx,2020,1,1.1
PuigMajorDownhill,1,87,pollenca - andratx,2020,1,1.1
CollCremolatoAndraitxDownhill,1,146,pollenca - andratx,2020,1,1.1
ColldenClaretdownhill,1,114,pollenca - andratx,2020,1,1.1
CamptoPortd'Andratxdescent,1,167,pollenca - andratx,2020,1,1.1
RouteDesCrêtesdéscenteversCassis,1,128,grand prix cycliste la marseillaise,2020,1,1.1
STM.DescenteGineste327/Luminy,1,141,grand prix cycliste la marseillaise,2020,1,1.1
Descentedel'espigoulier-Gémenos,1,79,grand prix cycliste la marseillaise,2020,1,1.1
DescentedeLaBédouleversCassis,1,113,grand prix cycliste la marseillaise,2020,1,1.1
DescenteduPasdelaCouelle,1,49,grand prix cycliste la marseillaise,2020,1,1.1
DescentLaiguegliafinallap,1,164,trofeo laigueglia,2020,1,1.Pro
DescentLaiguegliafinallap,2,175,trofeo laigueglia,2020,1,1.Pro
DescentLaiguegliafinallap,3,186,trofeo laigueglia,2020,1,1.Pro
DescentLaiguegliafinallap,4,197,trofeo laigueglia,2020,1,1.Pro
CPCasodescent,1,81,trofeo laigueglia,2020,1,1.Pro
CPCasodescent,2,135,trofeo laigueglia,2020,1,1.Pro
CPCapoMele->LaiguegliaDiscesa,1,170.5,trofeo laigueglia,2020,1,1.Pro
CPCapoMele->LaiguegliaDiscesa,2,181.5,trofeo laigueglia,2020,1,1.Pro
CPCapoMele->LaiguegliaDiscesa,3,192.5,trofeo laigueglia,2020,1,1.Pro
