StravaSegment,OrderInRace,AtKM,race,year,stage,class,notes
viaCasanova,1,25.5,giro della toscana - memorial alfredo martini,2020,1,1.1,none
L'eo(salitadelCapitano),1,67,giro della toscana - memorial alfredo martini,2020,1,1.1,none
StrappodiPeccioli,1,87,giro della toscana - memorial alfredo martini,2020,1,1.1,none
SantoPietrodaCapannina,1,125.5,giro della toscana - memorial alfredo martini,2020,1,1.1,none
L'eo(salitadelCapitano),2,132,giro della toscana - memorial alfredo martini,2020,1,1.1,none
StrappodiPeccioli,2,153.5,giro della toscana - memorial alfredo martini,2020,1,1.1,none
StrappodiPeccioli,3,166.5,giro della toscana - memorial alfredo martini,2020,1,1.1,none
castagnolaaGPM,1,56.5,giro dell'appennino,2020,1,1.1,none
"IsoladelCantone-Crocefieschi""bombazza""",1,88,giro dell'appennino,2020,1,1.1,none
"[EB]PassodellaBocchetta,daCampomorone",1,127.5,giro dell'appennino,2020,1,1.1,none
FraconaltodaVoltaggio,1,143,giro dell'appennino,2020,1,1.1,none
Krtc-salitaGiovidaBusalla,1,155,giro dell'appennino,2020,1,1.1,none
Crocettad'OreroFM,1,100,giro dell'appennino,2020,1,1.1,none
Cold’Akarlanda,1,10,circuito de getxo-memorial hermanos otxoa,2020,1,1.1,none
Cold’Akarlanda,2,35,circuito de getxo-memorial hermanos otxoa,2020,1,1.1,none
Cold’Akarlanda,3,60.5,circuito de getxo-memorial hermanos otxoa,2020,1,1.1,none
Cold’Akarlanda,4,86,circuito de getxo-memorial hermanos otxoa,2020,1,1.1,none
Cold’Akarlanda,5,111,circuito de getxo-memorial hermanos otxoa,2020,1,1.1,none
Cold’Akarlanda,6,136.5,circuito de getxo-memorial hermanos otxoa,2020,1,1.1,none
Cold’Akarlanda,7,162,circuito de getxo-memorial hermanos otxoa,2020,1,1.1,none
IzarzaIgoera,1,171,circuito de getxo-memorial hermanos otxoa,2020,1,1.1,none
ColdeFontaubeparEygaliers,1,28.5,mont ventoux denivele challenge,2020,1,1.1,none
gfsantini78kms1erravito(montbrun)jusqu'aAurel,1,55,mont ventoux denivele challenge,2020,1,1.1,none
SteEstève-ChaletReynard,1,102.5,mont ventoux denivele challenge,2020,1,1.1,none
GFSantiniVentoux2020finalclimbKoM,1,179,mont ventoux denivele challenge,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,1,14.75,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,2,30,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,3,44.75,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,4,60,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,5,74.75,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,6,90,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,7,104.75,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,8,120,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,9,134.75,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,10,150,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,11,164.75,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,12,180,trofeo matteotti,2020,1,1.1,none
TrofeoMatteotti2018-VeloViewer,13,194.75,trofeo matteotti,2020,1,1.1,none
Sadurano,1,22,memorial marco pantani,2020,1,1.1,none
RoccaintegraledallachiesadiCollina,1,35,memorial marco pantani,2020,1,1.1,none
