eventid;race;marketid;title;pcs_url
11221520;Brugge-De Panne Classic 2023 Winner;295022363;Outright Winner;race/oxyclean-classic-brugge-de-panne/2023
10927843;Cadel Evans Great Ocean Race 2023 Winner;285700181;Outright Winner;race/great-ocean-race/2023
9092414;Clasica de Almeria 2022 Winner;230539961;Outright Winner;race/clasica-de-almeria/2022
10998365;Clasica de Almeria 2023 Winner;287767445;Outright Winner;race/clasica-de-almeria/2023
9097736;Clasica Jaen Paraiso Interior 2022 Winner;230743781;Outright Winner;race/clasica-jaen-paraiso-interior/2022
11020690;Clasica Jaén Paraiso Interior 2023 Winner;288468565;Outright Winner;race/clasica-jaen-paraiso-interior/2023
10894616;Clàssica Comunitat Valenciana 2023 Winner;284717607;Outright Winner;race/gp-de-valence/2023
11227176;E3 Saxo Classic 2023 Winner;295205256;Outright Winner;race/e3-harelbeke/2023
9022728;Etoile de Besseges 2022 Stage 1 Winner;228376513;Stage winner;race/etoile-de-besseges/2022
9022727;Etoile de Besseges 2022 Stage 2 Winner;228376512;Stage winner;race/etoile-de-besseges/2022
9022729;Etoile de Besseges 2022 Stage 3 Winner;228376514;Stage winner;race/etoile-de-besseges/2022
9022726;Etoile de Besseges 2022 Stage 4 Winner;228376516;Stage winner;race/etoile-de-besseges/2022
9022730;Etoile de Besseges 2022 Stage 5 Winner;228376515;Stage winner;race/etoile-de-besseges/2022
10960238;Etoile De Besseges 2023 Stage 2 Winner;286613128;Stage winner;race/etoile-de-besseges/2023
10960239;Etoile De Besseges 2023 Stage 3 Winner;286613129;Stage winner;race/etoile-de-besseges/2023
10960237;Etoile De Besseges 2023 Stage 4 Winner;286613130;Stage winner;race/etoile-de-besseges/2023
10960240;Etoile De Besseges 2023 Stage 5 Winner;286613131;Stage winner;race/etoile-de-besseges/2023
11081137;Faun-Ardeche Classic 2023 Winner;290416105;Outright Winner;race/faun-ardeche-classic/2023
10998354;Figueira Champions Classic 2023 Winner;287766774;Outright Winner;race/figueira-champions-classic/2023
11126427;GP JP Monsere 2023 Winner;291915180;Outright Winner;race/grote-prijs-jean-pierre-monsere/2023
10927842;GP Marseillaise 2023 Winner;285700036;Outright Winner;race/gp-d-ouverture/2023
11086715;Gran Camino 2023 Stage 3 Winner;290567156;Stage winner;race/gran-camino/2023
10333205;Gran Piemonte 2022 Winner;268567546;Outright Winner;race/gran-piemonte/2022
11120488;Grand Prix Criquielion 2023 Winner;291713031;Outright Winner;race/grand-prix-criquielion/2023
9006697;Grand Prix Cycliste de Marseille La Marseillaise 2022;227887195;Outright Winner;race/gp-d-ouverture/2022
9012126;Grand Prix Cycliste la Marseillaise 2022  Top 10 Finish;228040214;Top 10 Finish;race/gp-d-ouverture/2022
9012124;Grand Prix Cycliste la Marseillaise 2022  Top 3 Finish;228040207;Top 3 Finish;race/gp-d-ouverture/2022
11193052;Grand Prix de Denain 2023 Winner;294103834;Outright Winner;race/gp-de-denain/2023
11074906;Kuurne-Bruxelles-Kuurne 2023 Outright Winner;290196214;Outright Winner;race/kuurne-brussel-kuurne/2023
11081138;La Drome Classic 2023 Winner;290416230;Outright Winner;race/la-drome-classic/2023
11099124;Le Samyn 2023 Winner;291054676;Outright Winner;race/gp-samyn/2023
8612953;Milan-Sanremo 2022 Winner;216416446;Outright Winner;race/milano-sanremo/2022
10338956;Milan-Sanremo 2023 Winner;268775310;Outright Winner;race/milano-sanremo/2023
10998280;Muscat Classic 2023 Winner;287760393;Outright Winner;race/muscat-classic/2023
11188508;Nokere Koerse 2023 Women Winner;294013129;Outright Winner;race/danilith-nokere-koerse-voor-dames/2023
9135793;Omloop Het Nieuwsblad 2022 Winner;232066455;Outright Winner;race/omloop-het-niewsblad/2022
11059093;Omloop Het Nieuwsblad 2023 Winner;289684248;Outright Winner;race/omloop-het-niewsblad/2023
10333210;Paris-Bourges 2022 Winner;268567749;Outright Winner;race/paris-bourges/2022
11120417;Paris-Nice 2023 Outright Winner;291708924;Outright Winner;race/paris-nice/2023
11120411;Paris-Nice 2023 Stage 1 Winner;291708588;Stage winner;race/paris-nice/2023
9028324;Saudi Tour 2022 Outright Winner;228604526;Outright Winner;race/tour-de-saudi-arabia/2022
9022699;Saudi Tour 2022 Stage 1 Winner;228375251;Stage winner;race/tour-de-saudi-arabia/2022
9022698;Saudi Tour 2022 Stage 2 Winner;228375252;Stage winner;race/tour-de-saudi-arabia/2022
9022700;Saudi Tour 2022 Stage 3 Winner;228375253;Stage winner;race/tour-de-saudi-arabia/2022
9022697;Saudi Tour 2022 Stage 4 Winner;228375254;Stage winner;race/tour-de-saudi-arabia/2022
9022701;Saudi Tour 2022 Stage 5 Winner;228375255;Stage winner;race/tour-de-saudi-arabia/2022
11120623;Strade Bianche 2023 Head To Head;291723368;Mathieu Van Der Poel v Tom Pidcock;race/strade-bianche/2023
11120623;Strade Bianche 2023 Head To Head;291723447;Julian Alaphilippe v Tom Pidcock;race/strade-bianche/2023
11120623;Strade Bianche 2023 Head To Head;291723488;Tim Wellens v Tiesj Benoot;race/strade-bianche/2023
11120623;Strade Bianche 2023 Head To Head;291723493;Quinn Simmons v Matej Mohoric;race/strade-bianche/2023
11120623;Strade Bianche 2023 Head To Head;291723535;Alexander Vlasov v Valentin Madouas;race/strade-bianche/2023
11120623;Strade Bianche 2023 Head To Head;291723541;Attila Valter v Mauri Vansevenant;race/strade-bianche/2023
11120623;Strade Bianche 2023 Head To Head;291723576;Lorenzo Rota v Lennard Kamna;race/strade-bianche/2023
11120623;Strade Bianche 2023 Head To Head;291723600;Alessandro Covi v Alexey Lutsenko;race/strade-bianche/2023
11120622;Strade Bianche 2023 Top 10 Finish;291722810;Top Ten Finish;race/strade-bianche/2023
11120620;Strade Bianche 2023 Top 3 Finish;291722626;Top 3 Finish;race/strade-bianche/2023
8496224;Tour de France 2022 Stage 1 Winner;212380650;Stage winner;race/tour-de-france/2022
9075154;Tour de la Provence 2022 Outright Winner;229995634;Outright Winner;race/tour-cycliste-international-la-provence/2022
9075107;Tour de la Provence 2022 Prologue Winner;229994887;Prologue Winner;race/tour-cycliste-international-la-provence/2022
9075108;Tour de la Provence 2022 Stage 1 Winner;229994888;Stage winner;race/tour-cycliste-international-la-provence/2022
9075109;Tour de la Provence 2022 Stage 3 Winner;229994890;Stage winner;race/tour-cycliste-international-la-provence/2022
9119637;Tour des Alpes Maritimes et du Var 2022 Stage 1 Winner;231492464;Stage winner;race/tour-des-alpes-maritimes-et-du-var/2022
9119638;Tour des Alpes Maritimes et du Var 2022 Stage 2 Winner;231492465;Stage winner;race/tour-des-alpes-maritimes-et-du-var/2022
11042371;Tour des Alpes Maritimes et du Var 2023 Stage 1 Winner;289159609;Stage winner;race/tour-des-alpes-maritimes-et-du-var/2023
11042370;Tour des Alpes Maritimes et du Var 2023 Stage 2 Winner;289159610;Stage winner;race/tour-des-alpes-maritimes-et-du-var/2023
11042372;Tour des Alpes Maritimes et du Var 2023 Stage 3 Winner;289159611;Stage winner;race/tour-des-alpes-maritimes-et-du-var/2023
10339078;Tour of Flanders 2023 Winner;268785783;Outright Winner;race/ronde-van-vlaanderen/2023
9076245;Tour of Oman 2022 Outright Winner;230077519;Outright Winner;race/tour-of-oman/2022
9075949;Tour of Oman 2022 Stage 1 Winner;230043726;Stage winner;race/tour-of-oman/2022
9075950;Tour of Oman 2022 Stage 2 Winner;230043727;Stage winner;race/tour-of-oman/2022
9075951;Tour of Oman 2022 Stage 4 Winner;230043729;Stage winner;race/tour-of-oman/2022
9075947;Tour of Oman 2022 Stage 5 Winner;230043730;Stage winner;race/tour-of-oman/2022
9075952;Tour of Oman 2022 Stage 6 Winner;230043731;Stage winner;race/tour-of-oman/2022
11010068;Tour of Oman 2023 Outright Winner;288149700;Outright Winner;race/tour-of-oman/2023
10998323;Tour of Oman 2023 Stage 1 Winner;287765342;Stage winner;race/tour-of-oman/2023
10998322;Tour of Oman 2023 Stage 2 Winner;287765343;Stage winner;race/tour-of-oman/2023
10998324;Tour of Oman 2023 Stage 3 Winner;287765344;Stage winner;race/tour-of-oman/2023
10998321;Tour of Oman 2023 Stage 4 Winner;287765345;Stage winner;race/tour-of-oman/2023
10998325;Tour of Oman 2023 Stage 5 Winner;287765346;Stage winner;race/tour-of-oman/2023
10944707;Tour of Saudi Arabia 2023 Outright Winner;286210087;Outright Winner;race/tour-de-saudi-arabia/2023
10943690;Tour of Saudi Arabia 2023 Stage 1 Winner;286118346;Stage winner;race/tour-de-saudi-arabia/2023
10949549;Tour of Saudi Arabia 2023 Stage 2 Winner;286315892;Stage winner;race/tour-de-saudi-arabia/2023
10954483;Tour of Saudi Arabia 2023 Stage 3 Winner;286426592;Stage winner;race/tour-de-saudi-arabia/2023
10960486;Tour of Saudi Arabia 2023 Stage 4 Winner;286637890;Stage winner;race/tour-de-saudi-arabia/2023
10965451;Tour of Saudi Arabia 2023 Stage 5 Winner;286767070;Stage winner;race/tour-de-saudi-arabia/2023
9001085;Trofeo Alcudia 2022 Winner;227710466;Outright Winner;race/trofeo-alcudia/2022
10927638;Trofeo Andratx 2023 Winner;285686222;Outright Winner;race/trofeo-andratx-mirador-d-es-colomer/2023
8970082;Trofeo Calvia 2022;226801786;Outright Winner;race/trofeo-calvia/2022
10916699;Trofeo Calvia 2023 Winner;285379017;Outright Winner;race/trofeo-calvia/2023
11108883;Trofeo Laigueglia 2023 Winner;291304714;Outright Winner;race/trofeo-laigueglia/2023
8970088;Trofeo Pollenca 2022;226802035;Outright Winner;race/trofeo-andratx-mirador-d-es-colomer/2022
10922099;Trofeo Port D'Alcudia 2023 Winner;285538277;Outright Winner;race/trofeo-alcudia/2023
8970086;Trofeo Serra de Tramuntana 2022;226801885;Outright Winner;race/deia-trophy/2022
10933184;Trofeo Serra de Tramuntana 2023 Winner;285821624;Outright Winner;race/deia-trophy/2023
9125163;UAE Tour 2022 Outright Winner;231659365;Outright Winner;race/uae-tour/2022
9125158;UAE Tour 2022 Stage 1 Winner;231658764;Stage winner;race/uae-tour/2022
9135936;UAE Tour 2022 Stage 2 H2H;232088275;D Groenewegen v The Field;race/uae-tour/2022
9135936;UAE Tour 2022 Stage 2 H2H;232088314;D Groenewegen v M Cavendish;race/uae-tour/2022
9135936;UAE Tour 2022 Stage 2 H2H;232088354;E Viviani v A Demare;race/uae-tour/2022
9135936;UAE Tour 2022 Stage 2 H2H;232088414;J Philipsen v S Bennett;race/uae-tour/2022
9135936;UAE Tour 2022 Stage 2 H2H;232088460;O Kooij v P Ackermann;race/uae-tour/2022
9125157;UAE Tour 2022 Stage 2 Winner;231658765;Stage winner;race/uae-tour/2022
9141066;UAE Tour 2022 Stage 3 H2H;232226309;Ganna v The Field;race/uae-tour/2022
9141066;UAE Tour 2022 Stage 3 H2H;232226359;Ganna v Bissegger;race/uae-tour/2022
9141066;UAE Tour 2022 Stage 3 H2H;232226372;J Almeida v S De Bod;race/uae-tour/2022
9141066;UAE Tour 2022 Stage 3 H2H;232226417;M Bjerg v L Plapp;race/uae-tour/2022
9141066;UAE Tour 2022 Stage 3 H2H;232226451;T Dumoulin v T Pogacar;race/uae-tour/2022
9141052;UAE Tour 2022 Stage 3 Top 3 Finish;232223238;Top 3 Finish;race/uae-tour/2022
9125159;UAE Tour 2022 Stage 3 Winner;231658766;Stage winner;race/uae-tour/2022
9146387;UAE Tour 2022 Stage 4 Top 3 Finish;232399514;Top 3 Finish;race/uae-tour/2022
9125156;UAE Tour 2022 Stage 4 Winner;231658767;Stage winner;race/uae-tour/2022
9125160;UAE Tour 2022 Stage 5 Winner;231658768;Stage winner;race/uae-tour/2022
11054158;UAE Tour 2023 Outright Winner;289560306;Outright Winner;race/uae-tour/2023
11054149;UAE Tour 2023 Stage 1 Winner;289558660;Outright Winner;race/uae-tour/2023
11069523;UAE Tour 2023 Stage 3 Winner;290016385;Stage winner;race/uae-tour/2023
11210685;Volta a Catalunya 2023 Outright Winner;294676729;Outright Winner;race/volta-a-catalunya/2023
11210709;Volta a Catalunya 2023 Stage 1 Winner;294677771;Stage winner;race/volta-a-catalunya/2023
9028310;Volta a la Comunitat Valenciana 2022 Outright Winner;228603128;Outright Winner;race/vuelta-a-la-comunidad-valenciana/2022
9022713;Volta a la Comunitat Valenciana 2022 Stage 1 Winner;228375731;Stage winner;race/vuelta-a-la-comunidad-valenciana/2022
9022712;Volta a la Comunitat Valenciana 2022 Stage 2 Winner;228375732;Stage winner;race/vuelta-a-la-comunidad-valenciana/2022
10955228;Volta a la Comunitat Valenciana 2023 Outright Winner;286482494;Outright Winner;race/vuelta-a-la-comunidad-valenciana/2023
10954469;Volta a la Comunitat Valenciana 2023 Stage 1 Winner;286426160;Stage winner;race/vuelta-a-la-comunidad-valenciana/2023
10954468;Volta a la Comunitat Valenciana 2023 Stage 2 Winner;286426161;Stage winner;race/vuelta-a-la-comunidad-valenciana/2023
