label;new_label;riderId
Hugo Hofstetter;Hofstetter Hugo;Hugo Hofstetter
Sam Oomen;Oomen Sam;Sam Oomen
Baptiste Planckaert;Planckaert Baptiste;Baptiste Planckaert
Jonas Koch;Koch Jonas;Jonas Koch
Matthieu Ladagnous;Ladagnous Matthieu;Matthieu Ladagnous
Michael Hepburn;Hepburn Michael;Michael Hepburn
Florian Lipowitz;Lipowitz Florian;Florian Lipowitz
Bod Stefan De;De Bod Stefan;Bod Stefan De
Sam Bennett;Bennett Sam;Sam Bennett
Gonzalo Serrano;Serrano Gonzalo;Gonzalo Serrano
Alberto Bettiol;Bettiol Alberto;Alberto Bettiol
Sepp Kuss;Kuss Sepp;Sepp Kuss
Felix Gall;Gall Felix;Felix Gall
Omar Fraile;Fraile Omar;Omar Fraile
Campbell Stewart;Stewart Campbell;Campbell Stewart
Thomas Champion;Champion Thomas;Thomas Champion
Simon Clarke;Clarke Simon;Simon Clarke
Daan Hoole;Hoole Daan;Daan Hoole
Christian Scaroni;Scaroni Christian;Christian Scaroni
Edvald Boasson Hagen;Boasson Hagen Edvald;Edvald Boasson Hagen
Johannes Adamietz;Adamietz Johannes;Johannes Adamietz
Matteo Jorgenson;Jorgenson Matteo;Matteo Jorgenson
Matej Mohoric;Mohoric Matej;Matej Mohoric
Louis Barre;Barre Louis;Louis Barre
Victor Lafay;Lafay Victor;Victor Lafay
Kamil Malecki;Malecki Kamil;Kamil Malecki
Ward Vanhoof;Vanhoof Ward;Ward Vanhoof
Fernando Gaviria;Gaviria Fernando;Fernando Gaviria
Daniel Navarro;Navarro Daniel;Daniel Navarro
Hugo Page;Page Hugo;Hugo Page
Gijs Leemreize;Leemreize Gijs;Gijs Leemreize
Sebastien Grignard;Grignard Sebastien;Sebastien Grignard
Dries Devenyns;Devenyns Dries;Dries Devenyns
Samuel Leroux;Leroux Samuel;Samuel Leroux
Caleb Ewan;Ewan Caleb;Caleb Ewan
Cesare Benedetti;Benedetti Cesare;Cesare Benedetti
Greg Van Avermaet;Van Avermaet Greg;Greg Van Avermaet
Avermaet Greg Van;Van Avermaet Greg;Avermaet Greg Van
Eduard Prades;Prades Eduard;Eduard Prades
Xabier Isasa;Isasa Xabier;Xabier Isasa
Finn Fisher-Black;Fisher-Black Finn;Finn Fisher-Black
Miles Scotson;Scotson Miles;Miles Scotson
Connor Swift;Swift Connor;Connor Swift
Markus Hoelgaard;Hoelgaard Markus;Markus Hoelgaard
Giacomo Nizzolo;Nizzolo Giacomo;Giacomo Nizzolo
Julien Simon;Simon Julien;Julien Simon
Matthew Riccitello;Riccitello Matthew;Matthew Riccitello
Stanislaw Aniolkowski;Aniolkowski Stanislaw;Stanislaw Aniolkowski
Edward Planckaert;Planckaert Edward;Edward Planckaert
Kristoffer Halvorsen;Halvorsen Kristoffer;Kristoffer Halvorsen
Paul Lapeira;Lapeira Paul;Paul Lapeira
Julius Johansen;Johansen Julius;Julius Johansen
Michal Kwiatkowski;Kwiatkowski Michal;Michal Kwiatkowski
Rasmus Tiller;Tiller Rasmus;Rasmus Tiller
Leo Danes;Danes Leo;Leo Danes
Geraint Thomas;Thomas Geraint;Geraint Thomas
Jannik Steimle;Steimle Jannik;Jannik Steimle
Josef Cerny;Cerny Josef;Josef Cerny
Alexandre Delettre;Delettre Alexandre;Alexandre Delettre
Davide Bais;Bais Davide;Davide Bais
Poucke Aaron Van;Van Poucke Aaron;Poucke Aaron Van
Rudiger Selig;Selig Rudiger;Rudiger Selig
Gianmarco Garofoli;Garofoli Gianmarco;Gianmarco Garofoli
Laurenz Rex;Rex Laurenz;Laurenz Rex
Warren Barguil;Barguil Warren;Warren Barguil
Fabian Lienhard;Lienhard Fabian;Fabian Lienhard
Matteo Sobrero;Sobrero Matteo;Matteo Sobrero
