name,climb,event,year,minutes,watts_kg,watts
Geraint Thomas,La Planche de Belles Filles,Tour de France,2019,20.03,6.5,455
Thibaut Pinot,La Planche de Belles Filles,Tour de France,2019,20.08,6.5,436
Julian Alaphilippe,La Planche de Belles Filles,Tour de France,2019,20.08,6.6,409
Julian Alaphilippe,Col de Romme,Tour de France,2018,29.5,5.85,403
Julian Alaphilippe,Grand Colombiere,Tour de France,2018,23.5,5.9,404
Geraint Thomas,Torgon,Romandie,2019,22,5.9,417
Romain Bardet,La Planche de Belles Filles,Tour de France,2019,22,6.15,428
Warren Barguil,La Planche de Belles Filles,Tour de France,2019,21,6.45,442
Egan Bernal,Flumserberg,Suisse,2019,23.75,6.6,449
Egan Bernal,St Gotthard,Suisse,2019,35.4,5.8,396
Egan Bernal,Furkapass,Suisse,2019,33.5,5.6,381
Wout Poels,Pipay,Dauphine,2019,51,5.7,394
Jakob Fuglsang,Arrate,Basque Country,2019,13,6.65,466
Jakob Fuglsang,Monte du Chat,Dauphine,2017,29.4,6.2,435
Jakob Fuglsang,Cole de la Couillole,Paris Nice,2017,43,5.95,416
Jakob Fuglsang,Valmorel,Dauphine,2013,31,5.95,416
Jakob Fuglsang,Croix de Chaubouret,Paris Nice,2015,23,6.1,427
Richard Carapaz,Montoso,Giro,2019,29,6,413
Richard Carapaz,Lago Serru,Giro,2019,21,6,412
Richard Carapaz,San Carlo,Giro,2019,36,5.98,412
Richard Carapaz,Civiglio,Giro,2019,13,6.66,459
Richard Carapaz,Mortirolo,Giro,2019,45,5.89,406
Richard Carapaz,Anterselva,Giro,2019,11,6.4,441
Richard Carapaz,Monte Avena,Giro,2019,17.67,6.35,436
Vincenzo Nibali,Montoso,Giro,2019,29,5.98,413
Vincenzo Nibali,Lago Serru,Giro,2019,22.5,5.57,385
Vincenzo Nibali,San Carlo,Giro,2019,36.5,5.87,405
Vincenzo Nibali,Civiglio,Giro,2019,13,6.63,459
Vincenzo Nibali,Mortirolo,Giro,2019,45,5.87,406
Vincenzo Nibali,Anterselva,Giro,2019,11.25,6.37,439
Vincenzo Nibali,Monte Avena,Giro,2019,17.67,6.27,433
Primoz Roglic,Montoso,Giro,2019,28.5,6.15,421
Primoz Roglic,Lago Serru,Giro,2019,20.12,5.92,405
Primoz Roglic,San Carlo,Giro,2019,36.5,5.92,405
Primoz Roglic,Civiglio,Giro,2019,13,6.58,451
Primoz Roglic,Mortirolo,Giro,2019,45,5.92,406
Primoz Roglic,Anterselva,Giro,2019,11,6.7,459
Primoz Roglic,Monte Avena,Giro,2019,17.6,6.35,433
Simon Yates,Mt Etna,Giro,2018,48.67,6,410
Simon Yates,Zoncolan,Giro,2018,40,6.1,419
Chris Froome,Zoncolan,Giro,2018,40,6,420
Thibaut Pinot,Zoncolan,Giro,2018,40.75,5.95,412
Egan Bernal,Gibraltar Rd,California,2018,32.4,6.1,415
Egan Bernal,Daggett Pass,California,2018,30.4,6,410
Egan Bernal,Colloms,Romandie,2018,18.67,6.1,415
