stage,race,year,new_st
1,etoile de besseges,2014,2
2,etoile de besseges,2014,2
3,etoile de besseges,2014,2
4,etoile de besseges,2014,3
5,etoile de besseges,2014,3
1,tour mediterraneen cycliste professionnel,2014,2
2,tour mediterraneen cycliste professionnel,2014,2
3,tour mediterraneen cycliste professionnel,2014,3
4,tour mediterraneen cycliste professionnel,2014,2
5,tour mediterraneen cycliste professionnel,2014,5
1,volta ao algarve,2014,2
2,volta ao algarve,2014,2
3,volta ao algarve,2014,1
4,volta ao algarve,2014,5
5,volta ao algarve,2014,2
0,vuelta a andalucia ruta ciclista del sol,2014,1
1,vuelta a andalucia ruta ciclista del sol,2014,5
2,vuelta a andalucia ruta ciclista del sol,2014,5
3,vuelta a andalucia ruta ciclista del sol,2014,2
4,vuelta a andalucia ruta ciclista del sol,2014,2
1,tour cycliste international du haut var matin,2014,2
2,tour cycliste international du haut var matin,2014,2
0,driedaagse van west-vlaanderen,2014,1
1,driedaagse van west-vlaanderen,2014,2
2,driedaagse van west-vlaanderen,2014,2
1,settimana internazionale coppi e bartali,2014,2
3,settimana internazionale coppi e bartali,2014,2
4,settimana internazionale coppi e bartali,2014,1
5,settimana internazionale coppi e bartali,2014,3
1,circuit cycliste sarthe - pays de la loire,2014,2
2,circuit cycliste sarthe - pays de la loire,2014,2
3,circuit cycliste sarthe - pays de la loire,2014,1
4,circuit cycliste sarthe - pays de la loire,2014,3
5,circuit cycliste sarthe - pays de la loire,2014,2
1,tour d'azerbaidjan,2014,1
3,tour d'azerbaidjan,2014,3
4,tour d'azerbaidjan,2014,5
5,tour d'azerbaidjan,2014,2
1,szlakiem grodow piastowskich,2014,4
2,szlakiem grodow piastowskich,2014,2
3,szlakiem grodow piastowskich,2014,2
1,tour de picardie,2014,1
2,tour de picardie,2014,1
3,tour de picardie,2014,1
1,vuelta a castilla y leon,2014,1
2,vuelta a castilla y leon,2014,5
3,vuelta a castilla y leon,2014,4
1,world ports classic,2014,1
2,world ports classic,2014,1
1,tour des fjords,2014,2
2,tour des fjords,2014,2
3,tour des fjords,2014,2
4,tour des fjords,2014,2
5,tour des fjords,2014,2
1,tour of estonia,2014,0
2,tour of estonia,2014,0
0,boucles de la mayenne,2014,0
1,boucles de la mayenne,2014,0
2,boucles de la mayenne,2014,0
3,boucles de la mayenne,2014,0
0,ster zlm toer gp jan van heeswijk,2014,1
1,ster zlm toer gp jan van heeswijk,2014,1
2,ster zlm toer gp jan van heeswijk,2014,2
