stage_name,stage,race,year,climb_difficulty,HC,X1,X2
NA,1,Abu Dhabi Tour,2017,0,0,0,0
NA,1,Abu Dhabi Tour,2018,0,0,0,0
Stage 5,5,Amgen Tour of California,2017,40,1,2,0
Stage 2,2,Amgen Tour of California,2018,20,1,0,0
Stage 6,6,Amgen Tour of California,2019,40,0,1,2
NA,1,Amstel Gold Race,2013,5,0,0,0
NA,1,Amstel Gold Race,2014,5,0,0,0
NA,1,Amstel Gold Race,2015,5,0,0,0
NA,1,Amstel Gold Race,2016,5,0,0,0
NA,1,Amstel Gold Race,2017,5,0,0,0
NA,1,Amstel Gold Race,2018,5,0,0,0
NA,1,Amstel Gold Race,2019,5,0,0,0
NA,1,Binck Bank Tour,2018,0,0,0,0
NA,1,BinckBank Tour,2017,0,0,0,0
NA,1,Bredene Koksijde Classic,2019,0,0,0,0
NA,1,Bretagne Classic - Ouest-France,2016,0,0,0,0
NA,1,Bretagne Classic - Ouest-France,2017,0,0,0,0
NA,1,Bretagne Classic - Ouest-France,2018,0,0,0,0
NA,1,Cadel Evans Great Ocean Road Race,2017,5,0,0,0
NA,1,Cadel Evans Great Ocean Road Race,2018,5,0,0,0
NA,1,Cadel Evans Great Ocean Road Race,2019,5,0,0,0
NA,1,Clasica Ciclista San Sebastian,2013,10,0,0,0
NA,1,Clasica Ciclista San Sebastian,2014,10,0,0,0
NA,1,Clasica Ciclista San Sebastian,2015,10,0,0,0
NA,1,Clasica Ciclista San Sebastian,2016,10,0,0,0
NA,1,Clasica Ciclista San Sebastian,2017,10,0,0,0
NA,1,Clasica Ciclista San Sebastian,2018,10,0,0,0
NA,1,Clasica de Almeria,2019,5,0,0,0
Stage 7,7,Criterium du Dauphine,2013,50,1,2,1
Stage 7,7,Criterium du Dauphine,2014,60,2,1,2
Stage 7,7,Criterium du Dauphine,2015,50,0,5,0
Stage 6,6,Criterium du Dauphine,2016,55,1,3,1
Stage 7,7,Criterium du Dauphine,2017,45,1,1,3
Stage 6,6,Criterium du Dauphine,2018,55,2,1,1
Stage 7,7,Criterium du Dauphine,2019,45,1,2,1
NA,1,Cyclassics Hamburg,2016,0,0,0,0
NA,1,Cyclassics Hamburg,2017,0,0,0,0
NA,1,Danilith Nokere Koerse,2019,0,0,0,0
NA,1,De Brabantse Pijl,2019,0,0,0,0
NA,1,Driedaagse Brugge-De Panne,2019,0,0,0,0
NA,1,Dwars door Vlaanderen - A travers la Flandre,2018,5,0,0,0
NA,1,Dwars door Vlaanderen - A travers la Flandre,2019,5,0,0,0
NA,1,Dwars door Vlaanderen / A travers la Flandre,2017,5,0,0,0
NA,1,E3 BinckBank Classic,2019,5,0,0,0
NA,1,E3 Harelbeke,2014,5,0,0,0
NA,1,E3 Harelbeke,2015,5,0,0,0
NA,1,E3 Harelbeke,2016,5,0,0,0
NA,1,E3 Prijs Vlaanderen - Harelbeke,2013,5,0,0,0
NA,1,Eneco Tour,2013,0,0,0,0
NA,1,Eneco Tour,2014,0,0,0,0
NA,1,Eneco Tour,2015,0,0,0,0
NA,1,Eneco Tour,2016,0,0,0,0
NA,1,Eschborn-Frankfurt,2018,10,0,0,0
