fr,pcs
Vuelta a Andalucia Ruta Ciclista Del Sol,Vuelta a Andalucia Ruta Ciclista Del Sol
Vuelta Asturias Julio Alvarez Mendo,Vuelta Asturias Julio Alvarez Mendo
Route du Sud - La Depeche du Midi,Route du Sud - la Depeche du Midi
Volta ao Algarve em Bicicleta,Volta ao Algarve em Bicicleta
Tour de Yorkshire,Tour de Yorkshire
Tour de l'Ain,Tour de l'Ain
Volta a la Comunitat Valenciana,Volta a la Comunitat Valenciana
Tour of Slovenia,Tour of Slovenia
Vuelta Ciclista a la Region de Murcia Costa Calida,Vuelta Ciclista a la Region de Murcia Costa Calida
Presidential Cycling Tour of Turkey,Presidential Cycling Tour of Turkey
Vuelta a Burgos,Vuelta a Burgos
Tour of the Alps,Tour of the Alps
Tour of The Alps,Tour of the Alps
Tour of the Alps,Giro del Trentino
Tour of The Alps,Giro del Trentino
OVO Energy Tour of Britain,OVO Energy Tour of Britain
Santos Tour Down Under,Santos Tour Down Under
Tirreno-Adriatico,Tirreno-Adriatico
Volta Ciclista a Catalunya,Volta Ciclista a Catalunya
Paris - Roubaix,Paris - Roubaix
Amstel Gold Race,Amstel Gold Race
La Fleche Wallonne,La Fleche Wallonne
Liege - Bastogne - Liege,Liege - Bastogne - Liege
Tour de Romandie,Tour de Romandie
Giro D'Italia,Giro d'Italia
Criterium du Dauphine,Criterium du Dauphine
Tour de Suisse,Tour de Suisse
Tour de France,Tour de France
Clasica Ciclista San Sebastian,Clasica Ciclista San Sebastian
Tour de Pologne,Tour de Pologne
Eneco Tour,Eneco Tour
Vuelta a Espana,Vuelta a Espana
Grand Prix Cycliste de Quebec,Grand Prix Cycliste de Quebec
Grand Prix Cycliste de Montreal,Grand Prix Cycliste de Montreal
Il Lombardia,Il Lombardia
E3 Harelbeke,E3 Harelbeke
Gent-Wevelgem in Flanders Fields,Gent-Wevelgem In Flanders Fields
Milano - Sanremo,Milano - Sanremo
Bretagne Classic - Ouest-France,Bretagne Classic - Ouest-France
Cadel Evans Great Ocean Road Race,Cadel Evans Great Ocean Road Race
Abu Dhabi Tour,Abu Dhabi Tour
Omloop Het Nieuwsblad,Omloop Het Nieuwsblad
Strade Bianche,Strade Bianche
Dwars Door Vlaanderen / A travers la Flandre,Dwars door Vlaanderen / A travers la Flandre
Record Bank E3 Harelbeke,Record Bank E3 Harelbeke
Vuelta al Pais Vasco,Vuelta al Pais Vasco
Paris-Roubaix,Paris-Roubaix
Eschborn-Frankfurt 'Rund um den Finanzplatz',Eschborn-Frankfurt 'Rund um den Finanzplatz'
Amgen Tour of California,Amgen Tour of California
Prudential RideLondon-Surrey Classic,Prudential RideLondon-Surrey Classic
BinckBank Tour,BinckBank Tour
Omloop Het Nieuwsblad Elite,Omloop Het Nieuwsblad Elite
Dwars door Vlaanderen - A travers la Flandre,Dwars door Vlaanderen - A travers la Flandre
Itzulia Basque Country,Itzulia Basque Country
Eschborn-Frankfurt,Eschborn-Frankfurt
UAE Tour,UAE Tour
Driedaagse Brugge-De Panne,Driedaagse Brugge-De Panne
E3 Binckbank Classic,E3 BinckBank Classic
Dubai Tour,Dubai Tour
Tour of Oman,Tour of Oman
Mont Ventoux Denivele Challenge,Mont Ventoux Denivele Challenge
Ronde Van Vlaanderen,Ronde van Vlaanderen - Tour des Flandres
Ronde Van Vlaanderen,Ronde van Vlaanderen / Tour des Flandres
Paris-Nice,Paris - Nice
EuroEyes Cyclassics,UNK
Volta a Catalunya,Volta Ciclista a Catalunya
Bretagne Classic - Ouest France,UNK
Danilith - Nokere Koerse,UNK
Euroeyes Cyclassics,UNK
Kuurne-Bruxelles-Kuurne,UNK
Scheldeprijs,UNK
The Larry H.Miller Tour of Utah,Tour of Utah
Tour of Guangxi,UNK
UCI Road World Championships - ITT (Men Elite),World Championships ITT
UCI Road World Championships (Men Elite),World Championships
Vuelta a Asturias,Vuelta Asturias Julio Alvarez Mendo
Vuelta Ciclista a la Provincia de San Juan,UNK
Vuelta Ciclista a la Region de Murcia,Vuelta Ciclista a la Region de Murcia Costa Calida
Colombia Oro y Paz,Tour of Colombia
Nokere Koerse - Danilith Classic,UNK
Route d'Occitaine,La Route d'Occitanie
Vuelta a Andalucia - Ruta Ciclista Del Sol,Vuelta a Andalucia Ruta Ciclista Del Sol
Colombia 2.1,Tour of Colombia
Danilith Nokere Koerse,UNK
La Route d'Occitanie - La Depeche du Midi,La Route d'Occitanie
Vuelta a San Juan Internacional,UNK
Giro d'Italia,Giro d'Italia
La Route d'Occitanie - La Depeche du Midi,Route du Sud - la Depeche du Midi
Route d'Occitaine,Route du Sud - la Depeche du Midi
PostNord Danmark Rundt - Tour of Denmark,Post Danmark Rundt - Tour of Denmark
Deutschland Tour,Deutschland Tour
Tour Cycliste International La Provence,Tour de la Provence
Tour Cycliste International La Provence,Tour Cycliste International La Provence
VOO-Tour de Wallonie,VOO-Tour de Wallonie
VOO-Tour de Wallonie,Tour de Wallonie
Tour of Norway,Tour of Norway
Arctic Race of Norway,Arctic Race of Norway
4 Jours de Dunkerque / Grand Prix des Hauts-de-France,4 Jours de Dunkerque / Grand Prix des Hauts de France
4 Jours de Dunkerque / Grand Prix des Hauts-de-France,4 Jours de Dunkerque / Tour des Hauts-de-France
Tour de Luxembourg,Skoda-Tour de Luxembourg
Baloise Belgium Tour,Baloise Belgium Tour
