year,fr,pcs
2013,Tirreno-Adriatico,Tirreno-Adriatico
2013,Giro d'Italia,Giro d'Italia
2013,Tour de France,Tour de France
2013,Il Lombardia,Il Lombardia
2014,Tirreno-Adriatico,Tirreno-Adriatico
2014,Giro d'Italia,Giro d'Italia
2014,Tour de France,Tour de France
2014,Il Lombardia,Il Lombardia
2015,Tirreno-Adriatico,Tirreno-Adriatico
2015,Paris - Roubaix,Paris - Roubaix
2015,Giro d'Italia,Giro d'Italia
2015,Tour de Suisse,Tour de Suisse
2015,Tour de France,Tour de France
2015,Il Lombardia,Il Lombardia
2016,Santos Tour Down Under,Santos Tour Down Under
2016,Milano - Sanremo,Milano - Sanremo
2016,E3 Harelbeke,E3 Harelbeke
2016,Paris - Roubaix,Paris - Roubaix
2016,Amstel Gold Race,Amstel Gold Race
2016,Tour de Romandie,Tour de Romandie
2016,Giro D'Italia,Giro D'Italia
2016,Tour de Suisse,Tour de Suisse
2016,Tour de France,Tour de France
2016,Tour de Pologne,Tour de Pologne
2016,Clasica Ciclista San Sebastian,Clasica Ciclista San Sebastian
2016,Bretagne Classic - Ouest-France,Bretagne Classic - Ouest-France
2016,Grand Prix Cycliste de Quebec,Grand Prix Cycliste de Quebec
2016,Eneco Tour,Eneco Tour
2016,Il Lombardia,Il Lombardia
2017,Volta a la Comunitat Valenciana,Volta a la Comunitat Valenciana
2017,Vuelta a Andalucia Ruta Ciclista Del Sol,Vuelta a Andalucia Ruta Ciclista Del Sol
2017,Tour Cycliste International La Provence,Tour Cycliste International La Provence
2017,Tour de Yorkshire,Tour de Yorkshire
2017,Vuelta a Castilla y Leon,Vuelta a Castilla y Leon
2017,Route du Sud - La Depeche du Midi,Route du Sud - La Depeche du Midi
2017,Tour of Slovenia,Tour of Slovenia
2017,Tour de l'Ain,Tour de l'Ain
2017,Volta ao Algarve em Bicicleta,Volta ao Algarve em Bicicleta
2017,Tour of the Alps,Tour of the Alps
2017,Tour of Norway,Tour of Norway
2017,Baloise Belgium Tour,Baloise Belgium Tour
2017,VOO-Tour de Wallonie,VOO-Tour de Wallonie
2017,Vuelta a Burgos,Vuelta a Burgos
2017,Arctic Race of Norway,Arctic Race of Norway
2017,OVO Energy Tour of Britain,OVO Energy Tour of Britain
2017,PostNord Danmark Rundt - Tour of Denmark,PostNord Danmark Rundt - Tour of Denmark
2017,Santos Tour Down Under,Santos Tour Down Under
2017,Cadel Evans Great Ocean Road Race,Cadel Evans Great Ocean Road Race
2017,Abu Dhabi Tour,Abu Dhabi Tour
2017,Omloop Het Nieuwsblad,Omloop Het Nieuwsblad
2017,Tirreno-Adriatico,Tirreno-Adriatico
2017,Volta Ciclista a Catalunya,Volta Ciclista a Catalunya
2017,Dwars Door Vlaanderen / A travers la Flandre,Dwars Door Vlaanderen / A travers la Flandre
