Segment,Climb,stage,race,year
ARRAIZporrekaldeEXTRAcimaste,Arraiz,12,la vuelta ciclista a espana,2019
CortalsdesdePardines,Cortals d'Encamp,9,la vuelta ciclista a espana,2019
Cumbredesolhastaelcruce,Cumbre de Sol,2,la vuelta ciclista a espana,2019
LosMachucos/MonumentoVacaPasiega,Los Machucos,13,la vuelta ciclista a espana,2019
ObservatorioAstrofísicodeJavalambre,Javalambre,5,la vuelta ciclista a espana,2019
OronetCompleto,Oronet,4,la vuelta ciclista a espana,2019
Portd'AresOficialCompleto,Port d'Ares,6,la vuelta ciclista a espana,2019
PORTMASDELACOSTA,Mas de la Costa,7,la vuelta ciclista a espana,2019
PuertodeOtxondodesdeOrdoki,Puerto de Otxondo,11,la vuelta ciclista a espana,2019
PuertodeTibidesdeabajo,Puerto de Tibi,3,la vuelta ciclista a espana,2019
PujadaMontserratRPT,Montserrat,8,la vuelta ciclista a espana,2019
ColMelon,Monte Avena,20,giro d'italia,2019
finalclimb19^stagegirod'ItaliaSanMartinodiCastrozza,San Martino di Castrozza,19,giro d'italia,2019
Rhracingtrainingvintl,Anterselva,17,giro d'italia,2019
MortiroloofficialClimb*****-FlandresLove,Mortirolo,16,giro d'italia,2019
CivigliodiComo,Civiglio,15,giro d'italia,2019
[Grimpeur10]Morgex-ColleSanCarlo,Colle San Carlo,14,giro d'italia,2019
Serrú2200,Lago Serru End,13,giro d'italia,2019
Everesting8848MontosodaBibiana,Montoso,12,giro d'italia,2019
PortaNapoli,L'Aquila,7,giro d'italia,2019
RIGNANOGARGANICOEFFETTIVA,Rignano Garganico,6,giro d'italia,2019
Giro2019,Frascati,4,giro d'italia,2019
PuertodeCotos,Puerto de Cotos,18,la vuelta ciclista a espana,2019
OudeKwaremont-komplet,Oude Kwaremont,1,ronde van vlaanderen - tour des flandres,2019
Caubergcorrectstarttofinish,Cauberg,1,amstel gold race,2019
RocheauFauconsClimb,Roche Aux-Facons,1,liege-bastogne-liege,2019
Schaveimetvoorloper,Schavei,1,de brabantse pijl - la fleche brabanconne,2019
MurdeHuyfinalkm,Mur de Huy,1,la fleche wallonne,2019
Troistorrents-Champéry,Champery,8,criterium du dauphine,2019
MontéedePIPAY(CritériumDauphiné2019),Montee de Pipay,7,criterium du dauphine,2019
ColdeBeaune,Col de Beaune,6,criterium du dauphine,2019
BossedeStVictorsurArlanc,St Victor sur Arlanc,2,criterium du dauphine,2019
ascensionroquenatou,Roquenatou,1,criterium du dauphine,2019
Furkapass(HauteRoutetimedsection),Furkapass,9,tour de suisse,2019
SaintGotthard-Tremola,San Gottardo,7,tour de suisse,2019
Flums-Tannenheim,Flumserberg,6,tour de suisse,2019
Grellingen-SeewenClimb,Eichenberg,4,tour de suisse,2019
ChuderhüsiSüd,Chuderhusi,2,tour de suisse,2019
Poggio-KwiatoForza!Road-Racing.pl,Poggio,1,milano-sanremo,2019
StradeBianche-FinishHillSiena,Strade Bianche,1,strade bianche,2019
CivigliodiComo,Civiglio,1,il lombardia,2019
SanLucaCompletaGirodell'Emilia,San Luca,1,giro dell'emilia,2019
BiellaMenabrea-TraguardoOropa,Oropa,1,gran piemonte,2019
BasilicadiSuperga(turet-piazzale),Superga,1,milano-torino,2019
MurgilTontorra,Murgil,1,clasica ciclista san sebastian,2019
coldes4chemins,Quatre Chemins,8,paris - nice,2019
ColdeTurini,Col de Turini,7,paris - nice,2019
murodiPortaOsimo,Recanati,5,tirreno-adriatico,2019
DueVie-Savioli,Pomarance,2,tirreno-adriatico,2019
Pratd'Albis-TourdeFrance,Prat d'Albis,15,tour de france,2019
cotedelajaillièreTDF2019,Jailliere,8,tour de france,2019
montéedes5chateauxnord,Cinq Chateaux,5,tour de france,2019
côtedeMutigny,Mutigny,3,tour de france,2019
CôteMaronversionTDF2019,Maron,4,tour de france,2019
roadcycleasturias.comElAceboporCastroLimeshastaAntena,Santuario del Acebo,15,la vuelta ciclista a espana,2019
dingletonroadclimb,Dingleton Rd,2,ovo energy tour of britain,2019
climbfrongawthrop,Gawthorp,4,ovo energy tour of britain,2019
UptonRoadClimb,Flaybrick Hill,5,ovo energy tour of britain,2019
SunrisingHill(Actual),Sunrising Hill,7,ovo energy tour of britain,2019
L'EtapeBaldyClimb,Mt Baldy,6,amgen tour of california,2019
FettoDrive,Ventura,5,amgen tour of california,2019
MtHamiltonBackside,Mt Hamilton,3,amgen tour of california,2019
Valencia2019Finish,Ermita Santa Lucia,4,volta a la comunitat valenciana,2019
PuertodelSaltodeLaMora[CSP],Salto de la Mora,3,volta a la comunitat valenciana,2019
LABOLA(Nodalt),Cullera,2,volta a la comunitat valenciana,2020
HAZALLANASCRUZEDORNAJO,Alto de Hazallanos,4,vuelta a andalucia ruta ciclista del sol,2019
LaCaraOcultadeAlmogía,Alto del Valle del la Vida,5,vuelta a andalucia ruta ciclista del sol,2019
AltoPorcunaporA-306,Porcuna,2,vuelta a andalucia ruta ciclista del sol,2019
FinaletapaVueltaAndalucía´18,Alcala de los Gazules,1,vuelta a andalucia ruta ciclista del sol,2019
Purchecompleto,Purche,4,vuelta a andalucia ruta ciclista del sol,2020
JV3054alaentradadelpaseodeBaeza,Baeza,3,vuelta a andalucia ruta ciclista del sol,2020
SubidaaIznájar,Iznajar,2,vuelta a andalucia ruta ciclista del sol,2020
PuertodelasPalomas-(VueltaAndalucia)2020,Palomas,1,vuelta a andalucia ruta ciclista del sol,2020
LaCridedepuisportailnoir,La Cride,4,tour de la provence,2019
