Year,KOM,Percent_Win,Percent_2nd,Margin
2017,Barguil,0.17,0.08,0.09
1995,Virenque,0.16,0.08,0.08
1997,Virenque,0.16,0.09,0.07
2018,Alaphilippe,0.14,0.08,0.06
2016,Majka,0.14,0.09,0.05
1996,Virenque,0.14,0.10,0.04
2003,Virenque,0.09,0.05,0.04
2009,Pellizotti,0.08,0.05,0.03
2002,Jalabert,0.08,0.05,0.03
2007,JM Soler,0.09,0.06,0.03
1999,Virenque,0.08,0.06,0.02
2004,Virenque,0.10,0.08,0.02
2000,Botero,0.10,0.08,0.02
2008,Kohl,0.06,0.04,0.02
2019,Bardet,0.07,0.06,0.01
2005,Rasmussen,0.07,0.06,0.01
2001,Jalabert,0.07,0.06,0.01
2011,Sanchez,0.10,0.09,0.01
2010,Charteau,0.05,0.04,0.01
2006,Rasmussen,0.06,0.05,0.01
2015,Froome,0.08,0.07,0.01
1998,Rinero,0.08,0.07,0.01
2013,Quintana,0.09,0.08,0.01
2012,Voeckler,0.11,0.10,0.01
2014,Majka,0.11,0.11,0.00
