year,team,master_team
2014,AG2R La Mondiale,AG2R
2015,AG2R La Mondiale,AG2R
2016,AG2R La Mondiale,AG2R
2017,AG2R La Mondiale,AG2R
2018,AG2R La Mondiale,AG2R
2019,AG2R La Mondiale,AG2R
2019,Corendon - Circus,Alpecin-Fenix
2018,Corendon-Circus,Alpecin-Fenix
2017,Androni - Sidermec - Bottecchia,Androni
2015,Androni Giocattoli - Sidermec,Androni
2016,Androni Giocattoli - Sidermec,Androni
2018,Androni Giocattoli - Sidermec,Androni
2019,Androni Giocattoli - Sidermec,Androni
2014,Androni Giocattoli - Venezuela,Androni
2017,Aqua Blue Sport,Aqua Blue Sport
2018,Aqua Blue Sport,Aqua Blue Sport
2019,Team Arkéa Samsic,Arkea Samsic
2017,Fortuneo - Oscaro,Arkea Samsic
2016,Fortuneo - Vital Concept,Arkea Samsic
2018,Team Fortuneo - Samsic,Arkea Samsic
2014,Astana Pro Team,Astana
2015,Astana Pro Team,Astana
2016,Astana Pro Team,Astana
2017,Astana Pro Team,Astana
2018,Astana Pro Team,Astana
2019,Astana Pro Team,Astana
2019,Bahrain Merida,Bahrain McLaren
2017,Bahrain Merida Pro Cycling Team,Bahrain McLaren
2018,Bahrain Merida Pro Cycling Team,Bahrain McLaren
2016,Bardiani - CSF,Bardiani
2017,Bardiani - CSF,Bardiani
2018,Bardiani - CSF,Bardiani
2019,Bardiani - CSF,Bardiani
2014,Bardiani - CSF Pro Team,Bardiani
2015,Bardiani - CSF Pro Team,Bardiani
2014,BMC Racing Team,BMC Racing
2015,BMC Racing Team,BMC Racing
2016,BMC Racing Team,BMC Racing
2017,BMC Racing Team,BMC Racing
2018,BMC Racing Team,BMC Racing
2019,CCC Team,BMC Racing
2015,Bora - Argon 18,BORA
2016,Bora - Argon 18,BORA
2017,BORA - hansgrohe,BORA
2018,BORA - hansgrohe,BORA
2019,BORA - hansgrohe,BORA
2018,Burgos-BH,Burgos
2019,Burgos-BH,Burgos
2017,Burgos-BH,Burgos
2014,Caja Rural - Seguros RGA,Caja Rural
2016,Caja Rural - Seguros RGA,Caja Rural
2017,Caja Rural - Seguros RGA,Caja Rural
2018,Caja Rural - Seguros RGA,Caja Rural
2019,Caja Rural - Seguros RGA,Caja Rural
2015,Caja Rural - Seguros RGA,Caja Rural
2015,CCC Sprandi Polkowice,CCC Poland
2016,CCC Sprandi Polkowice,CCC Poland
2017,CCC Sprandi Polkowice,CCC Poland
2018,CCC Sprandi Polkowice,CCC Poland
2014,"Cofidis, Solutions Crédits",Cofidis
2015,"Cofidis, Solutions Crédits",Cofidis
2016,"Cofidis, Solutions Crédits",Cofidis
2017,"Cofidis, Solutions Crédits",Cofidis
2018,"Cofidis, Solutions Crédits",Cofidis
2019,"Cofidis, Solutions Crédits",Cofidis
2019,Delko Marseille Provence,Delko
2016,Delko Marseille Provence KTM,Delko
2017,Delko Marseille Provence KTM,Delko
2018,Delko Marseille Provence KTM,Delko
2016,Direct Energie,Direct Energie
2017,Direct Energie,Direct Energie
2018,Direct Energie,Direct Energie
2019,Direct Energie,Direct Energie
2019,Team Total Direct Energie,Direct Energie
2014,Team Europcar,Direct Energie
2015,Team Europcar,Direct Energie
2014,Cannondale,EF Education First
2016,Cannondale Pro Cycling Team,EF Education First
2016,Cannondale-Drapac Pro Cycling Team,EF Education First
2017,Cannondale-Drapac Pro Cycling Team,EF Education First
2019,EF Education First,EF Education First
2015,Team Cannondale - Garmin,EF Education First
2018,Drapac EF Cycling,EF Education First
2014,Garmin Sharp,EF Education First
2018,Team EF Education First-Drapac p/b Cannondale,EF Education First
2018,Euskadi - Murias,Euskadi
2019,Euskadi Basque Country - Murias,Euskadi
2017,Euskadi Basque Country - Murias,Euskadi
2015,FDJ,FDJ
2016,FDJ,FDJ
2017,FDJ,FDJ
2014,FDJ.fr,FDJ
2018,Groupama - FDJ,FDJ
2019,Groupama - FDJ,FDJ
2016,Gazprom-RusVelo,Gazprom
2017,Gazprom-RusVelo,Gazprom
2018,Gazprom-RusVelo,Gazprom
2019,Gazprom-RusVelo,Gazprom
2019,Arapahoe - Hincapie p/b BMC,Hincapie
2018,Holowesko - Citadel p/b Arapahoe Resources,Hincapie
2017,Holowesko-Citadel Racing Team,Hincapie
2014,IAM Cycling,IAM Cycling
2015,IAM Cycling,IAM Cycling
2016,IAM Cycling,IAM Cycling
2017,Israel Cycling Academy,Israel Cycling Academy
2018,Israel Cycling Academy,Israel Cycling Academy
2019,Israel Cycling Academy,Israel Cycling Academy
2014,Belkin-Pro Cycling Team,Jumbo-Visma
2019,Team Jumbo-Visma,Jumbo-Visma
2015,Team LottoNL-Jumbo,Jumbo-Visma
2016,Team LottoNL-Jumbo,Jumbo-Visma
2017,Team LottoNL-Jumbo,Jumbo-Visma
2018,Team LottoNL-Jumbo,Jumbo-Visma
2014,Team Katusha,Katusha
2015,Team Katusha,Katusha
2016,Team Katusha,Katusha
2017,Team Katusha Alpecin,Katusha
2018,Team Katusha Alpecin,Katusha
2019,Team Katusha Alpecin,Katusha
2015,Lotto Soudal,Lotto Soudal
2016,Lotto Soudal,Lotto Soudal
2017,Lotto Soudal,Lotto Soudal
2018,Lotto Soudal,Lotto Soudal
2019,Lotto Soudal,Lotto Soudal
2018,Mitchelton-Scott,Mitchelton-Scott
2019,Mitchelton-Scott,Mitchelton-Scott
2014,Orica GreenEDGE,Mitchelton-Scott
2015,Orica GreenEDGE,Mitchelton-Scott
2016,Orica GreenEDGE,Mitchelton-Scott
2016,ORICA-BikeExchange,Mitchelton-Scott
2017,ORICA-Scott,Mitchelton-Scott
2014,Movistar Team,Movistar
2015,Movistar Team,Movistar
2016,Movistar Team,Movistar
2017,Movistar Team,Movistar
2018,Movistar Team,Movistar
2019,Movistar Team,Movistar
2015,Nippo - Vini Fantini,Nippo Vini Fantini
2016,Nippo - Vini Fantini,Nippo Vini Fantini
2017,Nippo - Vini Fantini,Nippo Vini Fantini
2018,Nippo - Vini Fantini - Europa Ovini,Nippo Vini Fantini
2019,Nippo Vini Fantini Faizanè,Nippo Vini Fantini
2015,Team Novo Nordisk,Novo Nordisk
2016,Team Novo Nordisk,Novo Nordisk
2017,Team Novo Nordisk,Novo Nordisk
2018,Team Novo Nordisk,Novo Nordisk
2019,Team Novo Nordisk,Novo Nordisk
2014,MTN - Qhubeka,NTT
2015,MTN - Qhubeka,NTT
2016,Team Dimension Data,NTT
2017,Team Dimension Data,NTT
2018,Team Dimension Data,NTT
2019,Team Dimension Data,NTT
2019,Deceuninck - Quick Step,Quick Step
2014,Omega Pharma - Quick-Step,Quick Step
2017,Quick-Step Floors,Quick Step
2018,Quick-Step Floors,Quick Step
2015,Etixx - Quick Step,Quick Step
2016,Etixx - Quick Step,Quick Step
2018,Rally Cycling,Rally
2017,Rally Cycling,Rally
2019,Rally UHC Cycling,Rally
2018,Riwal CeramicSpeed Cycling Team,Riwal
2017,Riwal Platform Cycling Team,Riwal
2019,Riwal Readynez Cycling Team,Riwal
2019,Roompot - Charles,Roompot
2017,Roompot - Nederlandse Loterij,Roompot
2018,Roompot - Nederlandse Loterij,Roompot
2015,Roompot - Oranje Peloton,Roompot
2016,Roompot - Oranje Peloton,Roompot
2016,Tinkoff,Saxo Bank
2014,Tinkoff - Saxo,Saxo Bank
2015,Tinkoff - Saxo,Saxo Bank
2019,Team INEOS,Sky
2014,Team Sky,Sky
2015,Team Sky,Sky
2016,Team Sky,Sky
2017,Team Sky,Sky
2018,Team Sky,Sky
2019,Team Sky,Sky
2017,Sport Vlaanderen - Baloise,Sport Vlaanderen
2018,Sport Vlaanderen - Baloise,Sport Vlaanderen
2019,Sport Vlaanderen - Baloise,Sport Vlaanderen
2014,Topsport Vlaanderen - Baloise,Sport Vlaanderen
2015,Topsport Vlaanderen - Baloise,Sport Vlaanderen
2016,Topsport Vlaanderen - Baloise,Sport Vlaanderen
2017,Team Sunweb,Sunweb
2018,Team Sunweb,Sunweb
2019,Team Sunweb,Sunweb
2015,Team Giant - Alpecin,Sunweb
2016,Team Giant - Alpecin,Sunweb
2014,Team Giant - Shimano,Sunweb
