no_Rider,rider,n,
Kristian Aasvold,Aasvold Kristian,54,27
Jon Aberasturi,Aberasturi Jon,12,51
Jonas Abrahamsen,Abrahamsen Jonas,25,63
Pascal Ackermann,Ackermann Pascal,5472,88
Johannes Adamietz,Adamietz Johannes,14,100
Roger Adria,Adria Roger,13,115
Thijs Aerts,Aerts Thijs,80,127
Toon Aerts,Aerts Toon,152,128
Edoardo Affini,Affini Edoardo,3992,132
Jon Agirre,Agirre Jon,15,143
Bryan Alaphilippe,Alaphilippe Bryan,13,288
Julian Alaphilippe,Alaphilippe Julian,20111,289
Vincenzo Albanese,Albanese Vincenzo,2330,307
Michael Albasini,Albasini Michael,382,311
Giovanni Aleotti,Aleotti Giovanni,4380,360
Piet Allegaert,Allegaert Piet,7385,411
Joao Almeida,Almeida Joao,14,433
Mikel Alonso,Alonso Mikel,67,450
Andrey Amador,Amador Andrey,6357,501
Julen Amezqueta,Amezqueta Julen,1494,530
Winner Anacona,Anacona Winner,819,557
Idar Andersen,Andersen Idar,75,573
Idar-Andersen,Andersen Idar,12,573
Pedro-Andrade,Andrade Pedro,6,611
Antonio Angulo,Angulo Antonio,123,672
Stanislaw Aniolkowski,Aniolkowski Stanislaw,687,679
Julien Antomarchi,Antomarchi Julien,37,700
Amaro Antunes,Antunes Amaro,51,715
Davide Appollonio,Appollonio Davide,16,736
Sergio Araiz,Araiz Sergio,8,743
Alex Aranburu,Aranburu Alex,9720,748
Yukiya Arashiro,Arashiro Yukiya,415,760
Jorge Arcas,Arcas Jorge,300,766
Shane Archbold,Archbold Shane,814,770
John Archibald,Archibald John,26,771
Thymen Arensman,Arensman Thymen,7269,786
Mikel Aristi,Aristi Mikel,250,808
Bruno Armirail,Armirail Bruno,1685,820
Thomas-Armstrong,Armstrong Thomas,21,824
Nikias Arndt,Arndt Nikias,9738,828
Igor Arrieta,Arrieta Igor,21,861
Daniel Arroyave,Arroyave Daniel,194,866
Fabio Aru,Aru Fabio,9291,891
Kasper Asgreen,Asgreen Kasper,19234,912
Lewis Askey,Askey Lewis,3306,925
Jesper Asselman,Asselman Jesper,992,940
Darwin Atapuma,Atapuma Darwin,10,952
Orluis Aular,Aular Orluis,357,988
Juan Ayuso,Ayuso Juan,1612,1034
Ibai Azurmendi,Azurmendi Ibai,9,1055
Frederik Backaert,Backaert Frederik,4076,1085
Matteo Badilatti,Badilatti Matteo,4807,1105
Andrea Bagioli,Bagioli Andrea,12561,1149
Nicola Bagioli,Bagioli Nicola,361,1150
Davide Bais,Bais Davide,414,1181
Davide-Bais,Bais Davide,3,1181
Mattia Bais,Bais Mattia,764,1182
Jan Bakelants,Bakelants Jan,1434,1192
Onur Balkan,Balkan Onur,66,1251
Davide Ballerini,Ballerini Davide,10960,1260
Alexandre Balmer,Balmer Alexandre,51,1270
Adrian Banaszek,Banaszek Adrian,57,1285
Alan Banaszek,Banaszek Alan,41,1286
Carlos Barbero,Barbero Carlos,3604,1349
Pierre Barbier,Barbier Pierre,424,1353
