Race,Year,URL,race_name,Updated,n,race,type
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-18T09:00:21Z,650,race/amstel-gold-race/2021,1
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-17T23:59:23Z,650,race/amstel-gold-race/2021,1
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-17T20:00:26Z,670,race/amstel-gold-race/2021,1
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-17T09:00:24Z,685,race/amstel-gold-race/2021,1
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-16T23:59:24Z,685,race/amstel-gold-race/2021,1
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-16T20:00:26Z,685,race/amstel-gold-race/2021,1
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-16T09:00:23Z,680,race/amstel-gold-race/2021,1
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-15T23:59:23Z,680,race/amstel-gold-race/2021,1
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-15T20:00:24Z,680,race/amstel-gold-race/2021,1
Amstel Gold Race 2021,2021,https://www.nicerodds.co.uk/amstel-gold-race,Who wins Amstel Gold Race (AGR) 2021?,2021-04-15T09:00:26Z,660,race/amstel-gold-race/2021,1
