Fabio Jakobsen,2.87,2.87
Elia Viviani,5,5
Mathieu van der Poel,7,7
Alexander Kristoff,9,9
Matteo Trentin,11,11
Cees Bol,19,19
Ben Swift,21,21
Danny van Poppel,23,23
John Degenkolb,26,26
Jon Aberasturi,26,26
Davide Cimolai,29,29
Tom van Asbroeck,29,29
Edward Theuns,34,34
Philippe Gilbert,34,34
Greg van Avermaet,41,41
Jasper Stuyven,41,41
Niklas Arndt,41,41
Remco Evenepoel,41,41
Dries de Bondt,51,51
Florian Senechal,51,51
Luis Leon Sanchez,51,51
Nils Eekhoff,51,51
Simone Consonni,51,51
Michael Kwiatkowski,67,67
Rui Costa,67,67
Jempy Drucker,81,81
Yves Lampaert,81,81
