NAME,HIGH,LOW,BETWAY
Remco Evenepoel,1.67,1.67,1.67
Rohan Dennis,4,4,4
Stefan Kung,8,8,8
Max Schachmann,11,11,11
Mikkel Bjerg,15,15,15
Patrick Bevin,26,26,26
Geraint Thomas,29,29,29
Yves Lampaert,29,29,29
Tobias Ludvigsson,41,41,41
Bauke Mollema,41,41,41
Nils Politt,51,51,51
Tom Bohli,51,51,51
Tim Wellens,51,51,51
Michal Kwiatkowski,67,67,67
Miguel Angel Lopez,67,67,67
Vincenzo Nibali,67,67,67
Samuel Caldeira,67,67,67
Mathieu Van Der Poel,67,67,67
Ryan Mullen,67,67,67
Nathan Van Hooydonck,101,101,101
Matteo Trentin,101,101,101
Felix Grosschartner,101,101,101
Aime De Gendt,101,101,101
Rui Costa,101,101,101
Jan Polanc,101,101,101
Nikias Arndt,101,101,101
Luis Leon Sanchez Gil,101,101,101
Mads Schmidt,101,101,101
Brent Van Moer,101,101,101
