Remco Evenepoel,2.62,2.62
Geraint Thomas,6,6
Maximilian Schachmann,9,9
Michal Kwiatkowski,10,10
Rohan Dennis,11,11
Mathieu van der Poel,13,13
Miguel Angel Lopez,17,17
Bauke Mollema,19,19
Tim Wellens,21,21
Leonard Kamna,26,26
Rui Costa,26,26
Daniel Martin,29,29
Felix Grosschartner,29,29
Luis Leon Sanchez,29,29
Vincenzo Nibali,29,29
Greg van Avermaet,34,34
Patrick Bevin,34,34
Dylan van Baarle,41,41
Matteo Trentin,41,41
Xandro Meurisse,41,41
Yves Lampaert,41,41
Jan Polanc,51,51
Jonathan Castroviejo,51,51
Stefun Kung,67,67
Jasper Stuyven,81,81
Joe Dombrowski,81,81
Philippe Gilbert,81,81
Ryan Mullen,81,81
Aime de Gendt,101,101
Cees Bol,101,101
Davide Cimolai,101,101
Dries de Bondt,101,101
Edgard Pinto,101,101
Florian Senechal,101,101
Luis Angel Mate,101,101
Mads Schmidt,101,101
Nathan van Hooydonck,101,101
Niklas Arndt,101,101
Nils Politt,101,101
Tobias Ludvigson,101,101
Tom Bohli,101,101
Michael Schar,101,101
