NAME,HIGH,LOW,BET365,BETWAY
Aaron Van Poucke,751,751,751,
Aleksey Rybalkin,601,101,601,101
Alessandro Covi,301,301,301,
Alexis Gougeard,101,51,51,101
Álvaro Cuadros,401,401,401,
Amaury Capiot,67,67,,67
Andrea Pasqualon,201,41,201,41
Andrey Zeits,101,101,101,101
Ángel Madrazo,201,201,201,
Anthony Delaplace,601,601,601,
Antonio Pedrero,201,101,201,101
Antwan Tolhoek,126,26,126,26
Artem Nych,601,601,601,
Brandon Mc Nulty,34,34,34,34
Brent Bookwalter,301,301,301,
Bryan Coquard,501,34,501,34
Chris Harper,81,51,81,51
Christoffer Lisson,601,601,601,
Clément Venturini,81,34,81,34
Damiano Caruso,23,23,23,
David De La Cruz,126,51,126,51
Diego Rubio,401,401,401,
Dries Van Gestel,301,301,301,
Dylan Teuns,3.6,3.5,3.5,3.6
Edoardo Affini,601,41,601,41
Edward Planckaert,601,601,601,
Edward Ravasi,301,301,301,
Eliot Lietaer,251,251,251,
Enric Mas Nicolau,51,26,51,26
Enrique Sanz Unzué,301,301,301,
Evgeny Shalunov,151,151,151,
Floris De Tier,126,101,126,101
Garikoitz Bravo,251,251,251,
Gonzalo Serrano,51,41,51,41
Harm Vanhoucke,101,67,101,67
Hugo Houle,101,101,,101
Ibai Azurmendi,501,501,501,
Jack Haig,12,11,12,11
Jaime Castrillo,401,401,401,
Jakob Fuglsang,8,6,8,6
James Shaw,601,101,601,101
Jan Bakelants,101,81,81,101
Jefferson Alexander Cepeda,301,301,301,
Jelle Vanendert,126,67,126,67
Jens Debusschere,101,101,,101
Jérôme Cousin,101,101,,101
Jimmy Janssens,351,351,351,
Jon Izagirre,34,19,34,19
Jorge Arcas,301,301,301,
Juan Felipe Osorio,126,126,126,
Juan José Lobato,34,29,34,29
Julien Simon,67,67,67,67
Kobe Goossens,401,401,401,
Kristian Aasvold,501,501,501,
Loïc Vliegen,67,67,67,67
Louis Vervaeke,151,151,151,
Lukasz Owsian,401,401,401,
Marc Soler,34,21,34,21
Marco Canola,201,34,201,34
Mark Padun,67,67,67,
Matej Mohoric,10,9,10,9
Matthew Holmes,151,67,151,67
Maurits Lammertink,67,41,41,67
Mikel Bizkarra,67,67,67,67
Mikel Iturria,101,101,101,
Mikel Landa,13,11,13,11
Mikel Nieve,81,34,81,34
Nelson Oliveira,151,151,151,
Niki Terpstra,201,201,201,
Nikita Stalnov,601,601,601,
Oliver Naesen,67,41,41,67
Orluis Aular,67,67,,67
Óscar Cabedo Cardá,251,251,251,
Paul Martens,101,101,,101
Pello Bilbao,11,9,9,11
Petr Vakoc,81,67,81,67
Rasmus Quaade,101,101,,101
Roger Adria,501,501,501,
Romain Sicard,301,301,301,
Rubén Fernández,101,41,101,41
Sander Armée,126,67,126,67
Sebastian Schönberger,251,101,251,101
Silvan Dillier,67,67,67,67
Simone Velasco,81,67,81,67
Sindre Skjøstad Lunke,751,751,751,
Sonny Colbrelli,81,34,81,34
Steafano-Oldani,51,51,,51
Stefano Oldani,81,81,81,
Stijn Vandenbergh,101,101,,101
Thibaut Guernalec,501,501,501,
Thomas Sprengers,201,201,201,
Tomasz Marczynski,51,51,51,51
Vadim Pronskiy,501,501,501,
Valerio Conti,51,34,34,51
Vegard Stake Laengen,401,401,401,
Willie Smit,301,301,301,
