NAME,HIGH,LOW,Bet365,Betway
Jakob Fuglsang,3.5,3.25,3.5,3.25
Brandon Mc Nulty,6,5.5,6,5.5
Ion Izagirre,7.5,6,6,7.5
Edoardo Affini,8,7,8,7
Nelson Oliveira,10,7,7,10
Marc Soler,12,9,9,12
Pello Bilbao,12,12,12,12
Jack Haig,21,17,17,21
Damiano Caruso,26,17,17,26
Dylan Teuns,26,23,23,26
Matej Mohoric,41,29,29,41
Enric Mas Nicolau,41,41,41,41
Alexander Edmondson,51,29,29,51
Silvan Dillier,67,41,41,67
Valerio Conti,67,51,67,51
Brent Bookwalter,81,67,67,81
Dmitriy Gruzdev,81,81,,81
Niki Terpstra,81,81,81,81
Thibault Guernalec,81,81,,81
Alexis Gougeard,101,67,67,101
Jimmy Janssens,101,81,101,81
Oliver Naesen,101,101,,101
Ruben-Fernandrz,101,101,,101
Chris Harper,151,81,151,81
Hugo Houle,151,101,151,101
Mikel Landa,151,101,151,101
Jan Bakelants,151,151,,151
Maurits Lammertink,151,151,,151
Mikel Nieve,201,201,,201
Loïc Vliegen,251,251,,251
Mikel Bizkarra,251,251,,251
Sonny Colbrelli,251,251,,251
Damien Gaudin,301,67,301,67
Romain Sicard,301,151,301,151
Christoffer Lisson,301,301,301,
Kevin Reza,301,301,,301
Rubén Fernández,301,301,301,
Andrey Zeits,401,81,401,81
Dmitry Gruzdev,401,401,401,
Antwan Tolhoek,501,201,501,201
Harm Vanhoucke,501,501,501,
Jürgen Roelandts,501,501,501,
Jaime Castrillo,501,501,501,
Vegard Stake Laengen,501,501,501,
Sander Armée,601,251,601,251
Thibaut Guernalec,601,601,601,
