NAME,HIGH,LOW,Betway
Remco Evenepoel,5,5,5
Mikel Landa,6,6,6
Simon Yates,7,7,7
Ivan Sosa,8,8,8
David Gaudu,9,9,9
George Bennett,9,9,9
Esteban Chaves,9,9,9
Richard Carapaz,19,19,19
Alejandro Valverde,26,26,26
Enric Mas,26,26,26
Ben Hermans,34,34,34
Joao Almeida,41,41,41
Oscar Rodriguez,41,41,41
Marc Soler,51,51,51
Fabio Aru,67,67,67
Jack Haig,67,67,67
Rafal Majka,67,67,67
Eddie Dunbar,81,81,81
Sepp Kuss,81,81,81
Ben O'Connor,101,101,101
Felix Grossschartner,101,101,101
Mikel Nieve,101,101,101
Alex Aranburu,126,126,126
Lennard Kamna,126,126,126
Pello Bilbao,126,126,126
David de la Cruz,151,151,151
Joel Beltran,151,151,151
Roger Adria,151,151,151
Angel Madrazo,201,201,201
Antonio Pedrero,201,201,201
Damiano Caruso,201,201,201
Daniel Navarro,201,201,201
Louis Meintjes,201,201,201
Lucas Hamilton,201,201,201
Mikel Bizkarra,201,201,201
Nikolay Cherkasov,201,201,201
Rodrigo Contreras,201,201,201
Sergei Chernetski,201,201,201
Thibaut Guernelac,201,201,201
Victor de la Parte,201,201,201
