NAME,HIGH,LOW,Betway
Jasper Stuyven,6.5,6.5,6.5
Mikel Landa,4.33,4.33,4.33
Giacomo Nizzolo,8.5,8.5,8.5
Damiano Caruso,9,9,9
Fernando Gaviria,11,11,11
Jon Aberasturi,11,11,11
Jhonatan Restrepo,13,13,13
Miguel Florez,13,13,13
Eduard Prades,15,15,15
Edward Theuns,15,15,15
Pello Bilbao,17,17,17
Jefferson Cepeda,21,21,21
Matteo Moschetti,26,26,26
Juan Jose Lobato,29,29,29
Gonzalo Serrano,34,34,34
Juan Lopez,34,34,34
Jose Rojas,41,41,41
Meds Pedersen,41,41,41
Nelson Oliveira,41,41,41
Baptiste Planckaert,51,51,51
Elliot Lietaer,51,51,51
Heinrich Haussler,51,51,51
Jetse Bol,51,51,51
Paolo Toto,51,51,51
Ben O'Connor,67,67,67
Danilo Wyss,67,67,67
Eros Capecchi,67,67,67
Jelle Vanendert,67,67,67
Jonathan Lastra,67,67,67
Jorge Arcas,67,67,67
Jose Diaz,67,67,67
Louis Meintjes,67,67,67
Ruben Fernandez,67,67,67
Angel Madrazo,101,101,101
