Julian Alaphilippe,1.9,1.9
Edwin Ávila,5,5
Juan Sebastián Molano,5.5,5.5
Jhonatan Restrepo,11,11
Bob Jungels,13,13
Sergio Higuita,17,17
Colin Joyce,23,23
Miguel Eduardo Flórez López,26,26
Maximiliano Richeze,34,34
Carlos Betancur,41,41
Diego Ochoa,41,41
Álvaro José Hodeg,51,51
Egan Bernal,51,51
Jannik Steimle,51,51
Jhonatan Narváez,51,51
Lawson Craddock,51,51
Richard Carapaz,51,51
Rigoberto Urán,51,51
Sebastián Henao,51,51
Simon Pellaud,51,51
Tejay Van Garderen,51,51
Travis Mc Cabe,51,51
Umberto Marengo,51,51
Robin Carpenter,67,67
