Juan Sebastián Molano,1.8,1.8,1.8
Álvaro José Hodeg,3.25,3.25,3.25
Edwin Ávila,12,12,12
Bob Jungels,17,17,17
Jhonatan Restrepo,17,17,17
Marco Benfatto,17,17,17
Maximiliano Richeze,17,17,17
Itamar Einhorn,26,26,26
Nicolás Naranjo,26,26,26
Bryan Gómez,34,34,34
Colin Joyce,34,34,34
Julian Alaphilippe,34,34,34
Travis Mc Cabe,34,34,34
Andrea Peron,51,51,51
Bert Van Lerberghe,67,67,67
Davide Appollonio,67,67,67
Jannik Steimle,67,67,67
Aleksandr Smirnov,101,101,101
Daniel Felipe Martínez,101,101,101
Lev Gonov,101,101,101
Sergio Higuita,101,101,101
Umberto Marengo,101,101,101
Óscar Sevilla,201,201,201
Carlos Betancur,201,201,201
Carlos Verona,201,201,201
Cristian Camilo Muñoz,201,201,201
Darwin Atapuma,201,201,201
Egan Bernal,201,201,201
Esteban Chaves,201,201,201
Fabio Aru,201,201,201
Jonathan Caicedo,201,201,201
Lawson Craddock,201,201,201
Miguel Eduardo Flórez López,201,201,201
Richard Carapaz,201,201,201
Rigoberto Urán,201,201,201
Sebastián Henao,201,201,201
Sergio Henao,201,201,201
Tejay Van Garderen,201,201,201
