NAME,HIGH,LOW,Betway
Alvaro Hodeg,7,7,7
Benoit Cosnefroy,8,8,8
Edward Planckaert,11,11,11
Aleksandr Riabushenko,13,13,13
Hugo Hofstetter,13,13,13
Andre Greipel,17,17,17
Joao Almeida,17,17,17
Primoz Roglic,19,19,19
Remi Cavagna,19,19,19
Tom Skujins,19,19,19
Jonathan Hivert,23,23,23
Tom van Asbroeck,26,26,26
Alexys Brunel,34,34,34
Bauke Mollema,34,34,34
Dan Martin,34,34,34
Nils Politt,34,34,34
Pierre Barbier,34,34,34
Bert van Lerberghe,41,41,41
Egan Bernal,41,41,41
Kiel Reijnen,41,41,41
Odd Christian Eiking,41,41,41
Stefan Bissegger,41,41,41
Tom Jelte Slagter,41,41,41
Anthony Maldonado,51,51,51
Bryan Alaphilippe,67,67,67
Geraint Thomas,67,67,67
Jesus Herrada,67,67,67
Luca Mozzato,67,67,67
Tao Geoghegan Hart,67,67,67
Tom Dumoulin,67,67,67
Valerio Conti,67,67,67
Alexis Vuillermoz,67,67,67
Guillaume Martin,81,81,81
Jeremy Lecroq,81,81,81
Mads Schmidt,81,81,81
Attilo Viviani,101,101,101
Jarrad Drizenrs,101,101,101
Simon Pellaud,101,101,101
Andrea Bagnoli,151,151,151
Georg Zimmerman,151,151,151
George Bennett,151,151,151
Jelle Wallays,201,201,201
Richie Porte,201,201,201
Carl Fredrik Hagen,251,251,251
Chris Froome,251,251,251
