NAME,HIGH,LOW,BETWAY
Julian Alaphilippe,3,3,3
Benoît Cosnefroy,6,6,6
Simon Clarke,9,9,9
Guillaume Martin,11,11,11
Valentin Madouas,11,11,11
Bauke Mollema,13,13,13
Lilian Calmejane,13,13,13
Vincenzo Nibali,13,13,13
Warren Barguil,17,17,17
Tanel Kangert,21,21,21
Xandro Meurisse,23,23,23
Alexander Kamp,34,34,34
Mathias Frank,34,34,34
Nicolas Edet,34,34,34
Odd Christian Eiking,34,34,34
Quentin Pacher,34,34,34
Roman Kreuziger,34,34,34
Sébastien Reichenbach,34,34,34
Jonathan Hivert,41,41,41
Anthony Delaplace,51,51,51
Aurélien Paret-Painter,51,51,51
Garikoitz Bravo,51,51,51
Kilian Frankiny,51,51,51
Maurits Lammertink,51,51,51
Pierre Rolland,51,51,51
Rémi Cavagna,51,51,51
Amanuel Gebrezgabihier,67,67,67
Anthony Perez,67,67,67
Anthony Roux,67,67,67
Carlos Barbero,67,67,67
Gonzalo Serrano,67,67,67
James Shaw,67,67,67
João Almeida,67,67,67
Jonathan Klever Caicedo,67,67,67
Julien Bérard,67,67,67
Julien Simon,67,67,67
Mickaël Cherel,67,67,67
Nicolas Zukowsky,67,67,67
Romain Combaud,67,67,67
Toms Skujinš,67,67,67
Alex Molenaar,81,81,81
Dries Devenyns,81,81,81
Benjamin king,101,101,101
Dayer Quintana,101,101,101
Diego Rubio,101,101,101
Dimitri Peyskens,101,101,101
Jérémy Cabot,101,101,101
Jérôme Cousin,101,101,101
Lukasz Owsian,101,101,101
Mikkel Frølich Honoré,101,101,101
Nans Peters,101,101,101
Nathan Brown,101,101,101
Pierre-Luc Périchon,101,101,101
Romain Sicard,101,101,101
Ryan Gibbons,101,101,101
Sebastian Schönberger,101,101,101
Simone Petilli,101,101,101
Sindre Skjøstad Lunke,101,101,101
Antonio Nibali,151,151,151
Maxime Bouet,151,151,151
