RIDER,HIGH,LOW,BET365,BWIN,UNIBET
Mathieu Van Der Poel,3.5,3.25,3.25,3.5,3.5
Peter Sagan,7,6.5,7,7,6.5
Julian Alaphilippe,10,9,10,10,9
Wout Van Aert,12,9,12,9,12
Greg Van Avermaet,19,17,19,19,17
Philippe Gilbert,21,19,21,19,21
Bob Jungels,23,15,19,15,23
Oliver Naesen,23,19,23,19,23
Alberto Bettiol,26,17,17,17,26
Zdenek Stybar,29,21,29,26,21
Alexander Kristoff,29,26,29,26,29
Matteo Trentin,34,26,29,26,34
Michal Kwiatkowski,34,26,34,26,34
Niki Terpstra,34,26,34,26,34
Sep Vanmarcke,34,29,34,34,29
Michael Matthews,34,34,34,34,34
Kasper Asgreen,41,34,34,34,41
Michael Valgren,41,34,34,,41
Yves Lampaert,41,34,41,34,34
Alexey Lutsenko,51,26,51,26,51
Mads Pedersen,51,26,34,26,51
Jasper Stuyven,51,34,51,34,41
Geraint Thomas,51,51,51,,
Tiesj Benoot,51,51,51,,51
Alejandro Valverde,67,51,67,51,67
John Degenkolb,67,51,67,51,51
Nils Politt,81,34,81,34,51
Sonny Colbrelli,101,67,67,,101
Tim Wellens,101,67,101,101,67
Dylan Van Baarle,101,81,101,,81
Matej Mohoric,101,101,101,101,101
Mike Teunissen,126,51,81,51,126
Gianni Moscon,126,67,67,67,126
Arnaud Démare,126,101,126,101,101
Elia Viviani,126,101,126,101,
Fernando Gaviria,126,101,126,101,101
Iván García Cortina,126,101,126,,101
Luke Rowe,126,101,101,,126
Søren Kragh Andersen,126,101,126,101,101
Stefan Küng,126,101,126,101,101
Magnus Cort,126,126,,,126
Edvald Boasson Hagen,151,101,126,101,151
Florian Senechal,151,101,101,,151
Davide Ballerini,151,126,126,,151
Sebastian Langeveld,201,81,201,,81
Edward Theuns,201,151,201,,151
Ian Stannard,201,151,151,,201
Lars Boom,201,201,,,201
Luke Durbridge,201,201,201,,
Quinten Hermans,201,201,201,,
Tony Martin,201,201,201,,
Jasper Philipsen,251,151,251,,151
Silvan Dillier,251,201,251,,201
Anthony Turgis,251,251,,,251
Daniel Oss,251,251,251,,251
Dylan Teuns,251,251,251,,
Niccolò Bonifazio,251,251,251,,
Timo Roosen,251,251,251,,
Tony Gallopin,251,251,251,,
Jens Keukeleire,301,126,126,301,201
Dylan Groenewegen,301,151,151,301,
Fabio Jakobsen,301,151,151,301,
Owain Doull,301,151,151,,301
Danny Van Poppel,301,201,301,,201
Stijn Vandenbergh,301,201,301,,201
Jelle Wallays,301,251,301,,251
Jens Debusschere,301,251,301,,251
Tim Merlier,301,251,301,,251
Amaury Capiot,301,301,,,301
Amund Grøndahl Jansen,301,301,301,,
Dries Devenyns,301,301,301,,
Giacomo Nizzolo,301,301,301,,
Jürgen Roelandts,301,301,301,,301
Jan-Willem Van Schip,301,301,,,301
Cees Bol,401,201,401,,201
Christophe Laporte,401,251,251,,401
Alex Kirsch,401,401,,,401
Bert Van Lerberghe,401,401,401,,
Bryan Coquard,401,401,401,,401
Heinrich Haussler,401,401,401,,401
Jasper De Buyst,401,401,401,,
Jempy Drucker,401,401,401,,
Luka Mezgec,401,401,401,,
Marcus Burghardt,401,401,401,,401
Nikolas Maes,401,401,,,401
Oscar Gatto,401,401,401,,401
Lukas Pöstlberger,501,301,501,,301
Lukasz Wisniowski,501,301,301,,501
Adrien Petit,501,401,501,,401
Fabio Felline,501,401,501,,401
Sacha Modolo,501,401,501,,401
Alexander Edmondson,501,501,501,,
Alexis Gougeard,501,501,501,,
Baptiste Planckaert,501,501,501,,
Ben Swift,501,501,501,,
Christopher Juul-Jensen,501,501,501,,
Dries Van Gestel,501,501,,,501
Frederik Backaert,501,501,501,,501
Imanol Erviti,501,501,501,,501
Maarten Wynants,501,501,,,501
Marco Haller,501,501,,,501
Sean De Bie,501,501,,,501
Simone Consonni,501,501,501,,
Taco Van Der Hoorn,501,501,501,,
Tom Devriendt,501,501,501,,501
Tom Van Asbroeck,501,501,501,,
Yoann Offredo,501,501,501,,
Guillaume Van Keirsbulck,601,401,601,,401
Andrey Amador,601,601,601,,
Corné Van Kessel,601,601,601,,
Dimitri Claeys,601,601,601,,
Iljo Keisse,601,601,,,601
Jack Bauer,601,601,601,,
Jasha Sütterlin,601,601,601,,
Jenthe Biermans,601,601,601,,
Jonas Rickaert,601,601,,,601
Julien Duval,601,601,601,,
Marco Marcato,601,601,601,,
Mark Cavendish,601,601,601,,
Nikias Arndt,601,601,601,,
Nils Eekhoff,601,601,601,,
Gianni Vermeersch,751,401,751,,401
Julien Vermote,751,401,751,,401
Laurens De Vreese,751,401,751,,401
Piet Allegaert,751,501,751,,501
Alberto Dainese,751,751,751,,
Andrea Pasqualon,751,751,751,,
Andreas Stokbro,751,751,751,,
Damien Gaudin,751,751,751,,
Hugo Houle,751,751,751,,
Kaden Groves,751,751,751,,
Loïc Vliegen,751,751,751,,
Mads Würtz Schmidt,751,751,751,,
Mathieu Ladagnous,751,751,751,,
Michael Schär,751,751,751,,
Moreno Hofland,751,751,751,,
Nelson Oliveira,751,751,751,,
Reinardt Janse Van Rensburg,751,751,751,,
Robert Stannard,751,751,751,,
Sven Erik Bystrøm,751,751,751,,
Ramon Sinkeldam,801,601,601,,801
Tim Declercq,801,801,,,801
Casper Pedersen,1001,1001,1001,,
Jordi Warlop,1001,1001,1001,,
Max Kanter,1001,1001,1001,,
Michael Carbel,1501,1501,1501,,
