RIDER,HIGH,LOW,BET365,BETWAY,INTERTOPS,UNIBET
Richard Carapaz,3,2.75,2.75,3,2.75,2.75
Vincenzo Nibali,3.75,3.5,3.75,3.75,3.5,3.75
Simon Yates,5.5,4.75,5.5,5,5,4.75
Remco Evenepoel,8,7.5,8,7.5,8,8
Jakob Fuglsang,15,8.5,10,8.5,15,15
Romain Bardet,17,15,17,15,17,17
Rafal Majka,23,21,23,23,21,23
Wilco Kelderman,29,19,29,23,26,19
George Bennett,34,29,34,29,34,29
Pavel Sivakov,41,26,41,26,29,26
Ilnur Zakarin,51,41,51,41,51,51
Giulio Ciccone,51,51,51,51,51,51
Iván Ramiro Sosa,67,41,51,41,51,67
Tao Geoghegan Hart,81,41,67,41,67,81
Maximilian Schachmann,101,67,101,67,81,101
Rohan Dennis,101,67,101,81,81,67
Hugh John Carthy,101,81,81,101,101,101
Davide Formolo,126,81,126,81,101,101
Domenico Pozzovivo,126,81,126,81,126,126
Patrick Konrad,151,151,151,151,151,151
Aleksandr Vlasov,201,67,126,67,126,201
Jack Haig,201,151,151,201,201,201
Jon Izagirre,201,151,201,151,,201
Tejay Van Garderen,201,151,201,151,151,151
Damiano Caruso,251,201,201,251,251,251
Andrés Camilo Ardila,301,151,301,151,251,251
David De La Cruz,301,201,301,201,251,251
Jesús Herrada,301,201,301,251,301,201
Louis Meintjes,301,201,251,201,251,301
Tanel Kangert,301,201,301,201,,201
James Knox,401,101,401,101,201,251
Kevin Rivera,401,251,301,251,401,301
Tony Gallopin,401,251,401,251,401,401
Lucas Hamilton,401,301,401,,301,301
Pello Bilbao,401,301,401,301,301,301
Andrey Amador,401,401,401,,401,401
Ben O'connor,501,251,401,251,,501
Miguel Eduardo Flórez López,501,251,251,,,501
Carlos Betancur,501,301,301,501,301,301
Óscar Rodríguez,501,401,501,,501,401
Fausto Masnada,501,401,401,501,401,401
Gianni Moscon,501,401,401,501,401,501
Mikel Nieve,501,401,501,501,501,401
Alexnadre-Geniez,501,501,,501,,
Ben O'Connor,501,501,,,501,
Joe Dombrowski,501,501,501,501,,501
Alexandre Geniez,601,501,601,,501,601
Carl Fredrik Hagen,601,501,601,501,501,601
James Piccoli,601,501,601,,,501
Jan Hirt,601,501,601,501,501,501
Tim Wellens,601,501,601,501,,501
Gianluca Brambilla,751,501,751,501,,601
Robert Power,751,501,751,501,,501
Thomas De Gendt,751,501,751,,,501
Antwan Tolhoek,751,601,751,,751,601
Einer Rubio,751,601,751,,,601
Filippo Ganna,751,751,751,,,
Diego Ulissi,801,501,751,501,,801
Alexis Vuillermoz,1001,501,1001,501,751,1001
Giovanni Carboni,1001,801,1001,,1001,801
Jai Hindley,1001,801,1001,,,801
Kenny Elissonde,1001,801,1001,,,801
Mattia Cattaneo,1001,801,1001,,,801
Valerio Conti,1001,801,1001,,,801
Giovanni Visconti,1001,1001,1001,,1001,1001
Gorka Izagirre,1001,1001,1001,,,1001
Jefferson Alexander Cepeda,1001,1001,1001,,,
Michael Storer,1001,1001,1001,,,1001
Peter Sagan,1001,1001,,,,1001
