NAME,HIGH,LOW,BET365,BETWAY,UNIBET
Fabio Jakobsen,5,5,5,5,5
Alexander Kristoff,9,8,8,8.5,9
Matteo Trentin,15,12,15,13,12
Cees Bol,15,15,15,15,15
Jasper Philipsen,19,13,13,19,13
Tim Merlier,19,15,15,19,19
Greg Van Avermaet,21,19,21,19,19
Sonny Colbrelli,21,21,21,21,21
Jasper Stuyven,23,21,23,23,21
John Degenkolb,26,23,23,23,26
Zdenek Stybar,26,23,26,23,26
Oliver Naesen,29,23,26,29,23
Bob Jungels,29,26,26,29,29
Yves Lampaert,29,26,26,26,29
Giacomo Nizzolo,34,26,34,34,26
Davide Ballerini,34,34,34,34,
Mads Pedersen,34,34,34,34,34
Kasper Asgreen,41,29,29,34,41
Niki Terpstra,41,34,41,34,41
Jens Keukeleire,41,41,41,41,41
Edvald Boasson Hagen,51,41,51,51,41
Edward Theuns,51,41,41,41,51
Danny Van Poppel,51,51,51,51,51
Jens Debusschere,51,51,51,51,51
Michael Valgren,51,51,51,51,51
Nils Politt,51,51,,,51
Sacha Modolo,51,51,51,51,
Phil Bauhaus,67,51,67,67,51
Roy Jans,67,67,,,67
Søren Kragh Andersen,67,67,67,67,67
Clément Venturini,101,51,81,101,51
Bryan Coquard,101,67,81,101,67
Ian Stannard,101,81,81,101,101
Jempy Drucker,101,81,81,101,81
Stefan Küng,101,81,81,101,101
Lukasz Wisniowski,126,101,126,126,101
Luke Rowe,126,126,126,126,126
Tom Van Asbroeck,126,126,,,126
Hugo Hofstetter,151,67,126,151,67
Ben Swift,151,81,126,151,81
Kristoffer Halvorsen,151,101,151,151,101
Marc Sarreau,151,101,151,151,101
Adrien Petit,151,126,151,151,126
Frederik Frison,151,151,,,151
Anthony Turgis,201,151,201,151,151
Jürgen Roelandts,201,151,201,151,151
Alexander Edmondson,201,201,201,201,201
Bert Van Lerberghe,201,201,,,201
Chris Lawless,201,201,201,201,201
Heinrich Haussler,201,201,201,201,201
Moreno Hofland,201,201,201,201,201
Piet Allegaert,201,201,201,201,201
Juan Sebastián Molano,251,151,251,201,151
Silvan Dillier,251,151,251,151,201
Erik Baška,251,201,201,251,201
Fabio Felline,251,201,251,201,201
Luke Durbridge,251,201,201,201,251
Milan Menten,251,251,251,251,251
Vegard Stake Laengen,251,251,,,251
Timothy Dupont,301,151,301,251,151
Andreas Stokbro Nielsen,301,251,301,,251
Dion Smith,301,251,301,251,251
Jonas Koch,301,251,301,301,251
Aksel Nõmmela,301,301,,,301
Alex Aranburu,301,301,301,301,301
Amaury Capiot,301,301,,,301
Andreas Stokbro,301,301,,301,
Daniel Hoelgaard,301,301,301,301,301
Jelle Wallays,301,301,301,,
Nikias Arndt,301,301,301,301,301
Sean De Bie,301,301,301,301,301
Quinn Simmons,401,201,401,301,201
Stijn Vandenbergh,401,251,401,301,251
Nils Eekhoff,401,301,401,301,301
Patrick Bevin,401,301,401,301,301
Davide Martinelli,401,401,401,401,401
Emils Liepinš,401,401,401,401,401
Fabian Lienhard,401,401,,,401
Guillaume Van Keirsbulck,401,401,,,401
Gabriel Cullaigh,501,301,501,401,301
Lukas Pöstlberger,501,301,501,301,401
Martin Laas,501,301,501,401,301
Mikkel Bjerg,501,301,401,501,301
Travis Mc Cabe,501,301,501,401,301
Boy Van Poppel,501,401,501,401,401
Frederik Backaert,501,401,501,501,401
Jasha Sütterlin,501,401,501,401,401
Laurens De Vreese,501,401,501,501,401
Lorenzo Manzin,501,401,501,501,401
Alexander Konychev,501,501,501,,501
Casper Pedersen,501,501,501,,501
Eduard Prades,501,501,,,501
Jenthe Biermans,501,501,501,501,501
Julien Duval,501,501,501,501,501
Kevyn Ista,501,501,,,501
Lawrence Naesen,501,501,,,501
Nikolas Maes,501,501,501,501,501
Kristian Sbaragli,601,401,601,401,501
Lionel Taminiaux,601,401,601,501,401
Reinardt Janse Van Rensburg,601,401,601,501,401
Alexander Krieger,601,501,601,501,
Alexys Brunel,601,501,601,501,
Cédric Beullens,601,501,601,501,501
Cyril Barthe,601,501,601,501,601
Dimitri Claeys,601,501,601,501,601
Edoardo Affini,601,501,601,501,601
Grega Bole,601,501,601,501,601
Hugo Houle,601,501,601,501,501
Jhonatan Narváez,601,501,601,501,601
Jonas Rickaert,601,501,601,501,501
Patrick Gamper,601,501,601,501,601
Anders Skaarseth,601,601,,,601
Bert De Backer,751,501,751,501,601
Boris Vallée,751,501,751,501,501
Damien Gaudin,751,501,751,501,601
Damien Touzé,751,501,751,501,501
Dorian Godon,751,501,751,501,601
Dries Van Gestel,751,501,751,501,601
Fred Wright,751,501,751,501,601
Kenneth Van Bilsen,751,501,751,501,601
Nico Denz,751,501,751,501,601
Markus Hoelgaard,751,601,751,,601
Jérémy Lecroq,1001,751,751,1001,
Johan Jacobs,1001,751,751,1001,
Sasha Weemaes,1001,751,751,1001,
