NAME,High,Low,Betway
Florian Senechal,5.5,5.5,5.5
Jasper Stuyven,7,7,7
Tim Merlier,7,7,7
Niki Terpstra,8,8,8
Clément Venturini,13,13,13
Silvan Dillier,13,13,13
Álvaro José Hodeg,15,15,15
Giacomo Nizzolo,15,15,15
Jannik Steimle,19,19,19
Bryan Coquard,21,21,21
Pieter Serry,21,21,21
Aimé De Gendt,23,23,23
Tim Declercq,26,26,26
Tom Van Asbroeck,29,29,29
Alex Kirsch,34,34,34
Edward Planckaert,34,34,34
Hugo Hofstetter,34,34,34
Timothy Dupont,34,34,34
Adrien Petit,41,41,41
Bert Van Lerberghe,41,41,41
Christophe Noppe,41,41,41
Edvald Boasson Hagen,41,41,41
Lawrence Naesen,41,41,41
Reinardt Janse Van Rensburg,41,41,41
Frederik Backaert,51,51,51
Kenneth Van Rooy,51,51,51
Piotr Havik,51,51,51
Amaury Capiot,67,67,67
Arvid De Kleijn,67,67,67
Daniel Mc Lay,67,67,67
Dries Van Gestel,67,67,67
Emils Liepinš,67,67,67
Jerome Baugnies,67,67,67
Jesper Asselman,67,67,67
Kris Boeckmans,67,67,67
Loïc Vliegen,67,67,67
Milan Menten,67,67,67
Ryan Mullen,67,67,67
Sacha Modolo,67,67,67
Stijn Steels,67,67,67
Stijn Vandenbergh,67,67,67
Alexis Gougeard,81,81,81
Bert De Backer,81,81,81
Bram Welten,81,81,81
Emiel Vermeulen,81,81,81
Gianni Vermeersch,81,81,81
Jimmy Janssens,81,81,81
Jonas Van Genechten,81,81,81
Jordi Warlop,81,81,81
Julien Duval,81,81,81
Lorenzo Manzin,81,81,81
Martijn Budding,81,81,81
Michael Van Staeyen,81,81,81
Roy Jans,81,81,81
Sander Armée,81,81,81
Arjen Livyns,101,101,101
Benjamin Declercq,101,101,101
Boris Vallée,101,101,101
Dorian Godon,101,101,101
Elmar Reinders,101,101,101
Enzo Wouters,101,101,101
Gianni Marchand,101,101,101
Luca Mozzato,101,101,101
Michael Gogl,101,101,101
Philipp Walsleben,101,101,101
Rémy Mertz,101,101,101
Shane Archbold,101,101,101
Thomas Stewart,101,101,101
Tom Devriendt,101,101,101
Cédric Beullens,126,126,126
Damien Gaudin,126,126,126
Dimitri Peyskens,126,126,126
Jordi Meeus,126,126,126
Kevyn Ista,126,126,126
Pieter Vanspeybrouck,126,126,126
Robin Froidevaux,126,126,126
