rider1,rider2,odds1,odds2,stage,race,year
Dylan Groenewege,Caleb Ewan,1.653,2.26,1,UAE Tour,2020
Fernando Gaviria,Arnaud Demare,1.436,2.85,1,UAE Tour,2020
Max Walschied,Alberto Dainese,2.29,1.636,1,UAE Tour,2020
Sam Bennett,Pascal Ackermann,1.495,2.64,1,UAE Tour,2020
Rudy Barbier,Luka Mezgec,1.735,2.12,1,UAE Tour,2020
Jakub Mareczko,Mark Cavendish,1.632,2.3,1,UAE Tour,2020
Alejandro Valverde,Alexey Lutsenko,2.34,1.613,GC,UAE Tour,2020
Domenico Pozzovivo,Carl Fredrik Hagen,2.22,1.675,GC,UAE Tour,2020
Emanuel Buchmann,David Gaudu,1.442,2.82,GC,UAE Tour,2020
James Knox,Eddie Dunbar,2.27,1.649,GC,UAE Tour,2020
Jesus Herrada,Giulio Ciccone,2.24,1.666,GC,UAE Tour,2020
Laurens de Plus,Ilnur Zakarin,1.613,2.34,GC,UAE Tour,2020
Patrick Konrad,Jan Hirt,1.49,2.66,GC,UAE Tour,2020
Rafal Majka,Davide Formolo,1.704,2.17,GC,UAE Tour,2020
Tadej Pogacar,Adam Yates,1.285,3.71,GC,UAE Tour,2020
Wout Poels,Wilco Kelderman,1.666,2.23,GC,UAE Tour,2020
Adam Yates,David Gaudu,1.724,2.14,2,UAE Tour,2020
Alejandro Valverde,Wilco Kelderman,1.666,2.23,2,UAE Tour,2020
Alexey Lutsenko,Tadej Pogacar,1.943,1.877,2,UAE Tour,2020
Caleb Ewan,Luka Mezgec,1.333,3.36,2,UAE Tour,2020
Diego Ulissi,Patrick Konrad,1.531,2.53,2,UAE Tour,2020
Emanuel Buchmann,Laurens de Plus,1.5,2.63,2,UAE Tour,2020
Giulio Ciccone,Eddie Dunbar,2.2,1.666,2,UAE Tour,2020
Jesus Herrada,Wout Poels,1.724,2.14,2,UAE Tour,2020
Caleb Ewan,Field,2.07,1.769,2,UAE Tour,2020
Luka Mezgec,Field,6.3,1.125,2,UAE Tour,2020
Alexey Lutsenko,Field,9.08,1.066,2,UAE Tour,2020
Nathan Haas,Quetin Jauregui,1.4,3,2,UAE Tour,2020
Rafal Majka,Davide Formolo,2.14,1.724,2,UAE Tour,2020
Timo Roosen,Andrea Vendrame,1.675,2.21,2,UAE Tour,2020
Tadej Pogacar,Field,1.943,1.877,3,UAE Tour,2020
Alejandro Valverde,Field,7,1.105,3,UAE Tour,2020
Alexey Lutsenko,Field,7.45,1.094,3,UAE Tour,2020
David Gaudu,Field,9.33,1.063,3,UAE Tour,2020
Adam Yates,Field,8.83,1.07,3,UAE Tour,2020
Alejandro Valverde,Alexey Lutsenko,2.28,1.641,3,UAE Tour,2020
David Gaudu,Wilco Kelderman,1.662,2.24,3,UAE Tour,2020
Emanuel Buchmann,Wout Poels,1.709,2.16,3,UAE Tour,2020
Ilnur Zakarin,Domenico Pozzovivo,1.393,3.03,3,UAE Tour,2020
James Knox,Eddie Dunbar,2.41,1.581,3,UAE Tour,2020
Jesus Herrada,Giulio Ciccone,2.49,1.546,3,UAE Tour,2020
Mattia Cattaneo,Gianluca Brambilla,1.746,2.1,3,UAE Tour,2020
Rafal Majka,Davide Formolo,1.729,2.13,3,UAE Tour,2020
Tadej Pogacar,Adam Yates,1.342,3.3,3,UAE Tour,2020
Victor De La Parte,Niklas Eg,1.769,2.07,3,UAE Tour,2020
Pascal Ackermann,Field,4.92,1.184,4,UAE Tour,2020
Caleb Ewan,Field,4.36,1.222,4,UAE Tour,2020
Sam Bennett,Field,3.88,1.266,4,UAE Tour,2020
Fernando Gaviria,Field,7.22,1.1,4,UAE Tour,2020
Dylan Groenewege,Field,3.36,1.333,4,UAE Tour,2020
Fernando Gaviria,Luka Mezgec,1.675,2.22,4,UAE Tour,2020
Pascal Ackermann,Dylan Groenewegen,2.1,1.751,4,UAE Tour,2020
Max Walschied,Alberto Dainese,2.33,1.613,4,UAE Tour,2020
Sam Bennett,Caleb Ewan,1.909,1.909,4,UAE Tour,2020
Rudy Barbier,Arnaud Demare,2.1,1.751,4,UAE Tour,2020
Greg van Avermaet,Field,4.87,1.187,1,Omloop Net Nieuwsblad,2020
Matteo Trentin,Field,7.64,1.09,1,Omloop Net Nieuwsblad,2020
Wout van Aert,Field,8.22,1.08,1,Omloop Net Nieuwsblad,2020
Zdenek Stybar,Field,9.98,1.055,1,Omloop Net Nieuwsblad,2020
Alexander Kristoff,Danny van Poppel,1.465,2.74,1,Omloop Net Nieuwsblad,2020
Gianni Moscon,Luke Rowe,1.662,2.24,1,Omloop Net Nieuwsblad,2020
Greg van Avermaet,Jasper Stuyven,1.409,2.96,1,Omloop Net Nieuwsblad,2020
Jens Keukeleire,Owain Doull,1.51,2.59,1,Omloop Net Nieuwsblad,2020
Mads Pedersen,Edvald Boasson Hagen,1.666,2.23,1,Omloop Net Nieuwsblad,2020
Michael Valgren,Tiesj Benoot,1.826,2,1,Omloop Net Nieuwsblad,2020
Niki Terpstra,Ian Stannard,1.1518,2.57,1,Omloop Net Nieuwsblad,2020
Oliver Naesen,Sep Vanmarcke,1.67,2.23,1,Omloop Net Nieuwsblad,2020
Sonny Colbrelli,Jempy Drucker,1.69,2.18,1,Omloop Net Nieuwsblad,2020
Soren Kragh Andersen,Mike Teunissen,2.66,1.487,1,Omloop Net Nieuwsblad,2020
Stefun Kung,Luke Durbridge,1.492,2.64,1,Omloop Net Nieuwsblad,2020
Tim Wellens,Dylan Teuns,1.934,1.884,1,Omloop Net Nieuwsblad,2020
Yves Lampaert,Kasper Asgreen,1.909,1.909,1,Omloop Net Nieuwsblad,2020
Zdenek Stybar,Bob Jungels,1.543,2.5,1,Omloop Net Nieuwsblad,2020
Fabio Jakobsen,Field,5.5,1.155,1,Kuurne Bruxelles Kuurne,2020
Alexander Kristoff,Field,8.5,1.075,1,Kuurne Bruxelles Kuurne,2020
Alexander Kristoff,Danny van Poppel,1.52,2.57,1,Kuurne Bruxelles Kuurne,2020
Greg van Avermaet,Jasper Stuyven,1.526,2.54,1,Kuurne Bruxelles Kuurne,2020
Jens Keukeleire,Jempy Drucker,2.06,1.775,1,Kuurne Bruxelles Kuurne,2020
Kasper Asgreen,Bob Jungels,1.99,1.833,1,Kuurne Bruxelles Kuurne,2020
Oliver Naesen,Niki Terpstra,1.57,2.43,1,Kuurne Bruxelles Kuurne,2020
Sonny Colbrelli,Matteo Trentin,1.833,1.99,1,Kuurne Bruxelles Kuurne,2020
Stefun Kung,Luke Durbridge,1.609,2.34,1,Kuurne Bruxelles Kuurne,2020
Zdenek Stybar,Yves Lampaert,2.06,1.775,1,Kuurne Bruxelles Kuurne,2020
Fabio Jakobsen,Cees Bol,1.653,2.26,1,Kuurne Bruxelles Kuurne,2020
Giacomo Nizzolo,Marc Sarreau,1.487,2.66,1,Kuurne Bruxelles Kuurne,2020
Hugo Hofstetter,Milan Menten,1.48,2.69,1,Kuurne Bruxelles Kuurne,2020
John Degenkolb,Jens Debusschere,1.346,3.28,1,Kuurne Bruxelles Kuurne,2020
Tim Merlier,Sacha Modolo,1.704,2.17,1,Kuurne Bruxelles Kuurne,2020
