RIDER,HIGH,LOW,BET365,BETWAY,UNIBET
Peter Sagan,6.5,5.5,6,6.5,5.5
Mathieu Van Der Poel,6.5,6,6,6,6.5
Caleb Ewan,8,6,6,8,7
Julian Alaphilippe,10,10,,,10
Sam Bennett,15,11,15,11,15
Fernando Gaviria,15,12,12,15,15
Elia Viviani,19,9,19,9,17
Dylan Groenewegen,21,13,21,13,21
Matteo Trentin,21,17,17,21,21
Alexander Kristoff,21,19,19,21,21
Pascal Ackermann,29,21,29,21,
Philippe Gilbert,29,21,26,29,21
Remco Evenepoel,29,26,,26,29
Michael Matthews,34,19,34,19,29
Wout Van Aert,34,23,34,23,34
Fabio Jakobsen,34,34,34,,
Nacer Bouhanni,41,21,41,21,41
Michal Kwiatkowski,41,26,41,26,34
Arnaud Démare,41,29,41,29,34
Sonny Colbrelli,41,34,41,41,34
Vincenzo Nibali,41,34,41,34,41
Alexey Lutsenko,41,41,41,,
Primož Roglic,41,41,41,,
Matej Mohoric,51,21,21,51,26
Jasper Stuyven,51,34,,34,51
Greg Van Avermaet,51,41,51,41,41
Magnus Cort,51,41,41,51,41
Alejandro Valverde,51,51,51,51,51
Oliver Naesen,67,34,34,67,41
John Degenkolb,67,41,67,41,51
Giacomo Nizzolo,81,51,81,51,81
Tim Wellens,81,51,81,51,81
Maximilian Schachmann,81,81,81,,
Niccolò Bonifazio,81,81,81,,81
Tim Merlier,81,81,81,,
Zdenek Stybar,81,81,81,,
Bob Jungels,101,67,81,101,67
Mike Teunissen,101,81,101,81,101
Jasper Philipsen,101,101,101,,
Tom Dumoulin,101,101,,101,
Ben Swift,126,126,126,,126
Luka Mezgec,126,126,126,,
Mads Pedersen,126,126,126,,
Michael Schär,126,126,,126,
Edvald Boasson Hagen,151,51,151,51,101
Alberto Bettiol,151,101,151,101,151
Christophe Laporte,151,151,,151,151
Matteo Montaguti,151,151,,151,
Phil Bauhaus,151,151,151,,
Anthony Turgis,201,51,,51,201
Daryl Impey,201,151,201,,151
Cees Bol,201,201,201,,
Fabio Felline,201,201,201,,
Luis León Sánchez,201,201,201,,
Mark Cavendish,201,201,201,,
Rudy Barbier,201,201,201,,
Sergio Higuita,201,201,201,,
Tadej Pogacar,201,201,201,,
Yves Lampaert,201,201,201,,
Michael Valgren,251,41,251,41,
Davide Ballerini,251,51,251,51,201
Gianni Moscon,251,51,251,51,151
Simon Clarke,251,81,251,81,251
