Alejandro Valverde,2.75,2.75,
Matteo Trentin,3.75,3.75,
Luis León Sánchez,8.5,8.5,
Patrick Bevin,11,11,
Pascal Ackermann,12,12,
Omar Fraile,13,13,
Felix Grossschartner,21,21,
Rubén Fernández,23,23,
Sergey Chernetskiy,23,23,
Enric Mas Nicolau,34,34,
Jempy Drucker,34,34,
Lennard Kämna,34,34,
Loïc Vliegen,34,34,
Xandro Meurisse,34,34,
Óscar Rodríguez,41,41,
Nathan Van Hooydonck,41,41,
Yevgeniy Gidich,41,41,
Jan Bakelants,51,51,
Jetse Bol,51,51,
Kamil Malecki,51,51,
Mikel Iturria,51,51,
Sondre Holst Enger,51,51,
Thomas Sprengers,51,51,
Vicente García De Mateos,51,51,
Edward Planckaert,67,67,
Nelson Oliveira,67,67,
Nikita Stalnov,67,67,
Antonio Soto,81,81,
Aimé De Gendt,101,101,
Amaury Capiot,101,101,
Nick Van Der Lijke,101,101,
Rüdiger Selig,101,101,
Simone Petilli,101,101,
,,,
,,,
,,,
,,,
