NAME,HIGH,LOW,BETWAY,UNIBET
Greg Van Avermaet,5.25,5,5.25,5
Matteo Trentin,8,8,8,8
Wout Van Aert,9,8,8,9
Zdenek Stybar,12,9,9,12
Dylan Teuns,17,16,16,17
Kasper Asgreen,19,19,19,19
Oliver Naesen,19,19,19,19
Jasper Stuyven,23,21,21,23
Sep Vanmarcke,23,21,23,21
Tim Wellens,23,21,23,21
Bob Jungels,23,23,23,23
Yves Lampaert,23,23,23,23
Tiesj Benoot,34,23,34,23
Mads Pedersen,34,26,34,26
Alexander Kristoff,34,34,34,34
Niki Terpstra,34,34,34,34
Michael Valgren,41,34,34,41
Philippe Gilbert,41,34,34,41
Sonny Colbrelli,41,34,34,41
Ian Stannard,51,41,41,51
Stefan Küng,51,41,41,51
Mike Teunissen,51,51,51,51
Søren Kragh Andersen,67,51,67,51
Gianni Moscon,67,67,67,67
Jens Keukeleire,67,67,67,67
Nils Politt,67,67,67,67
Florian Senechal,81,67,81,67
Owain Doull,81,67,81,67
Luke Rowe,81,81,81,81
Danny Van Poppel,101,67,101,67
Edvald Boasson Hagen,101,67,101,67
Luke Durbridge,101,81,81,101
Luis León Sánchez,126,126,126,
Anthony Turgis,151,81,81,151
Edward Theuns,151,126,126,151
Jempy Drucker,151,126,151,126
Ben Swift,151,151,151,151
Dries-De-Bondtjonas-Rutschpiet-Allegaert,151,151,151,
Petr Vakoc,151,151,151,151
Heinrich Haussler,201,151,151,201
Alex Aranburu,201,201,201,201
Andreas Stokbro,201,201,201,
Dries De Bondt,201,201,,201
Fabio Felline,201,201,201,201
Jürgen Roelandts,201,201,201,201
Jelle Wallays,201,201,201,
Silvan Dillier,201,201,201,201
Stijn Vandenbergh,201,201,201,201
Tom Devriendt,201,201,201,
Amund Grøndahl Jansen,251,151,251,151
Kristian Sbaragli,251,151,151,251
Scott Thwaites,251,151,151,251
Erik Baška,251,251,,251
Alexander Edmondson,301,201,201,301
Lukas Pöstlberger,301,201,301,201
Aksel Nõmmela,301,301,,301
Jonas Rutsch,301,301,301,
Laurens De Vreese,301,301,301,301
Lionel Taminiaux,301,301,,301
Mads Würtz Schmidt,301,301,,301
Marc Sarreau,301,301,,301
Marco Marcato,301,301,301,
Nathan Van Hooydonck,301,301,,301
Tim Declercq,301,301,,301
Tom Van Asbroeck,301,301,301,301
Adrien Petit,401,301,301,401
Alexis Gougeard,401,301,301,401
Dion Smith,401,301,401,301
Piet Allegaert,401,301,301,401
Alex Kirsch,401,401,401,401
Alexys Brunel,401,401,401,
Andreas Stokbro Nielsen,401,401,,401
Casper Pedersen,401,401,,401
Chris Lawless,401,401,,401
Daniel Mc Lay,401,401,,401
Guillaume Van Keirsbulck,401,401,401,401
Iljo Keisse,401,401,,401
Jonas Koch,401,401,,401
Martin Laas,401,401,,401
Nikias Arndt,401,401,,401
Phil-Bauhauslukas-Postlbergerscott-Thwaites,401,401,401,
Tobias Ludvigsson,401,401,,401
Juan Sebastián Molano,501,251,501,251
Lawrence Naesen,501,301,501,301
Nils Eekhoff,501,301,501,301
Aimé De Gendt,501,401,501,401
Amaury Capiot,501,401,501,401
Eduard Prades,501,401,501,401
Mikkel Bjerg,501,401,501,401
Reinardt Janse Van Rensburg,501,401,501,401
Alexander Konychev,501,501,501,
Boy Van Poppel,501,501,,501
Clément Russo,501,501,501,
Connor Swift,501,501,501,
Cyril Lemoine,501,501,501,
Damien Touzé,501,501,501,
Davide Martinelli,501,501,501,
Dorian Godon,501,501,501,
Edward Planckaert,501,501,501,
Gabriel Cullaigh,501,501,501,
Gijs Van Hoecke,501,501,,501
Hugo Houle,501,501,501,
Jasha Sütterlin,501,501,501,
Johan Jacobs,501,501,501,
Jordi Warlop,501,501,501,
Julien Duval,501,501,501,501
Julien Vermote,501,501,501,501
Kevin Geniets,501,501,501,
Krists Neilands,501,501,501,
Loïc Vliegen,501,501,501,501
Moreno Hofland,501,501,501,
Nikias-Arndtlaurens-De-Vreese,501,501,501,
Nikolas-Maesmarco-Marcato,501,501,501,
Pascal Eenkhoorn,501,501,501,
Sean De Bie,501,501,501,
Taco Van Der Hoorn,501,501,501,501
Dimitri Claeys,601,501,501,601
Jenthe Biermans,601,501,501,601
Kenneth Van Bilsen,601,501,501,601
Maarten Wynants,601,501,501,601
Nico Denz,601,501,501,601
Thomas Sprengers,601,501,501,601
