Name,HIGH,LOW,Bet365,Betway,Unibet
Caleb Ewan,4.33,4,4.33,4,4
Pascal Ackermann,9,8,9,8,8
Peter Sagan,10,9,10,9,9
Giacomo Nizzolo,15,11,13,11,15
Cees Bol,17,15,17,15,17
Elia Viviani,19,13,19,13,17
Iván García Cortina,23,17,23,17,23
Julian Alaphilippe,29,21,29,21,21
Jasper Stuyven,34,21,34,21,29
Thomas De Gendt,34,21,23,34,21
Nacer Bouhanni,34,26,34,26,34
Michael Matthews,34,29,34,34,29
Maximilian Schachmann,34,34,34,34,34
Andrea Pasqualon,51,26,51,26,51
Benoît Cosnefroy,51,29,29,51,29
Yves Lampaert,51,34,34,51,41
Tiesj Benoot,51,41,51,41,51
Bob Jungels,67,41,41,67,67
John Degenkolb,67,41,67,41,41
Oliver Naesen,67,41,51,67,41
Philippe Gilbert,67,41,51,67,41
Kasper Asgreen,67,51,51,67,67
Bryan Coquard,67,67,67,67,67
Jose-Manuel-Diaz,67,67,,67,
Michael Mørkøv,81,51,67,81,51
Søren Kragh Andersen,81,51,81,51,81
Nils Politt,81,67,81,67,81
Rudy Barbier,81,67,81,67,67
Sergio Higuita,81,67,81,67,67
Aimé De Gendt,81,81,81,,81
Dylan Teuns,81,81,81,81,81
Alexis Gougeard,101,41,41,101,67
Zdenek Stybar,101,41,41,101,51
Edward Theuns,101,81,101,101,81
Mads Pedersen,101,81,101,101,81
Diego Rosa,101,101,,,101
Pello Bilbao,151,67,151,151,67
Xandro Meurisse,151,67,67,151,101
Mads Würtz Schmidt,151,81,151,81,151
Anthony Turgis,151,101,126,151,101
Hugo Hofstetter,151,101,151,101,126
Michael Valgren,151,101,126,151,101
Niccolò Bonifazio,151,101,101,151,101
Victor Campenaerts,151,101,126,151,101
Lilian Calmejane,201,67,67,201,81
Alberto Bettiol,201,81,81,201,81
Nikias Arndt,201,126,151,201,126
Pierre-Roger Latour,201,126,201,201,126
Damiano Caruso,201,151,151,201,151
Marc Sarreau,201,151,201,151,151
Niki Terpstra,201,151,151,201,201
Stefan Küng,201,151,151,201,151
Thibaut Pinot,201,151,201,201,151
Nans Peters,251,101,101,251,
Jonathan Hivert,251,151,151,201,251
Michael Woods,251,151,251,201,151
Vincenzo Nibali,251,151,251,151,151
Julien Simon,251,201,201,201,251
Tim Declercq,301,126,126,301,
Jasper De Buyst,301,201,201,,301
Nicolas Edet,301,201,201,201,301
Rudy Molard,301,201,301,201,301
Sep Vanmarcke,301,201,301,201,251
Jan Tratnik,301,301,301,301,
Tom Devriendt,301,301,301,301,301
Ryan Gibbons,351,201,351,301,201
Tom Van Asbroeck,351,201,351,301,201
Felix Grossschartner,351,301,351,301,301
Krists Neilands,351,301,351,301,301
Dries Van Gestel,401,67,67,151,401
Frederik Frison,401,301,351,301,401
Lawson Craddock,401,401,,,401
Richie Porte,401,401,,,401
Guillaume Martin,501,201,251,501,201
Heinrich Haussler,501,201,301,501,201
Anthony Perez,501,251,251,501,401
Connor Swift,501,301,501,301,
Nils Eekhoff,501,301,301,501,501
Piet Allegaert,501,301,501,301,401
Frederik Backaert,501,351,351,501,501
Quentin Pacher,501,351,351,501,
Sander Armée,501,351,351,501,
Alex Kirsch,501,401,401,501,501
Ben O'connor,501,401,501,501,401
Jenthe Biermans,501,401,401,501,
Mickaël Cherel,501,401,401,501,501
Patrick Konrad,501,401,401,501,401
Tanel Kangert,501,401,501,501,401
Cyril Barthe,501,501,501,501,
Cyril Gautier,501,501,501,501,
Julien El Fares,501,501,501,501,
Ramunas Navardauskas,501,501,501,501,501
Sebastian Schönberger,501,501,501,501,
Damien Touzé,601,301,601,301,
Jens Debusschere,601,301,601,501,301
Jempy Drucker,601,401,601,501,401
Adrien Petit,601,501,601,501,501
Aurélien Paret-Peintre,601,501,601,501,501
Evaldas Šiškevicius,601,501,601,501,
Nairo Quintana Rojas,601,501,601,501,501
Roger Kluge,601,501,601,501,
Romain Bardet,751,301,601,751,301
Daniel Mc Lay,751,401,751,501,401
Roman Kreuziger,751,401,401,751,501
Boy Van Poppel,751,501,751,501,
Olivier Le Gac,751,501,751,501,
Dušan Rajovic,1001,601,601,1001,
Romain Combaud,1001,751,751,1001,
