Name,High,Low,Bet365,Unibet
Nairo Quintana Rojas,2.25,2.1,2.1,2.25
Sergio Higuita,4,3.75,4,3.75
Thibaut Pinot,8.5,8,8,8.5
Vincenzo Nibali,13,11,13,11
Julian Alaphilippe,15,13,13,15
Thomas De Gendt,15,13,13,15
Tiesj Benoot,17,15,17,15
Guillaume Martin,19,17,19,17
Richie Porte,21,19,19,21
Romain Bardet,29,26,29,26
Maximilian Schachmann,34,19,34,19
Pierre Latour,41,34,34,41
Lilian Calmejane,51,41,51,41
Aurélien Paret-Peintre,67,51,67,51
Sander Armée,67,51,67,51
Bob Jungels,67,67,67,67
Rudy Molard,67,67,67,67
Ben O'connor,81,81,81,81
Nicolas Edet,81,81,81,81
Tanel Kangert,101,67,101,67
Søren Kragh Andersen,101,101,101,101
Felix Grossschartner,126,67,126,67
Nans Peters,126,101,126,101
Kasper Asgreen,151,67,67,151
Xandro Meurisse,151,126,126,151
Mickaël Cherel,151,151,151,151
Philippe Gilbert,201,126,126,201
Michael Matthews,201,151,201,151
Patrick Konrad,201,151,201,151
Victor Campenaerts,201,151,201,151
Fabien Doubey,201,201,201,201
Roman Kreuziger,201,201,201,201
Benoît Cosnefroy,301,151,301,151
Kenny Elissonde,301,251,301,251
Aimé De Gendt,301,301,,301
José Manuel Díaz,301,301,301,301
Stefan Küng,301,301,,301
Yves Lampaert,301,301,,301
Zdenek Stybar,401,201,201,401
Alexis Gougeard,401,251,251,401
Chris Hamilton,401,301,401,301
Winner Anacona,401,301,401,301
Dayer Quintana,401,401,401,
Mads Pedersen,401,401,,401
Michael Valgren,401,401,401,401
Jasper Stuyven,501,401,501,401
Michael Gogl,501,401,501,401
Nikias Arndt,501,401,501,401
Sep Vanmarcke,501,501,,501
Dries Van Gestel,601,401,601,401
Jonathan Hivert,601,501,601,501
Sebastian Schönberger,601,601,601,
