NAME,HIGH,LOW,Bet365,Betway,Unibet
Caleb Ewan,5.5,5,5.5,5,5
Sam Bennett,6,5,6,5,6
Peter Sagan,7,6,6.5,7,6
Pascal Ackermann,13,11,13,13,11
Julian Alaphilippe,15,12,12,15,13
Michael Matthews,17,15,17,15,15
Maximilian Schachmann,19,17,17,19,19
Elia Viviani,23,17,23,17,19
Giacomo Nizzolo,23,21,23,21,23
Jasper Stuyven,26,17,17,26,23
Cees Bol,29,26,26,26,29
Zdenek Stybar,41,29,29,41,41
Nacer Bouhanni,41,34,41,34,34
Benoît Cosnefroy,51,34,34,51,41
Bob Jungels,51,34,34,41,51
Bryan Coquard,51,34,51,41,34
John Degenkolb,51,34,41,51,34
Oliver Naesen,51,34,41,51,34
Philippe Gilbert,51,34,34,41,51
Dylan Teuns,51,51,51,51,51
Kasper Asgreen,67,51,51,67,51
Tiesj Benoot,67,51,51,67,67
Yves Lampaert,67,51,51,67,67
Alberto Bettiol,81,51,51,67,81
Edward Theuns,81,51,51,81,67
Iván García Cortina,81,51,81,67,51
Niccolò Bonifazio,81,51,81,67,51
Danny Van Poppel,81,67,81,67,67
Søren Kragh Andersen,81,67,81,81,67
Sergio Higuita,101,67,67,81,101
Heinrich Haussler,126,101,126,101,101
Mads Pedersen,126,101,126,101,101
Michael Valgren,151,101,126,151,101
Andrea Pasqualon,151,126,151,151,126
Hugo Hofstetter,151,126,126,151,126
Vincenzo Nibali,151,151,151,151,151
Rudy Barbier,201,67,81,67,201
Ryan Gibbons,201,126,201,151,126
Michael Woods,201,151,201,151,151
Stefan Küng,201,151,201,151,201
Jempy Drucker,201,201,201,201,201
Victor Campenaerts,201,201,201,201,201
Michael Mørkøv,251,151,151,151,251
Pello Bilbao,251,151,251,201,151
Maximilian Walscheid,251,201,251,201,201
Thibaut Pinot,251,201,251,201,251
Thomas De Gendt,301,151,251,301,151
Tom Van Asbroeck,301,151,301,301,151
Jasper De Buyst,301,201,251,301,201
Marc Sarreau,301,201,251,201,301
Niki Terpstra,301,251,251,301,301
Nils Politt,301,251,301,301,251
Sep Vanmarcke,301,251,251,301,301
Anthony Turgis,301,301,301,301,301
Frederik Frison,301,301,,,301
Jonathan Hivert,301,301,301,301,301
Julien Simon,301,301,301,301,301
Nikias Arndt,301,301,,,301
Jens Debusschere,401,201,401,301,201
Xandro Meurisse,401,201,401,301,201
Warren Barguil,401,301,401,,301
Alexis Gougeard,501,401,401,501,401
Boy Van Poppel,501,401,401,501,401
Pierre-Roger Latour,501,401,401,501,
Pierre Barbier,501,401,401,501,501
Rudy Molard,501,401,501,501,401
Tom Devriendt,501,401,401,501,401
Connor Swift,501,501,501,501,501
Cyril Barthe,501,501,501,501,
Damien Touzé,501,501,501,501,501
Daniel Mc Lay,501,501,501,501,501
Patrick Konrad,501,501,501,501,501
Richie Porte,501,501,501,501,501
Tejay Van Garderen,501,501,,,501
Guillaume Martin,601,401,601,501,401
Krists Neilands,601,401,601,501,401
Giulio Ciccone,601,501,601,501,
Nairo Quintana Rojas,601,501,601,501,501
Nils Eekhoff,751,401,751,501,401
Jan Tratnik,751,501,751,501,
Felix Grossschartner,751,601,751,,601
Lilian Calmejane,1001,401,401,1001,601
Romain Bardet,1001,401,751,1001,401
Adrien Petit,1001,501,601,1001,501
Diego Rosa,1001,501,751,1001,501
Dries Van Gestel,1001,601,601,1001,601
Julien El Fares,1001,601,751,1001,601
Nicolas Edet,1001,601,751,1001,601
Quentin Pacher,1001,601,601,1001,601
Tanel Kangert,1001,601,751,1001,601
Michael Carbel,1001,751,751,1001,
Casper Pedersen,1001,1001,,1001,
