Name,High,Low
Victor Campenaerts,3.5,3
Maximilian Schachmann,5.5,4.5
Julian Alaphilippe,5.5,5
Kasper Asgreen,6.5,6.5
Stefan Küng,11,7.5
Dylan Teuns,17,17
Søren Kragh Andersen,19,17
Alberto Bettiol,26,23
Yves Lampaert,26,26
Thomas De Gendt,29,26
Michael Matthews,34,26
Nils Politt,51,34
Tejay Van Garderen,51,41
Pello Bilbao,51,51
Tanel Kangert,67,51
Lawson Craddock,67,67
Mads Würtz Schmidt,67,67
Bob Jungels,81,67
Jan Tratnik,81,67
Mads Pedersen,81,67
Vincenzo Nibali,81,81
Pierre-Roger Latour,101,81
Thibaut Pinot,101,81
Felix Grossschartner,126,126
Richie Porte,126,126
Peter Sagan,151,101
Damiano Caruso,151,151
Nikias Arndt,151,151
Ryan Mullen,201,67
Tobias Ludvigsson,201,101
Tiesj Benoot,201,151
Thomas Scully,201,201
Sergio Higuita,301,151
Nairo Quintana Rojas,301,251
Jasper Stuyven,401,301
Philippe Gilbert,401,301
Sep Vanmarcke,401,301
Alexis Gougeard,401,401
Anthony Perez,401,401
Niki Terpstra,501,201
Diego Rosa,501,501
Frederik Frison,501,501
Lilian Calmejane,501,501
Ryan Gibbons,501,501
Krists Neilands,601,401
Jempy Drucker,601,501
Patrick Konrad,601,501
Giacomo Nizzolo,601,601
Nils Eekhoff,601,601
Ramunas Navardauskas,601,601
