NAME,Highest,Lowest
Julian Alaphilippe,6,5
Maximilian Schachmann,7,7
Sergio Higuita,13,12
Thomas De Gendt,15,9
Peter Sagan,17,15
Dylan Teuns,19,17
Tiesj Benoot,21,21
Benoît Cosnefroy,23,19
Michael Matthews,23,19
Pello Bilbao,29,23
Iván García Cortina,34,26
Thibaut Pinot,34,29
Jasper Stuyven,34,34
Bob Jungels,41,34
Søren Kragh Andersen,41,34
Kasper Asgreen,41,41
Philippe Gilbert,41,41
Zdenek Stybar,41,41
Pierre-Roger Latour,51,41
Michael Valgren,67,41
Vincenzo Nibali,67,41
Damiano Caruso,67,51
Nairo Quintana Rojas,67,67
Yves Lampaert,81,41
Caleb Ewan,81,67
Lilian Calmejane,81,67
Xandro Meurisse,81,67
Andrea Pasqualon,81,81
Aurélien Paret-Peintre,81,81
Dries Van Gestel,81,81
Giacomo Nizzolo,81,81
Nikias Arndt,81,81
Guillaume Martin,101,51
Nans Peters,101,67
Richie Porte,101,67
Nils Politt,101,81
Victor Campenaerts,101,81
Alberto Bettiol,126,81
John Degenkolb,126,81
Bryan Coquard,126,101
Mads Pedersen,126,101
Nicolas Edet,126,101
Alexis Gougeard,126,126
Niccolò Bonifazio,126,126
Nico Denz,126,126
Romain Bardet,151,81
Aimé De Gendt,151,101
Rudy Molard,151,101
Anthony Turgis,151,126
Nacer Bouhanni,151,126
Felix Grossschartner,151,151
Roman Kreuziger,151,151
Anthony Perez,201,101
Ben O'connor,201,126
Jonathan Hivert,201,126
Patrick Konrad,201,151
Stefan Küng,201,151
Tanel Kangert,201,151
Alex Kirsch,201,201
Chris Hamilton,201,201
Mads Würtz Schmidt,201,201
Sander Armée,201,201
Cees Bol,251,151
Elia Viviani,251,151
Julien Simon,251,151
Jan Tratnik,251,201
Krists Neilands,251,201
Niki Terpstra,251,201
Ryan Gibbons,251,201
Jasper De Buyst,251,251
Jens Debusschere,251,251
Edward Theuns,301,201
Hermann Pernsteiner,301,201
Sep Vanmarcke,301,201
Heinrich Haussler,301,251
Mickaël Cherel,301,251
Cyril Gautier,301,301
Piet Allegaert,301,301
Quentin Pacher,301,301
Tom Van Asbroeck,401,301
Fabien Doubey,401,401
Frederik Frison,401,401
Julien Vermote,401,401
Kenny Elissonde,401,401
Michael Gogl,401,401
Michael Mørkøv,401,401
Nils Eekhoff,401,401
Sebastian Schönberger,401,401
Hugo Hofstetter,501,251
Tim Declercq,501,401
Connor Swift,501,501
Dayer Quintana,501,501
Jenthe Biermans,501,501
Jose Manuel Diaz,501,501
Tobias Ludvigsson,501,501
Tom Devriendt,501,501
Winner Anacona,501,501
Ramunas Navardauskas,601,401
Adrien Petit,601,501
Cyril Barthe,601,601
Evaldas Šiškevicius,601,601
Jempy Drucker,601,601
Kevin Reza,601,601
Romain Combaud,601,601
Rudy Barbier,601,601
