NAME,HIGHEST,LOWEST
Nairo Quintana Rojas,2.25,2.25
Sergio Higuita,3.75,3.75
Thibaut Pinot,8.5,8.5
Vincenzo Nibali,11,11
Thomas De Gendt,13,13
Julian Alaphilippe,15,15
Tiesj Benoot,15,15
Guillaume Martin,17,17
Maximilian Schachmann,19,19
Richie Porte,21,21
Romain Bardet,26,26
Lilian Calmejane,41,41
Pierre-Roger Latour,41,41
Aurélien Paret-Peintre,51,51
Sander Armée,51,51
Bob Jungels,67,67
Felix Grossschartner,67,67
Rudy Molard,67,67
Tanel Kangert,67,67
Ben O'connor,81,81
Nicolas Edet,81,81
Nans Peters,101,101
Søren Kragh Andersen,101,101
Benoît Cosnefroy,151,151
Kasper Asgreen,151,151
Michael Matthews,151,151
Mickaël Cherel,151,151
Patrick Konrad,151,151
Victor Campenaerts,151,151
Xandro Meurisse,151,151
Fabien Doubey,201,201
Philippe Gilbert,201,201
Roman Kreuziger,201,201
Kenny Elissonde,251,251
Aimé De Gendt,301,301
Chris Hamilton,301,301
José Manuel Díaz,301,301
Stefan Küng,301,301
Winner Anacona,301,301
Yves Lampaert,301,301
Alexis Gougeard,401,401
Dries Van Gestel,401,401
Jasper Stuyven,401,401
Mads Pedersen,401,401
Michael Gogl,401,401
Michael Valgren,401,401
Nikias Arndt,401,401
Zdenek Stybar,401,401
Jonathan Hivert,501,501
Sep Vanmarcke,501,501
