Alexey Lutsenko,4.5,4.5
David Gaudu,6,6
Thibaut Pinot,6,6
Jesús Herrada,7,7
Gianni Moscon,13,13
Wilco Kelderman,15,15
Nairo Quintana Rojas,17,17
Pavel Sivakov,17,17
Marc Hirschi,21,21
Eddie Dunbar,23,23
Ruben Guerreiro,26,26
Simon Clarke,26,26
Fausto Masnada,29,29
Magnus Cort,29,29
Warren Barguil,29,29
Alex Aranburu,34,34
Gorka Izagirre,34,34
Hugh John Carthy,34,34
Kasper Asgreen,41,41
Aleksandr Vlasov,51,51
Alexandre Geniez,51,51
Dries Devenyns,51,51
Jan Hirt,51,51
Rudy Molard,51,51
Sam Oomen,51,51
Chad Haga,67,67
Eduard Prades,67,67
Reinardt Janse Van Rensburg,67,67
Tom-Jelte Slagter,67,67
Domenico Pozzovivo,81,81
Alex Howes,101,101
Alexander Kamp,101,101
Anthony Maldonado,101,101
Antoine Duchesne,101,101
Cyril Barthe,101,101
Damien Touzé,101,101
Enrico Gasparotto,101,101
Fabio Felline,101,101
François Bidard,101,101
Giacomo Nizzolo,101,101
Jakub Mareczko,101,101
Johan Jacobs,101,101
Jonas Koch,101,101
Julien Antomarchi,101,101
Julien Bérard,101,101
Julien Duval,101,101
Owain Doull,101,101
Pieter Serry,101,101
Rémi Cavagna,101,101
Sebastian-Mores,101,101
Sep Vanmarcke,101,101
Serge Pauwels,101,101
Winner Anacona,101,101
Fernando Barceló,151,151
Jonathan Hivert,151,151
Robert Gesink,151,151
