RIDER,HIGH,LOW,BET365,BETWAY,BWIN,UNIBET
Any Other,1.8,1.8,,,1.8,
Mathieu Van Der Poel,4.5,4,4,4.5,4,4
Peter Sagan,6,5.5,5.5,5.5,6,5.5
Wout Van Aert,8.5,8,8.5,8.5,8,8
Niki Terpstra,12,11,12,11,12,12
Greg Van Avermaet,19,17,19,19,17,19
Philippe Gilbert,19,17,19,17,19,19
John Degenkolb,23,19,21,21,19,23
Yves Lampaert,23,21,23,21,21,23
Zdenek Stybar,23,21,23,23,21,21
Remco Evenepoel,23,23,,,,23
Bob Jungels,29,21,26,,21,29
Nils Politt,29,21,29,29,21,29
Oliver Naesen,29,21,29,23,21,26
Sep Vanmarcke,29,21,29,23,21,26
Jasper Stuyven,34,21,34,29,21,29
Mads Pedersen,34,26,34,34,26,34
Matteo Trentin,41,26,41,34,26,41
Alexander Kristoff,41,34,41,34,34,34
Florian Senechal,41,34,41,34,,41
Stefan Küng,51,41,51,51,51,41
Kasper Asgreen,67,34,51,34,,67
Tiesj Benoot,67,34,67,41,34,67
Alberto Bettiol,67,41,41,67,,51
Geraint Thomas,67,51,51,51,,67
Luke Rowe,67,51,51,51,,67
Arnaud Démare,81,34,81,81,34,67
Mike Teunissen,81,34,81,34,,81
Gianni Moscon,81,51,67,81,51,81
Dylan Van Baarle,81,67,81,81,,67
Edvald Boasson Hagen,81,81,81,81,,81
Michael Valgren,81,81,81,,,81
Daniel Oss,101,101,101,101,101,101
Fernando Gaviria,101,101,101,101,101,101
Jens Keukeleire,126,101,126,101,101,126
Sebastian Langeveld,126,101,126,101,,126
Magnus Cort,151,67,,67,,151
Ian Stannard,151,81,81,151,101,101
Luke Durbridge,151,81,126,81,101,151
Christophe Laporte,151,101,151,101,101,126
Davide Ballerini,151,101,151,151,101,151
Edward Theuns,151,101,151,151,101,151
Iván García Cortina,151,101,101,151,,126
Jasper Philipsen,151,101,151,151,101,126
Matej Mohoric,151,101,151,151,101,126
Silvan Dillier,151,101,151,101,101,101
Tony Martin,151,101,126,151,101,151
Brenton Jones,151,151,,151,,
Damien Touzé,151,151,,151,,
Rüdiger Selig,151,151,,151,,
Ryan Mullen,151,151,,151,,
Heinrich Haussler,201,126,126,151,,201
Dylan Groenewegen,201,151,151,151,,201
Elia Viviani,201,151,201,151,,201
Lars Boom,201,151,,151,,201
Marc Sarreau,201,151,201,151,,201
Tim Merlier,251,81,81,251,,126
Adrien Petit,251,101,251,101,,251
Søren Kragh Andersen,251,101,101,251,,126
Anthony Turgis,251,151,251,151,,
Danny Van Poppel,251,201,251,251,,201
Jelle Wallays,251,251,251,251,,251
Tony Gallopin,251,251,251,251,,251
Stijn Vandenbergh,301,101,301,101,,201
Hugo Hofstetter,301,151,301,151,,301
Jens Debusschere,301,151,201,151,301,151
Luka Mezgec,301,151,301,151,,201
André Greipel,301,201,,,301,201
Jürgen Roelandts,301,251,301,251,,301
Bert De Backer,401,101,401,101,,
Jan-Willem Van Schip,401,101,,101,,401
Mads Würtz Schmidt,401,101,401,101,,301
Cees Bol,401,151,401,151,,301
Filippo Ganna,401,151,151,251,,401
Bert Van Lerberghe,401,251,301,251,,401
Jempy Drucker,401,251,301,251,,401
Mark Cavendish,401,251,401,251,,401
Maximilian Walscheid,401,251,401,251,,401
Sacha Modolo,401,251,401,251,,401
Tom Van Asbroeck,401,251,401,251,,401
Rémi Cavagna,501,81,81,501,,151
Alexis Gougeard,501,151,501,151,,501
Fabio Jakobsen,501,151,151,501,,
Jasha Sütterlin,501,151,501,151,,501
Nikias Arndt,501,151,501,151,,401
Owain Doull,501,151,151,501,,
Quinn Simmons,501,151,501,151,,
Quinten Hermans,501,201,201,501,,
Amund Grøndahl Jansen,501,251,251,501,,251
