NAME,HIGH,LOW,BETWAY
Julian Alaphilippe,2.87,2.87,2.87
Bauke Mollema,8,8,8
Simon Clarke,8,8,8
Valentin Madouas,9,9,9
Benoît Cosnefroy,13,13,13
Alberto Bettiol,15,15,15
Warren Barguil,15,15,15
Guillaume Martin,17,17,17
Lilian Calmejane,21,21,21
Rémi Cavagna,21,21,21
Vincenzo Nibali,23,23,23
Alexander Kamp,29,29,29
Tanel Kangert,29,29,29
Jonathan Hivert,34,34,34
Nicolas Edet,34,34,34
Odd Christian Eiking,34,34,34
Quentin Pacher,34,34,34
Roman Kreuziger,34,34,34
Ryan Gibbons,34,34,34
Sébastien Reichenbach,34,34,34
Xandro Meurisse,34,34,34
Carlos Barbero,41,41,41
Gonzalo Serrano,41,41,41
Kilian Frankiny,41,41,41
Maurits Lammertink,41,41,41
Anthony Delaplace,51,51,51
Aurélien Paret-Peintre,51,51,51
Garikoitz Bravo,51,51,51
Mathias Frank,51,51,51
Pierre Rolland,51,51,51
Toms Skujinš,51,51,51
Amanuel Gebrezgabihier,67,67,67
Anthony Perez,67,67,67
Anthony Roux,67,67,67
James Shaw,67,67,67
João Almeida,67,67,67
Jonathan Klever Caicedo,67,67,67
Julien Bérard,67,67,67
Julien Simon,67,67,67
Mickaël Cherel,67,67,67
Nicolas Zukowsky,67,67,67
Romain Combaud,67,67,67
Alex Molenaar,101,101,101
Benjamin King,101,101,101
Dayer Quintana,101,101,101
Diego Rubio,101,101,101
Dimitri Peyskens,101,101,101
Dries Devenyns,101,101,101
Jérémy Cabot,101,101,101
Jérôme Cousin,101,101,101
Lukasz Owsian,101,101,101
Maxime Bouet,101,101,101
Mikkel Frølich Honoré,101,101,101
Nans Peters,101,101,101
Nathan Brown,101,101,101
Pierre-Luc Périchon,101,101,101
Romain Sicard,101,101,101
Sebastian Schönberger,101,101,101
Simone Petilli,101,101,101
Sindre Skjøstad Lunke,101,101,101
Antonio Nibali,151,151,151
