NAME,HIGH,LOW,BET365,BETWAY,UNIBET
Caleb Ewan,2.25,2.1,2.1,2.25,2.25
Alexey Lutsenko,10,8,9,10,8
Luka Mezgec,11,6.5,6.5,11,9
Sam Bennett,11,8,11,8,11
Tadej Pogacar,12,8,12,8,10
Alejandro Valverde,21,13,15,21,13
Pascal Ackermann,23,15,19,15,23
Timo Roosen,34,23,23,34,23
Andrea Vendrame,34,29,34,34,29
Nathan Haas,34,34,34,34,34
Diego Ulissi,41,23,41,23,26
Fernando Gaviria,41,29,34,29,41
Arnaud Démare,51,21,21,51,23
Bruno Armirail,51,51,,51,
Dylan Groenewegen,51,51,51,51,51
Adam Yates,67,29,67,29,41
Enrico Battaglin,67,29,67,29,41
Wilco Kelderman,67,41,41,67,51
Omar Fraile,67,51,67,51,67
Quentin Jaurégui,67,51,67,51,51
Gorka Izagirre,81,51,81,51,67
Rudy Barbier,81,51,81,51,67
Giovanni Visconti,81,67,81,81,67
Giulio Ciccone,101,51,101,51,81
Tosh Van Der Sande,101,81,101,81,81
Maximiliano Richeze,126,101,126,101,101
David Gaudu,151,51,151,51,67
Jesús Herrada,151,67,151,67,81
Patrick Konrad,151,101,151,101,101
Sven Erik Bystrøm,151,101,,101,151
Gregor Mühlberger,151,151,151,,151
José Herrada,151,151,,151,
Stijn Steels,151,151,,151,151
Davide Formolo,201,51,201,51,151
Alberto Dainese,201,81,201,81,201
Emanuel Buchmann,201,81,151,81,201
Rüdiger Selig,201,101,,101,201
Domenico Pozzovivo,201,201,,,201
Eros Capecchi,201,201,,201,
François Bidard,201,201,,201,
Geoffrey Soupe,201,201,,201,
Kaden Groves,251,51,251,51,101
Wouter Poels,251,51,251,51,151
José Joaquín Rojas,251,101,251,,101
Michael Mørkøv,251,101,,101,251
Gianluca Brambilla,251,151,251,151,151
Ilnur Zakarin,251,151,,151,251
James Knox,251,151,,151,251
Pieter Serry,251,251,,,251
Ramon Sinkeldam,251,251,,,251
Eddie Dunbar,301,51,301,51,151
Jasper De Buyst,301,81,301,81,251
Laurens De Plus,301,151,301,,151
Max Kanter,301,151,301,151,201
Robert Power,301,151,,151,301
Jan Hirt,301,201,,201,301
Rafael Valls,301,201,,201,301
Stefan De Bod,301,201,,201,301
Jai Hindley,301,301,,,301
Tony Martin,301,301,,,301
Umberto Marengo,301,301,301,,
Maximilian Walscheid,401,101,301,101,401
Rick Zabel,401,101,401,101,301
Mattia Cattaneo,401,151,,151,401
Shane Archbold,401,151,,151,401
Larry Warbasse,401,201,,201,401
Natnael Berhane,401,201,,201,401
Victor Campenaerts,401,251,,251,401
Marco Haller,401,301,401,,301
Óscar Rodríguez,401,401,,,401
Dario Cataldo,401,401,,,401
Merhawi Kudus,401,401,,,401
Jakub Mareczko,501,67,501,67,401
Jacopo Guarnieri,501,151,,151,501
Matthias Brändle,501,251,,251,501
Francisco Ventoso,501,301,501,,301
Kiel Reijnen,501,301,501,,301
Víctor De La Parte,501,501,,,501
Danilo Wyss,601,201,601,201,401
Rafal Majka,601,201,601,201,401
Sergey Chernetskiy,601,301,601,,301
Asbjørn Kragh Andersen,601,501,601,,501
Imerio Cima,751,151,751,151,501
Mark Cavendish,751,151,751,151,501
Attilio Viviani,751,201,751,201,501
Chris Froome,751,201,751,201,401
Albert Torres,751,751,751,,
Michael Carbel,751,751,751,,
Salvatore Puccio,751,751,751,,
