NAME,HIGH,LOW,Bet365,Betway,Unibet
Adam Hansen,751,151,751,151,601
Adam Yates,2.75,2.25,2.75,2.25,2.4
Alejandro Valverde,23,15,21,23,15
Alexey Lutsenko,6,5.5,5.5,6,5.5
Andrea Garosio,751,601,751,,601
Andrea Vendrame,401,67,401,67,401
Andrey Amador,501,81,501,81,401
Bruno Armirail,501,67,401,67,501
Carl Fredrik Hagen,401,101,401,101,301
Carlos Rodriguez,601,601,601,,
Carlos Rodríguez,101,101,,101,
Chris Froome,501,81,501,81,401
Christian Knees,751,751,751,,
Christoph Pfingsten,151,151,,151,
Clément Chevrier,751,151,751,151,601
Daniel Navarro,401,251,401,,251
Dario Cataldo,401,81,401,81,401
David Gaudu,15,12,13,15,12
Davide Formolo,81,41,81,41,67
Diego Ulissi,34,26,34,26,29
Domenico Pozzovivo,251,51,251,51,201
Eddie Dunbar,81,34,67,34,81
Emanuel Buchmann,34,34,,34,
Enrico Battaglin,601,501,601,,501
Eros Capecchi,601,101,601,101,601
Florian Stork,151,151,,151,
François Bidard,501,501,501,,501
Geoffrey Bouchard,501,151,501,151,401
Gianluca Brambilla,151,67,81,67,151
Giovanni Visconti,151,101,151,101,151
Giulio Ciccone,41,34,34,41,41
Gorka Izagirre,81,41,81,41,81
Gregor Mühlberger,201,41,41,101,201
Héctor Carretero,601,501,601,,501
Hernando Bohórquez,751,501,751,,501
Ilnur Zakarin,67,67,67,67,67
Iñigo Elosegui,751,201,751,201,
Jaakko Hänninen,601,501,601,,501
Jai Hindley,201,67,201,67,201
James Knox,301,67,301,67,201
Jan Hirt,401,201,401,201,401
Jesper Hansen,601,151,601,151,501
Jesús Herrada,81,34,81,34,67
Jonas Gregaard Wilsly,751,501,751,,501
José Herrada,751,101,751,101,501
José Joaquín Rojas,601,101,601,101,401
Koen Bouwman,401,81,201,81,401
Larry Warbasse,601,151,601,151,501
Leonardo Tortomasi,201,201,,201,
Lorenzo Fortunato,751,751,751,,
Marco Haller,751,751,751,,
Mattia Cattaneo,201,67,101,67,201
Merhawi Kudus,301,101,301,101,201
Michael Hepburn,101,101,,101,
Nathan Haas,751,101,751,101,601
Natnael Berhane,401,101,,101,401
Nicola Conci,501,151,401,151,501
Niklas Eg,401,101,401,101,401
Nikolay Cherkasov,601,101,601,101,601
Omar Fraile,301,101,301,101,301
Óscar Rodríguez,301,67,301,67,301
Patrick Konrad,67,26,67,26,67
Pavel Kochetkov,751,601,751,,601
Pieter Serry,601,501,501,,601
Quentin Jaurégui,401,101,401,101,401
Rafael Valls,401,101,401,101,301
Rafal Majka,29,21,29,21,23
Robert Power,301,67,301,67,301
Salvatore Puccio,751,126,751,126,601
Sergey Chernetskiy,601,501,601,,501
Sergio Samitier,501,151,501,151,401
Steff Cras,101,101,,101,
Stéphane Rossetto,501,401,401,,501
Tadej Pogacar,2.55,2.25,2.25,2.55,2.4
Tony Martin,601,601,601,,601
Tsgabu Gebremaryam Grmay,501,101,,101,501
Victor Campenaerts,201,201,201,,201
Víctor De La Parte,126,101,126,101,126
Wilco Kelderman,41,34,41,34,34
William Clarke,151,151,,151,
Wouter Poels,34,26,34,26,29
