NAME,HIGH,LOW,Bet365,Betway,Unibet
Dylan Groenewegen,3.75,3.25,3.75,3.75,3.25
Sam Bennett,3.75,3.5,3.5,3.75,3.5
Caleb Ewan,4.33,4,4.33,4,4.25
Fernando Gaviria,5.5,4.75,4.75,5.5,5
Pascal Ackermann,7,6.5,6.5,6.5,7
Arnaud Démare,19,17,17,17,19
Maximilian Walscheid,41,34,41,41,34
Rudy Barbier,41,34,41,34,41
Jakub Mareczko,41,41,41,41,41
Alberto Dainese,51,34,51,34,41
Luka Mezgec,67,51,67,51,67
Mark Cavendish,81,51,81,51,51
Kaden Groves,126,101,101,126,101
Maximiliano Richeze,126,101,101,126,101
Attilio Viviani,151,101,151,101,126
Imerio Cima,151,126,151,126,126
Michael Mørkøv,201,101,101,201,151
Gianmarco Begnoni,201,201,201,,
Rüdiger Selig,251,151,201,251,151
Shane Archbold,251,151,251,151,251
Jasper De Buyst,301,251,301,251,251
Diego Ulissi,301,301,,301,301
Gorka Izagirre,301,301,,301,
Alexey Lutsenko,401,201,401,201,251
Stijn Steels,401,301,401,301,401
Francisco Ventoso,401,401,,,401
Quentin Jaurégui,401,401,,,401
