NAME,HIGH,LOW,Bet365,Betway,Unibet
Tadej Pogacar,1.72,1.61,1.72,1.61,1.65
Adam Yates,6.5,6,6,6.5,6.5
Emanuel Buchmann,8,7.5,7.5,8,8
Alexey Lutsenko,11,10,10,11,11
Alejandro Valverde,13,11,13,13,11
David Gaudu,17,15,17,15,15
Wouter Poels,26,23,26,23,23
Giulio Ciccone,34,26,26,34,34
Ilnur Zakarin,34,29,34,34,29
Rafal Majka,41,29,41,41,29
Davide Formolo,41,34,41,34,41
Jesús Herrada,41,41,41,41,41
Wilco Kelderman,51,51,51,51,51
Laurens De Plus,67,34,34,51,67
Patrick Konrad,101,81,101,101,81
Diego Ulissi,126,101,126,101,101
Chris Froome,151,51,151,51,67
Eddie Dunbar,151,101,151,101,126
Gorka Izagirre,151,101,151,101,151
James Knox,151,101,151,101,101
Gianluca Brambilla,151,151,151,151,151
Giovanni Visconti,151,151,151,151,151
Domenico Pozzovivo,201,151,201,151,151
Gregor Mühlberger,201,151,151,151,201
Óscar Rodríguez,251,151,251,151,151
Rafael Valls,251,151,251,151,
Mattia Cattaneo,251,201,251,201,251
Merhawi Kudus,251,201,201,201,251
Robert Power,251,201,251,201,201
"Hagen,Carl Fredrik",251,251,,,251
Jai Hindley,301,201,301,201,251
Alexandre Geniez,301,251,301,251,
Omar Fraile,301,251,301,251,301
Víctor De La Parte,301,251,301,251,301
Carl Fredrik Hagen,301,301,301,,
Dario Cataldo,401,251,401,251,301
Jan Hirt,401,251,401,251,301
Andrey Amador,401,301,401,,301
Niklas Eg,401,401,401,,401
Daniel Navarro,501,351,501,351,401
Héctor Carretero,501,401,501,,401
Nikolay Cherkasov,501,401,501,,401
Carlos Rodriguez,501,501,501,,
Jesper Hansen,501,501,501,,501
François Bidard,601,501,601,,501
Geoffrey Bouchard,601,501,601,,501
Nathan Haas,601,501,601,,501
Nicola Conci,601,501,601,,501
Sergio Samitier,601,501,601,,501
Edoardo Zardini,601,601,601,,601
José Joaquín Rojas,601,601,,,601
Kamil Gradek,601,601,,,601
Tony Martin,601,601,,,601
Tsgabu Grmay,601,601,601,,601
Jonas Gregaard Wilsly,751,601,751,,601
Koen Bouwman,751,601,751,,601
Larry Warbasse,751,601,751,,601
Sergey Chernetskiy,751,601,751,,601
Enrico Battaglin,751,751,751,,
Eros Capecchi,751,751,751,,
Pieter Serry,751,751,751,,
Steff Cras,751,751,751,,
José Herrada,1001,601,1001,,601
Andrea Garosio,1001,1001,1001,,
Stéphane Rossetto,1001,1001,1001,,
