stage,race,year,class,date,fr_stage
1,tirreno-adriatico,2015,2.UWT,3/11/2015,0
2,tirreno-adriatico,2015,2.UWT,3/12/2015,1
3,tirreno-adriatico,2015,2.UWT,3/13/2015,2
4,tirreno-adriatico,2015,2.UWT,3/14/2015,3
5,tirreno-adriatico,2015,2.UWT,3/15/2015,4
6,tirreno-adriatico,2015,2.UWT,3/16/2015,5
7,tirreno-adriatico,2015,2.UWT,3/17/2015,6
1,tour de suisse,2015,2.UWT,6/13/2015,0
2,tour de suisse,2015,2.UWT,6/14/2015,1
3,tour de suisse,2015,2.UWT,6/15/2015,2
4,tour de suisse,2015,2.UWT,6/16/2015,3
5,tour de suisse,2015,2.UWT,6/17/2015,4
6,tour de suisse,2015,2.UWT,6/18/2015,5
7,tour de suisse,2015,2.UWT,6/19/2015,6
8,tour de suisse,2015,2.UWT,6/20/2015,7
9,tour de suisse,2015,2.UWT,6/21/2015,8
1,giro d'italia,2016,2.UWT,5/6/2016,0
2,giro d'italia,2016,2.UWT,5/7/2016,1
3,giro d'italia,2016,2.UWT,5/8/2016,2
4,giro d'italia,2016,2.UWT,5/10/2016,3
5,giro d'italia,2016,2.UWT,5/11/2016,4
6,giro d'italia,2016,2.UWT,5/12/2016,5
7,giro d'italia,2016,2.UWT,5/13/2016,6
8,giro d'italia,2016,2.UWT,5/14/2016,7
9,giro d'italia,2016,2.UWT,5/15/2016,8
10,giro d'italia,2016,2.UWT,5/17/2016,9
11,giro d'italia,2016,2.UWT,5/18/2016,10
12,giro d'italia,2016,2.UWT,5/19/2016,11
13,giro d'italia,2016,2.UWT,5/20/2016,12
14,giro d'italia,2016,2.UWT,5/21/2016,13
15,giro d'italia,2016,2.UWT,5/22/2016,14
16,giro d'italia,2016,2.UWT,5/24/2016,15
17,giro d'italia,2016,2.UWT,5/25/2016,16
18,giro d'italia,2016,2.UWT,5/26/2016,17
19,giro d'italia,2016,2.UWT,5/27/2016,18
20,giro d'italia,2016,2.UWT,5/28/2016,19
21,giro d'italia,2016,2.UWT,5/29/2016,20
1,tour de suisse,2016,2.UWT,6/11/2016,0
2,tour de suisse,2016,2.UWT,6/12/2016,1
3,tour de suisse,2016,2.UWT,6/13/2016,2
4,tour de suisse,2016,2.UWT,6/14/2016,3
5,tour de suisse,2016,2.UWT,6/15/2016,4
6,tour de suisse,2016,2.UWT,6/16/2016,5
7,tour de suisse,2016,2.UWT,6/17/2016,6
8,tour de suisse,2016,2.UWT,6/18/2016,7
9,tour de suisse,2016,2.UWT,6/19/2016,8
1,circuit cycliste sarthe - pays de la loire,2017,2.1,4/4/2017,1
2,circuit cycliste sarthe - pays de la loire,2017,2.1,4/5/2017,2a
3,circuit cycliste sarthe - pays de la loire,2017,2.1,4/5/2017,2b
4,circuit cycliste sarthe - pays de la loire,2017,2.1,4/6/2017,3
5,circuit cycliste sarthe - pays de la loire,2017,2.1,4/7/2017,4
1,tour of japan,2017,2.1,5/21/2017,0
2,tour of japan,2017,2.1,5/22/2017,1
3,tour of japan,2017,2.1,5/23/2017,2
