label;new_label;riderId
Tvetcov, Serghei;?Vetcov Serghei;1002650281
Aasvold, Kristian;Aasvold Kristian;1006916610
Aberasturi, Jon;Aberasturi Jon;1004918364
Abrahamsen, Jonas;Abrahamsen Jonas;1006183154
Ackermann, Pascal;Ackermann Pascal;1003568425
Adamietz, Johannes;Adamietz Johannes;1006646246
Adams, Jens;Adams Jens;1001140565
Adria, Roger;Adria Roger;1005011401
Aebi, Antoine;Aebi Antoine;1006646247
Aerts, Thijs;Aerts Thijs;1004012226
Affini, Edoardo;Affini Edoardo;1003561273
Agirre, Jon;Agirre Jon;1000316491
Alaphilippe, Julian;Alaphilippe Julian;1001917808
Albanese, Vincenzo;Albanese Vincenzo;1003568433
Vincenzo, Albanese;Albanese Vincenzo;1003568426
Aleotti, Giovanni;Aleotti Giovanni;1005570076
Allegaert, Piet;Allegaert Piet;1003567792
Almeida, João;Almeida Joao;1004994079
Amador, Andrey;Amador Andrey;1000780723
Amezqueta, Julen;Amezqueta Julen;1003226711
Anacona, Winner;Anacona Winner;1002097722
Andersen,ﾠIdar;Andersen Idar;1005011402
Andresen, Tobias Lund;Andresen Tobias Lund;1028319152
Angulo, Antonio;Angulo Antonio;1006623548
Aniolkowski, Stanislaw;Aniolkowski Stanislaw;1005819723
Apers, Ruben;Apers Ruben;1007462715
Aranburu, Alex;Aranburu Alex;1004879671
Arashiro,ﾠYukiya;Arashiro Yukiya;1000599353
Arcas, Jorge;Arcas Jorge;1004614160
Archbold,ﾠShane;Archbold Shane;1002593215
Archbold, Shane;Archbold Shane;1004621153
Archibald, John;Archibald John;1004600776
Ardila, Andres Camilo;Ardila Andres Camilo;1006095912
Arensman, Thymen;Arensman Thymen;1005011432
Ärm, Rait;Arm Rait;1008086974
Armee,ﾠSander;Armee Sander;1000796928
Armirail,ﾠBruno;Armirail Bruno;1002306839
Arndt, Nikias;Arndt Nikias;1001202061
Arrieta, Igor;Arrieta Igor;1028253350
Asgreen, Kasper;Asgreen Kasper;1003561281
Askey,ﾠLewis;Askey Lewis;1006534117
Aular, Orluis;Aular Orluis;1006160527
Ayuso, Juan;Ayuso Juan;1007059136
Azparren, Xabier Mikel;Azparren Xabier Mikel;1007896751
Azurmendi, Ibai;Azurmendi Ibai;1005011395
Badilatti, Matteo;Badilatti Matteo;1005039308
Baers, Arne;Baers Arne;1007016242
Bagioli, Andrea;Bagioli Andrea;1005011392
Bais,ﾠDavide;Bais Davide;1007595301
Bais, Mattia;Bais Mattia;1006659509
Bakelants, Jan;Bakelants Jan;1000778416
Balderstone, Abel;Balderstone Abel;1028383612
Balfour, Stuart;Balfour Stuart;1005822733
Ballerini, Davide;Ballerini Davide;1002896147
Ballerstedt, Maurice;Ballerstedt Maurice;1008084148
Balmer, Alexandre;Balmer Alexandre;1008084149
Banaszek, Alan;Banaszek Alan;1003568429
Barbero, Carlos;Barbero Carlos;1002565034
Barbier, Pierre;Barbier Pierre;1004994083
Barbier, Rudy;Barbier Rudy;1002338201
Barboza, Juan Manuel;Barboza Juan Manuel;1028317617
