name,url,pcs_name,pcs_url
Adam Yates,https://www.strava.com/pros/259171,Yates Adam,rider/adam-yates
Alejandro Valverde,https://www.strava.com/athletes/25407057,Valverde Alejandro,rider/alejandro-valverde
Alexey Lutsenko,https://www.strava.com/pros/19220743,Lutsenko Alexey,rider/aleksey-lutsenko
Alexander Kristoff,https://www.strava.com/athletes/9232885,Kristoff Alexander,rider/alexander-kristoff
Alex Howes,https://www.strava.com/pros/11673347,Howes Alex,rider/alex-howes
Andre Greipel,https://www.strava.com/athletes/384548,Greipel André,rider/andre-greipel
Antwan Tolhoek,https://www.strava.com/athletes/1039712,Tolhoek Antwan,rider/antwan-tolhoek
August Jensen,https://www.strava.com/athletes/18311935,Jensen August,rider/august-jensen
Ben Swift,https://www.strava.com/pros/1476851,Swift Ben,rider/ben-swift
Brandon McNulty,https://www.strava.com/athletes/1126469,McNulty Brandon,rider/brandon-mcnulty
Brent Bookwalter,https://www.strava.com/pros/26475512,Bookwalter Brent,rider/brent-bookwalter
Carl Fredrik Hagen,https://www.strava.com/athletes/134614,Hagen Carl Fredrik,rider/carl-fredrik-hagen
Chad Haga,https://www.strava.com/athletes/269660,Haga Chad,rider/chad-haga
Damiano Caruso,https://www.strava.com/pros/4084289,Caruso Damiano,rider/damiano-caruso
Daryl Impey,https://www.strava.com/pros/1714205,Impey Daryl,rider/daryl-impey
David Gaudu,https://www.strava.com/pros/4774417,Gaudu David,rider/david-gaudu
Dion Smith,https://www.strava.com/athletes/1323252,Smith Dion,rider/dion-smith
Dylan van Baarle,https://www.strava.com/pros/490505,van Baarle Dylan,rider/dylan-van-baarle
Edward Theuns,https://www.strava.com/athletes/1668485,Theuns Edward,rider/edward-theuns
Elie Gesbert,https://www.strava.com/athletes/2321729,Gesbert Élie,rider/elie-gesbert
Emanuel Buchmann,https://www.strava.com/athletes/2685219,Buchmann Emanuel,rider/emanuel-buchmann
Francesco Gavazzi,https://www.strava.com/athletes/21712783,Gavazzi Francesco,rider/francesco-gavazzi
George Bennett,https://www.strava.com/athletes/880187,Bennett George,rider/george-bennett
Giovanni Visconti,https://www.strava.com/pros/2957348,Visconti Giovanni,rider/giovanni-visconti
Greg Van Avermaet,https://www.strava.com/athletes/287820,Van Avermaet Greg,rider/greg-van-avermaet
Ivan Garcia Cortina,https://www.strava.com/athletes/1292406,García Cortina Iván,rider/ivan-garcia-cortina
Jack Haig,https://www.strava.com/athletes/283726,Haig Jack,rider/jack-haig
Jai Hindley,https://www.strava.com/pros/1760759,Hindley Jai,rider/jai-hindley
James Knox,https://www.strava.com/athletes/2260636,Knox James,rider/james-knox
Jasper Philipsen,https://www.strava.com/athletes/1727324,Philipsen Jasper,rider/jasper-philipsen
Jens Keukeleire,https://www.strava.com/pros/8075081,Keukeleire Jens,rider/jens-keukeleire
John Degenkolb,https://www.strava.com/pros/6137589,Degenkolb John,rider/john-degenkolb
Julien Simon,https://www.strava.com/pros/2237545,Simon Julien,rider/julien-simon
Laurens De Plus,https://www.strava.com/pros/4049155,De Plus Laurens,rider/laurens-de-plus
Marc Sarreau,https://www.strava.com/pros/4259094,Sarreau Marc,rider/marc-sarreau
Matej Mohoric,https://www.strava.com/athletes/4040441,Mohori? Matej,rider/matej-mohoric
Michael Albasini,https://www.strava.com/pros/780854,Albasini Michael,rider/michael-albasini
Michael Valgren,https://www.strava.com/athletes/2109462,Valgren Michael,rider/michael-valgren-andersen
Mike Woods,https://www.strava.com/athletes/425147,Woods Michael,rider/michael-woods
Michael Kwiatkowski,https://www.strava.com/athletes/1905161,Kwiatkowski Micha?,rider/michal-kwiatkowski
Mike Teunissen,https://www.strava.com/athletes/1419979,Teunissen Mike,rider/mike-teunissen
Nicolas Roche,https://www.strava.com/athletes/29960839,Roche Nicolas,rider/nicolas-roche
Niki Terpstra,https://www.strava.com/athletes/340874,Terpstra Niki,rider/niki-terpstra
Nils Politt,https://www.strava.com/athletes/2592883,Politt Nils,rider/nils-politt
Oliver Naesen,https://www.strava.com/pros/440227,Naesen Oliver,rider/oliver-naesen
Pascal Ackermann,https://www.strava.com/athletes/12274527,Ackermann Pascal,rider/pascal-ackermann
Patrick Konrad,https://www.strava.com/athletes/4571461,Konrad Patrick,rider/patrick-konrad
Patrick Konrad,https://www.strava.com/pros/4571461,Konrad Patrick,rider/patrick-konrad
Pavel Sivakov,https://www.strava.com/athletes/1808024,Sivakov Pavel,rider/pavel-sivakov
Pierre Latour,https://www.strava.com/pros/7347052,Latour Pierre,rider/pierre-latour
Richie Porte,https://www.strava.com/pros/6072239,Porte Richie,rider/richie-porte
