Rider,Dropped,Seconds,GC,Final,Abbr
Buchmann,4.7,18,TRUE,TRUE,EBu
Bernal,4.1,18,TRUE,TRUE,EBe
Thomas,6.8,49,TRUE,TRUE,GT
Kruijswijk,6.8,49,TRUE,TRUE,SK
Alaphilippe,5.4,76,TRUE,TRUE,JA
Barguil,7.5,81,TRUE,TRUE,WB
Valverde,6.8,49,TRUE,TRUE,AV
Fuglsang,6.8,81,TRUE,TRUE,JF
Uran,7.2,145,TRUE,TRUE,RU
Aru,8.5,252,TRUE,TRUE,FA
Porte,69,57,TRUE,Lers,XX
Bennett,8.2,669,FALSE,TRUE,XX
Kangert,8.2,225,FALSE,TRUE,XX
Poels,6.8,76,FALSE,TRUE,XX
A Yates,43,1437,TRUE,Peguere,XX
Gaudu,6.9,287,FALSE,TRUE,XX
Meurisse,8.4,225,FALSE,TRUE,XX
