SEGMENT,RACE,CLIMB,year,race,stage,summit,duplicate
https://www.strava.com/segments/682675?filter=overall,Abu Dhabi Tour 2018 Stage 5,Jebel Hafeet,2018,abu dhabi tour,5,1,1
https://www.strava.com/segments/682675?filter=overall,Abu Dhabi Tour 2017 Stage 3,Jebel Hafeet,2017,abu dhabi tour,3,1,1
https://www.strava.com/segments/5343658?filter=overall,Adriatica Ionica 2019 Stage 2,Lago di Misurina,2019,adriatica ionica race / sulle rotte della serenissima,2,,0
https://www.strava.com/segments/8575918?filter=overall,Adriatica Ionica 2019 Stage 3,Monte Quarin,2019,adriatica ionica race / sulle rotte della serenissima,3,,0
https://www.strava.com/segments/841156?filter=overall,Tour of California 2018 Stage 2,Gibraltar Rd,2018,amgen tour of california,2,,0
https://www.strava.com/segments/609351?filter=overall,Tour of California 2018 Stage 3,Laguna Seca,2018,amgen tour of california,3,,0
https://www.strava.com/segments/627646?filter=overall,Tour of California 2019 Stage 6,Mt Baldy,2019,amgen tour of california,6,,0
https://www.strava.com/segments/1804677?filter=overall,Arctic Race 2019 Stage 3,Storheia,2019,arctic race of norway,3,1,0
https://www.strava.com/segments/8146784?filter=overall,Circuit Getxo 2020,Pike Bidea,2020,circuito de getxo-memorial hermanos otxoa,1,0,0
https://www.strava.com/segments/12308270?filter=overall,San Sebastian 2019,Murgil,2019,clasica ciclista san sebastian,1,,0
https://www.strava.com/segments/627867?filter=overall,Tour of Colombia 2019 Stage 6,Alto de Palmas,2019,colombia 2.1,6,,0
https://www.strava.com/segments/4346113?filter=overall,Tour of Colombia 2019 Stage 5,Alto la Union,2019,colombia 2.1,5,,0
https://www.strava.com/segments/20879729?filter=overall,Dauphine 2019 Stage 6,Col de Beaune,2019,criterium du dauphine,6,,0
https://www.strava.com/segments/15057512?filter=overall,Criterium du Dauphine 2020 Stage 2,Col de Porte,2020,criterium du dauphine,2,1,0
https://www.strava.com/segments/4610074?filter=overall,Dauphine 2017 Stage 7,Col de Sarenne,2017,criterium du dauphine,7,,0
https://www.strava.com/segments/17890831?filter=overall,Dauphine 2018 Stage 4,Lans et Vercors,2018,criterium du dauphine,4,,0
https://www.strava.com/segments/23354341?filter=overall,Criterium du Dauphine 2020 Stage 5,Megeve Altiport,2020,criterium du dauphine,5,1,0
https://www.strava.com/segments/18351558?filter=overall,Dauphine 2017 Stage 6,Mont du Chat,2017,criterium du dauphine,6,,0
https://www.strava.com/segments/20881621?filter=overall,Dauphine 2019 Stage 7,Pipay,2019,criterium du dauphine,7,1,0
https://www.strava.com/segments/18522427?filter=overall,Dauphine 2017 Stage 8,Plateau Solaison,2017,criterium du dauphine,8,,0
https://www.strava.com/segments/12759199?filter=overall,Dauphine 2018 Stage 6,Rosiere,2018,criterium du dauphine,6,,0
https://www.strava.com/segments/25305978?filter=overall,Criterium du Dauphine 2020 Stage 3,Saint Martin de Belleville,2020,criterium du dauphine,3,1,0
https://www.strava.com/segments/753465?filter=overall,Dauphine 2018 Stage 5,Valmorel,2018,criterium du dauphine,5,,0
https://www.strava.com/segments/9655980?filter=overall,Dauphine 2018 Stage 7,Vervex Mt Blanc,2018,criterium du dauphine,7,,0
https://www.strava.com/segments/698804?filter=overall,Etoile Besseges 2020 Stage 4,Mont Bouquet,2020,etoile de besseges,4,,0
https://www.strava.com/segments/14344015?filter=overall,U23 Giro 2020 Stage 7,Montespluga,2020,giro ciclistico d'italia,7,,0
https://www.strava.com/segments/5842846?filter=overall,Giro dell Toscano 2019,Monte Serra,2019,giro della toscana - memorial alfredo martini,1,,0
https://www.strava.com/segments/14244952?filter=overall,Giro dell Emilia 2020,Madonna San Luca,2020,giro dell'emilia,1,1,0
https://www.strava.com/segments/10466104?filter=overall,Giro 2019 Stage 17,Anterselva,2019,giro d'italia,17,,0
https://www.strava.com/segments/5352737?filter=overall,Giro 2018 Stage 20,Cervinia,2018,giro d'italia,20,,0
https://www.strava.com/segments/20688201?filter=overall,Giro 2019 Stage 14,Colle San Carlo,2019,giro d'italia,14,,0
https://www.strava.com/segments/17630896?filter=overall,Giro 2018 Stage 6,Etna,2018,giro d'italia,6,1,0
https://www.strava.com/segments/17666316?filter=overall,Giro 2018 Stage 9,Gran Sasso Italia,2018,giro d'italia,9,,0
https://www.strava.com/segments/17981735?filter=overall,Giro 2018 Stage 19,Jafferau,2018,giro d'italia,19,1,0
https://www.strava.com/segments/20684975?filter=overall,Giro 2019 Stage 13,Lago Serru,2019,giro d'italia,13,,0
https://www.strava.com/segments/20769063?filter=overall,Giro 2019 Stage 20,Monte Avena,2019,giro d'italia,20,,0
https://www.strava.com/segments/657601?filter=overall,Giro 2018 Stage 14,Monte Zoncolan,2018,giro d'italia,14,1,0
https://www.strava.com/segments/18858267?filter=overall,Giro 2018 Stage 8,Montevergine,2018,giro d'italia,8,,0
https://www.strava.com/segments/614726?filter=overall,Giro 2019 Stage 16,Mortirolo,2019,giro d'italia,16,,0
https://www.strava.com/segments/633767?filter=overall,Giro 2019 Stage 15,Muro di Sormano,2019,giro d'italia,15,,0
https://www.strava.com/segments/15832708?filter=overall,Giro 2018 Stage 18,Prato Nevoso,2018,giro d'italia,18,,0
https://www.strava.com/segments/20484841?filter=overall,Giro 2019 Stage 19,San Martino Castrozza,2019,giro d'italia,19,,0
https://www.strava.com/segments/14917954?filter=overall,Giro 2017 Stage 20,Asiago,2017,giro d'italia,20,0,0
https://www.strava.com/segments/1404340?filter=overall,Giro 2017 Stage 19,Piancavallo,2017,giro d'italia,19,1,0
https://www.strava.com/segments/4936261?filter=overall,Giro 2017 Stage 18,Pontives,2017,giro d'italia,18,0,0
https://www.strava.com/segments/628740?filter=overall,Giro 2017 Stage 16,Umbrailpass,2017,giro d'italia,16,0,0
https://www.strava.com/segments/12459672?filter=overall,Giro 2017 Stage 14,Oropa,2017,giro d'italia,14,1,0
https://www.strava.com/segments/14511398?filter=overall,Giro 2017 Stage 11,Fumailo,2017,giro d'italia,11,0,0
https://www.strava.com/segments/18867662?filter=overall,Giro 2017 Stage 9,Blockhaus,2017,giro d'italia,9,1,0
https://www.strava.com/segments/5944447?filter=overall,Giro 2017 Stage 4,Etna,2017,giro d'italia,4,1,0
https://www.strava.com/segments/16047374?filter=overall,Giro 2017 Stage 2,Genna Silana,2017,giro d'italia,2,0,0
https://www.strava.com/segments/7357480?filter=overall,Gran Trittico 2020,Final climb to finish,2020,gran trittico lombardo,1,,0
https://www.strava.com/segments/13883542?filter=overall,Herald Sun Tour 2019 Stage 4,Arthurs Seat,2019,herald sun tour,4,,0
https://www.strava.com/segments/19766281?filter=overall,Herald Sun Tour 2019 Stage 2,Jeeralang,2019,herald sun tour,2,,0
https://www.strava.com/segments/8294298?filter=overall,Il Lombardia 2019,Civiglio,2019,il lombardia,1,,0
https://www.strava.com/segments/12815633?filter=overall,Austria 2018 Stage 5,Grossglockner,2018,int. osterreich-rundfahrt-tour of austria,5,,0
https://www.strava.com/segments/619225?filter=overall,Austria 2018 Stage 3,Kitzbuheler Horn,2018,int. osterreich-rundfahrt-tour of austria,3,,0
https://www.strava.com/segments/15722427?filter=overall,Austria 2019 Stage 3,Nechnitz,2019,int. osterreich-rundfahrt-tour of austria,3,,0
https://www.strava.com/segments/12539528?filter=overall,Austria 2018 Stage 7,Sonntagberg,2018,int. osterreich-rundfahrt-tour of austria,7,,0
https://www.strava.com/segments/11765274?filter=overall,Tour of Basque Country 2019 Stage 5,Arrate,2019,itzulia basque country,5,,0
https://www.strava.com/segments/3913403?filter=overall,Tour of Basque Country 2019 Stage 6,Asentzio,2019,itzulia basque country,6,,0
https://www.strava.com/segments/17123025?filter=overall,Basque Country 2018 Stage 2,San Pelaio,2018,itzulia basque country,2,,0
https://www.strava.com/segments/9363487?filter=overall,Herald Sun Tour 2020 Stage 2,Falls Creek,2020,jayco herald sun tour,2,,0
https://www.strava.com/segments/631265?filter=overall,Herald Sun Tour 2020 Stage 4,Mount Buller,2020,jayco herald sun tour,4,,0
https://www.strava.com/segments/617076?filter=overall,Fleche Wallone 2019,Mur de Huy,2019,la fleche wallonne,1,1,0
https://www.strava.com/segments/17828218?filter=overall,Occitanie 2018 Stage 3,Mont d'Ormes,2018,la route d'occitanie,3,,0
https://www.strava.com/segments/20728887?filter=overall,Occitanie 2019 Stage 1,Aubignac,2019,la route d'occitanie - la depeche du midi,1,1,0
https://www.strava.com/segments/688115?filter=overall,Route d'Occitanie 2020 Stage 3,Col de Beyrede,2020,la route d'occitanie - la depeche du midi,3,1,0
https://www.strava.com/segments/940788?filter=overall,Occitanie 2019 Stage 3,Hospice de France,2019,la route d'occitanie - la depeche du midi,3,1,0
https://www.strava.com/segments/18613402?filter=overall,Vuelta 2018 Stage 4,Alfacar,2018,la vuelta ciclista a espana,4,,0
https://www.strava.com/segments/21748340?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 16,Alto de la Cubilla,2019,la vuelta ciclista a espana,16,,0
https://www.strava.com/segments/18826402?filter=overall,Vuelta 2018 Stage 17,Balcon de Bizkaia,2018,la vuelta ciclista a espana,17,1,0
https://www.strava.com/segments/20235130?filter=overall,Vuelta 2018 Stage 20,Gallina,2018,la vuelta ciclista a espana,20,,0
https://www.strava.com/segments/21079233?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 5,Javalambre,2019,la vuelta ciclista a espana,5,1,0
https://www.strava.com/segments/7128872?filter=overall,Vuelta 2018 Stage 13,La Camperona,2018,la vuelta ciclista a espana,13,,0
https://www.strava.com/segments/18732822?filter=overall,Vuelta 2018 Stage 9,La Covatilla,2018,la vuelta ciclista a espana,9,,0
https://www.strava.com/segments/12157376?filter=overall,Vuelta 2018 Stage 15,Lagos de Covadonga,2018,la vuelta ciclista a espana,15,1,0
https://www.strava.com/segments/21324992?filter=overall,Vuelta 2018 Stage 14,Les Praeres,2018,la vuelta ciclista a espana,14,,0
https://www.strava.com/segments/15926937?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 13,Los Machucos,2019,la vuelta ciclista a espana,13,1,0
https://www.strava.com/segments/7125365?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 7,Mas de la Costa,2019,la vuelta ciclista a espana,7,1,0
https://www.strava.com/segments/20892705?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 20,Plataforma de Gredos,2019,la vuelta ciclista a espana,20,,0
https://www.strava.com/segments/7185252?filter=overall,Vuelta 2018 Stage 19,Rabassa Naturlandia,2018,la vuelta ciclista a espana,19,,0
https://www.strava.com/segments/16394765?filter=overall,La Vuelta Ciclista a Espana 2019 Stage 15,Santuario del Acebo,2019,la vuelta ciclista a espana,15,1,0
https://www.strava.com/segments/25233016?filter=overall,Tour Savoie Mont Blanc 2020 Stage 5,Mont Le Revard,2020,le tour de savoie mont blanc,5,,0
