stage,race,year,date,length,Type,Gradient,VerticalGain,Distance,Segment,Valid,AtKM
1,milano-sanremo,2020,8/8/2020,305,Hidden,0.038,461,3.7,PoggioSanremo,1,300.5
1,milano-sanremo,2020,8/8/2020,305,Hidden,0.041,781,5.9,Cipressa,1,284.5
1,liege-bastogne-liege,2020,10/4/2020,257,Visible,0.108,404,1.1,Roche-aux-Fauconsclimbx,1,244
1,liege-bastogne-liege,2020,10/4/2020,257,Visible,0.084,310,1.1,ThierdesForgesClimb,1,234
1,liege-bastogne-liege,2020,10/4/2020,257,Visible,0.098,493,1.5,CôtedelaRedoute,1,222
5,giro d'italia,2020,10/7/2020,225,Visible,0.059,1848,9.5,MonteScuroTopSection,1,214
1,liege-bastogne-liege,2020,10/4/2020,257,Visible,0.057,460,2.4,ColduMaquisardNo45HellingenApp,1,210.5
9,giro d'italia,2020,10/11/2020,208,Visible,0.045,1319,8.9,RoccarasoViaValloneS.Rocco-Aremogna,1,203.5
5,tirreno-adriatico,2020,9/11/2020,202,Hidden,0.073,2610,10.8,Sarnano-Sassotetto,1,202
1,liege-bastogne-liege,2020,10/4/2020,257,Visible,0.06,781,3.9,Rosier,1,198
12,tour de france,2020,9/10/2020,218,Visible,0.07,902,3.9,AscensionSucauMay(complet),1,192
15,giro d'italia,2020,10/18/2020,185,Hidden,0.08,3680,13.9,SalitaPiancavallo(piazza),1,185
4,tirreno-adriatico,2020,9/10/2020,194,Hidden,0.069,1150,5.1,Ospedalettorealclimb,1,183.5
9,giro d'italia,2020,10/11/2020,208,Visible,0.052,1621,9.4,BoscodiS.Antonio,1,181
12,tour de france,2020,9/10/2020,218,Visible,0.047,988,6.4,ColdeLestards-montéeseule,1,177.5
13,giro d'italia,2020,10/16/2020,192,Hidden,0.095,648,2.1,CalaoneChallenge#2,1,176
12,giro d'italia,2020,10/15/2020,204,Hidden,0.062,864,4.2,Gorolo,1,174.5
1,liege-bastogne-liege,2020,10/4/2020,257,Visible,0.076,544,2.2,CôtedeWanneNo38HellingenApp,1,172
5,giro d'italia,2020,10/7/2020,225,Visible,0.059,991,5.1,chiagiugio_Rogliano_dal_Savuto,1,166.5
1,milano-sanremo,2020,8/8/2020,305,Visible,0.037,1123,9.2,Campetto-Feisoglio,1,166
18,tour de france,2020,9/17/2020,175,Hidden,0.044,795,5.5,ColdesFleuries(Thorens-Complète),1,165
1,liege-bastogne-liege,2020,10/4/2020,257,Visible,0.081,444,1.7,montlesoie,1,164.5
3,la route d'occitanie - la depeche du midi,2020,8/3/2020,163.5,Hidden,0.069,2364,10.4,ColdeBeyrede,1,163.5
13,giro d'italia,2020,10/16/2020,192,Visible,0.092,1105,3.7,RoccolodaVallorto,1,162.5
6,giro d'italia,2020,10/8/2020,188,Hidden,0.064,994,4.7,SalitadellaGalleria(BiciClubFerrandina),1,161.5
10,giro d'italia,2020,10/13/2020,177,Visible,0.084,459,1.7,TaglioTortoretoAlto,1,158.5
3,criterium du dauphine,2020,8/14/2020,157,Hidden,0.06,2897,14.7,Saint-Martin-de-Belleville(myCols.app),1,157
12,giro d'italia,2020,10/15/2020,204,Hidden,0.05,663,4,VIIISiepiCote**-FlandresLove,1,155.5
9,giro d'italia,2020,10/11/2020,208,Visible,0.042,1304,9.5,sant'eufemia-passosanleonardo,1,155
3,giro d'italia,2020,10/5/2020,150,Hidden,0.063,3664,17.6,LinguaglossaT-JunctiontoMountEtnaNordLavaFields,1,150
2,giro d'italia,2020,10/4/2020,149,Visible,0.052,739,4.4,Agrigento-LaFlammeRougeverified,1,149
4,criterium du dauphine,2020,8/15/2020,148.5,Visible,0.047,1000,6.5,MegevetoAltiport,1,148.5
4,tirreno-adriatico,2020,9/10/2020,194,Visible,0.078,2522,9.8,CastellucciodegliEroi-ForcadiGualdo,1,144.5
15,giro d'italia,2020,10/18/2020,185,Hidden,0.045,1156,7.8,Poffabro-PalaBalzanaClimb,1,143.5
1,giro dell'appennino,2020,9/19/2020,191.5,Visible,0.068,1217,5.4,FraconaltodaVoltaggio,1,143
12,giro d'italia,2020,10/15/2020,204,Visible,0.059,1721,8.9,NovafeltriaMadonnaPugliano,1,141
11,giro d'italia,2020,10/14/2020,182,Hidden,0.045,177,1.2,MisanoMonte,1,138.5
10,giro d'italia,2020,10/13/2020,177,Visible,0.09,741,2.5,ColonellaNorth,1,138
2,tirreno-adriatico,2020,9/8/2020,201,Visible,0.04,542,4.1,CannetodaLaGabellaPaoloBi,1,137
9,tour de france,2020,9/6/2020,153,Hidden,0.085,2173,7.8,"Last7.7Km,MarieBlanque,TdF",1,135.5
2,criterium du dauphine,2020,8/13/2020,135,Hidden,0.061,3321,16.5,ColdePorte,1,135
1,giro dell'appennino,2020,9/19/2020,191.5,Visible,0.076,2059,8.2,"[EB]PassodellaBocchetta,daCampomorone",1,127.5
12,giro d'italia,2020,10/15/2020,204,Visible,0.046,1327,8.8,Pietradell'uso-Perticara,1,122.5
12,tour de france,2020,9/10/2020,218,Visible,0.046,459,3.1,LaCôted'Eybouleuf,1,121
10,giro d'italia,2020,10/13/2020,177,Visible,0.088,597,2.1,TortoretoaltodacasadiPatrick,1,119.5
3,la route d'occitanie - la depeche du midi,2020,8/3/2020,163.5,Hidden,0.074,2350,9.7,ColdePeyresourde,1,119
18,tour de france,2020,9/17/2020,175,Hidden,0.067,1527,7,Cascadecoldesaravis,1,117.5
4,criterium du dauphine,2020,8/15/2020,148.5,Hidden,0.08,3285,12.5,MontéedeBisanne-D123,1,116
3,settimana internazionale coppi e bartali,2020,9/3/2020,166.5,Visible,0.056,1632,8.9,TwentyPeaksMontePugliano,1,116
9,tour de france,2020,9/6/2020,153,Hidden,0.06,916,4.5,ICHERE(Lourdios)/www.pirenaica.com,1,115.5
3,giro d'italia,2020,10/5/2020,150,Hidden,0.055,861,4.7,MiloBosco-Fornazzo,1,115
5,giro d'italia,2020,10/7/2020,225,Visible,0.048,2515,15.9,MonteTrearie-LaFlammeRougeverified,1,112.5
11,giro d'italia,2020,10/14/2020,182,Hidden,0.05,518,3.1,ABEsalitaPanoramicadaPesaro,1,110.5
8,giro d'italia,2020,10/10/2020,200,Visible,0.063,1905,9.2,MaddonadelleGrazie-MonteSantAngeloGirod'italia2017,1,106.5
3,criterium du dauphine,2020,8/14/2020,157,Hidden,0.079,4985,19.1,Madeneinetdf2020,1,105.5
15,giro d'italia,2020,10/18/2020,185,Hidden,0.075,1735,7,PassoRest(versantecarnico),1,105
9,giro d'italia,2020,10/11/2020,208,Visible,0.073,2462,10.3,PassoLancianoviaPretoroCentro,1,100.5
2,criterium du dauphine,2020,8/13/2020,135,Hidden,0.076,1449,5.8,ColdeMontaud,1,98
2,tirreno-adriatico,2020,9/8/2020,201,Hidden,0.044,641,4.5,Pomaia-CastellinadafineponteafinesalitaSCE,1,97.5
15,giro d'italia,2020,10/18/2020,185,Hidden,0.069,663,2.9,ForcadiPriuso,1,94
3,la route d'occitanie - la depeche du midi,2020,8/3/2020,163.5,Hidden,0.061,3851,19.3,"PortdeBalès,montéecomplète",1,93.5
1,la route d'occitanie - la depeche du midi,2020,8/1/2020,189.5,Visible,0.059,767,3.4,SortieSGTresVents,1,92.5
3,giro d'italia,2020,10/5/2020,150,Visible,0.038,1360,10.9,paternonicolosi.rotonda,1,92
12,giro d'italia,2020,10/15/2020,204,Visible,0.081,1162,4.4,BARBOTTO,1,91
1,giro dell'appennino,2020,9/19/2020,191.5,Visible,0.061,887,4.4,Vobbia(pontebivioAlpe)-Crocefieschi,1,88
19,tour de france,2020,9/18/2020,166.5,Hidden,0.041,698,5.2,CôtedeChâteau-Chalon(long),1,82
3,settimana internazionale coppi e bartali,2020,9/3/2020,166.5,Hidden,0.058,3285,17.1,MacerataFeltria-Carpegnasummit,1,80
12,giro d'italia,2020,10/15/2020,204,Visible,0.061,1238,6.1,Ciolaufficiale,1,76.5
1,liege-bastogne-liege,2020,10/4/2020,257,Visible,0.058,542,2.9,CôtedeLaRoche-en-ArdenneNo34HellingenApp,1,76.5
4,giro d'italia,2020,10/6/2020,140,Hidden,0.05,2165,13.3,SellaMandrazziOfficialClimb,1,75.5
7,tour de france,2020,9/4/2020,168,Hidden,0.039,1871,14.5,ColdePeyronnenc(myCols.app),1,73
1,la route d'occitanie - la depeche du midi,2020,8/1/2020,189.5,Visible,0.053,1472,8.4,"CroixdeMounis,parBrusque",1,70.5
9,tour de france,2020,9/6/2020,153,Visible,0.088,3103,10.8,ColIssarbe,1,69
15,giro d'italia,2020,10/18/2020,185,Hidden,0.056,1762,9.6,CartelloS.Francesco-AlbergoSellaChianzutan,1,65
1,giro dell'appennino,2020,9/19/2020,191.5,Visible,0.056,802,4.4,castagnolaaGPM,1,56.5
2,criterium du dauphine,2020,8/13/2020,135,Visible,0.05,768,4.7,RouteDeRoybonClimb,1,49.5
18,tour de france,2020,9/17/2020,175,Visible,0.061,3807,19.1,Cormet-de-RoselandNo68GreatestTDFClimbs,1,45.5
4,criterium du dauphine,2020,8/15/2020,148.5,Hidden,0.078,1686,6.6,ColdelaCroixFryfromManigod,1,41
10,giro d'italia,2020,10/13/2020,177,Visible,0.057,541,2.9,TorrevecchiaTotalclimbdaSanguineto,1,38.5
2,giro d'italia,2020,10/4/2020,149,Visible,0.042,605,4.4,StelladiGibellina-SantaNinfa,1,37.5
3,settimana internazionale coppi e bartali,2020,9/3/2020,166.5,Visible,0.042,1122,8.1,"MERCATINO-OSTERIACCIA""HC""",1,37
12,giro d'italia,2020,10/15/2020,204,Visible,0.04,659,5,SalitaForlimpopoli-Bertinoro,1,31
4,criterium du dauphine,2020,8/15/2020,148.5,Hidden,0.095,1981,6.4,ColdePlanBois,1,27.5
3,settimana internazionale coppi e bartali,2020,9/3/2020,166.5,Hidden,0.061,1336,6.7,Montegiardinofinoalconfine,1,22.5
6,giro d'italia,2020,10/8/2020,188,Visible,0.046,1788,11.7,K.O.M.Morano-Campotenese<U+0001F451>BabyJpLois<U+0001F3C6><U+0001F6B4><U+200D><U+2642><U+FE0F><U+0001F91E>,1,13.5
7,tour de france,2020,9/4/2020,168,Visible,0.058,622,3.3,CôtedeLuzençon,1,8.5
2,tirreno-adriatico,2020,9/8/2020,201,Visible,0.038,508,4,Montemagno,1,5
5,tirreno-adriatico,2020,9/11/2020,202,Visible,0.061,1171,5.9,forcadancaranodanorcia,1,4.5
1,binckbank tour,2020,9/29/2020,132.1,Visible,0.098,334,1,MeiboomstraatClimb,,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.048,122,0.7,RuedeMont-SaintGuibert,,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.044,109,0.8,ruedecoquerées,,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.066,164,0.7,Rabotsteeppart,,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.069,136,0.6,Catala-SammeVirginal,,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.044,270,1.9,RueDuParadisClimb,,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.037,146,1.2,Arduinbosberg,,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.078,280,1.1,MuurvanGeraardsbergen(classic),,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.039,242,1.6,greatbosbergclimb,,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.037,127,1,Bosbergtotdeslipper;),,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.069,144,0.6,Bosberg(kasseien),,
5,binckbank tour,2020,10/3/2020,183.6,Visible,0.061,174,0.9,DenderoordbergFlandersHill,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.041,113,0.8,RuedeMSG,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.048,149,0.9,Moustycôtetotal,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.044,115,0.8,CoqueréesBIS,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.057,187,1,RuedesRabôts,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.037,167,1.4,moerbeke-geraardsbergen,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.079,308,1.2,Vesten+Muur+Kapelmuur,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.087,297,1,Muur(DeechteRVV),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.077,302,1.2,Muur(B),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.082,302,1.1,DeMuurvanGeraardsbergenKapeldeur,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.081,302,1.1,MuurVanGeraardsbergenFlandersHill,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.088,284,1,TriVeloClassicTourMurGeraardsbergin,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.085,283,1,Vesten+Muurtotstopplaats,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.09,306,1,TriVeloClassicTour,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.081,279,1,PulsoCup-KlimEtappe3(Muur),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.081,283,1.1,MuurvanGeraardsbergen(KaaitotKapel),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.091,286,0.9,Vesten+Muur,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.091,298,1,MuurfromBrugstraat,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.083,267,1,"muur,markttotkapel",,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.079,226,0.9,Muur,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.082,242,0.9,MuurvanGeraardsbergen/MurdeGrammont,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.078,230,0.9,DEMUUR,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.068,206,0.9,<U+0001F3C6>FlandrienChallenge<U+0001F3C6>DeVesten&DeMuur,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.086,254,0.9,Murdegrammonttchiobiloute,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.078,252,0.9,MuurVanGeraardsbergen(viaachterkantkerk),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.077,193,0.7,Vesten+Muur,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.077,193,0.8,Vesten+Muur(B),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.087,217,0.8,MUUR+VESTEN,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.083,203,0.7,MUURvanafvesten,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.088,158,0.5,Muur:oudebergstraattotkapel,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.048,242,1.4,bosbergfullfromvillage,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.053,242,1.4,bosbergfull4thcatclimb,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.056,244,1.3,BosbergFlandersHill,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.056,244,1.3,Bosberg(deechteRVV),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.051,233,1.4,Bosberg(Cotacoln°558)#CotacolHunting,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.049,220,1.4,Bosbergmetaanloop,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.056,241,1.3,Bosberg(KoppenholletotElFaro),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.05,223,1.4,BosbergNo25HellingenApp,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.061,240,1.2,Bosbergtoteindekasseien,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.051,105,0.6,PréBosberg,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.061,201,1,Bosberg,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.061,205,1,<U+0001F3C6>FlandrienChallenge<U+0001F3C6>Bosberg,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.069,143,0.6,Bosberg(cobbledpart),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.129,355,0.8,Meidries618Climb,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.05,158,0.9,Denderoordclimb,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.066,174,0.8,fulloverberg,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.077,168,0.7,donderdender,,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.084,257,0.9,MuurVanGeraardsbergen(viaachterkantkerk),,
5,binckbank tour,2020,10/3/2020,183.6,Hidden,0.052,230,1.4,Bosberg(Cotacoln°558)#CotacolHunting,,
1,clasica de almeria,2020,2/16/2020,187.6,Visible,0.039,1343,10.4,AltodeDalías(S),,
1,clasica de almeria,2020,2/16/2020,187.6,Visible,0.055,495,2.7,atajueloscompleto,,
1,clasica de almeria,2020,2/16/2020,187.6,Visible,0.051,640,3.8,CalleDeLosCerrillosClimb,,
1,clasica de almeria,2020,2/16/2020,187.6,Visible,0.052,585,3.4,SubiraCelín,,
1,clasica de almeria,2020,2/16/2020,187.6,Visible,0.037,268,2.2,subida2,,
