stage,race,year,climb_name,length,gradient,KM_top,KM_stage,category
5,tour de romandie,2018,Mont-la-Ville,3.9,4.7,29,183,NA
,,,Suchy,2.8,4.9,57,183,NA
,,,Thierrens,5.9,4.1,78,183,NA
5,tour de romandie,2017,Lac de Sauvablin,5,5.6,6,18,NA
7,criterium du dauphine,2016,Cote de Monteynard,10.6,4.7,13.5,151,NA
,,,Cote des Terrasses,2.7,6.9,33.5,151,NA
,,,Cote de Saint-Laurent-du-Cros,2.8,4.9,83,151,NA
,,,Col de Moissiere,8.3,8.2,102.5,151,NA
,,,Col du Noyer,7.5,8.4,139.5,151,NA
,,,Superdevoluy,3.8,5.9,151,151,NA
7,paris - nice,2016,Cote de Duranus,5,5,33,134,NA
,,,Cote de Levens,6.2,5.5,41,134,NA
,,,Cote de Chateauneuf,5.4,4.4,55.5,134,NA
,,,Col de Calaison,6.3,4.4,69.5,134,NA
,,,Cote de Peille,6.5,6.9,86.5,134,NA
,,,Col d'Eze,7.7,5.7,118.5,134,NA
8,criterium du dauphine,2014,Cote de Domancy,2.5,9.6,16.5,131.5,NA
,,,Col des Saises,13.4,5.2,47,131.5,NA
,,,Cote de Montagny,8,6.5,115.5,131.5,NA
,,,Montee de Courchevel Le Praz,5.9,6.2,131.5,131.5,NA
7,criterium du dauphine,2014,Cote des Gets,10.3,4.9,34,160,NA
,,,Col du Corbier,7.5,7.5,64,160,NA
,,,Pas de Morgins,6,5.7,88.5,160,NA
,,,Col de la Forclaz,12.6,8.2,142,160,NA
,,,Montee de Finhaut-Emosson,10.2,8,160,160,NA
6,criterium du dauphine,2014,Cote de la Betaz,1.5,4.4,89.5,178.5,NA
,,,Cote de Marcellax-Albanais,4.6,4.1,159,178.5,NA
,,,Cote de Ronzy,1.7,6.3,151,178.5,NA
5,criterium du dauphine,2014,Col de Manse,6.6,6.2,68.5,189.5,NA
,,,Cote du Motty,2.3,8.1,100,189.5,NA
,,,Cote du Pont-Haut,2.7,7.4,125.5,189.5,NA
,,,Col de Malissol,2,8.8,135,189.5,NA
,,,Col de la Morte,3.1,8.4,149.5,189.5,NA
,,,Cote de Laffrey,6.3,6.2,169,189.5,NA
4,criterium du dauphine,2014,Cote de Rosans,1.5,3.6,80.5,167.5,NA
,,,Col de Manse,9.6,5.2,155,167.5,NA
3,criterium du dauphine,2014,Cote de Lavet,8.7,4.4,28.5,194,NA
,,,Col de la Mure,3.8,6.3,148,194,NA
2,criterium du dauphine,2014,Cote de Saint-Marcel-l'Eclaire,5.5,6.1,5.5,156,NA
,,,Cote d'Albigny,2.3,5.5,16.5,156,NA
,,,Cote de Bard,6.3,5.3,90.5,156,NA
,,,Col de la Croix de l'Homme Mort,5.6,5.6,100.5,156,NA
,,,Col des Pradeaux,7.3,3.6,115,156,NA
,,,Col du Beal,13.6,6.6,156,156,NA
1,criterium du dauphine,2014,None,0,0,0,10.4,NA
8,criterium du dauphine,2015,Cote de'Henry-sur-Ugine,2.7,6.1,25.5,156.5,NA
,,,Cote d'Aiton,1.4,6.7,65.5,156.5,NA
,,,Cote de Saint-Georges-d'Hurtieres,4.6,5.4,76,156.5,NA
,,,Lacets de Montvernier,3.4,8.2,108,156.5,NA
,,,Cote de Saint-Andre,3,7,142,156.5,NA
,,,Modane Valfrejus,8.4,5.7,156.5,156.5,NA
7,criterium du dauphine,2015,Col de Tamie,8.5,6.4,37.5,155,NA
,,,Col de la Forclaz,8.1,7.8,60,155,NA
,,,Col de la Croix Fry,11.3,7,94.5,155,NA
,,,Col des Aravis,4.3,5.8,103,155,NA
,,,Cote des Amerands,2.7,11.2,145,155,NA
,,,Montee du Bettex,7,7.7,155,155,NA
6,criterium du dauphine,2015,Rampe du Motty,2.3,8.3,20,183,NA
,,,Cote du Barrage du Sautet,2.2,4.4,28.5,183,NA
