TOUR,YEAR,STAGE,ORDER,CAT,AT_KM,KM,GRADIENT,NAME
France,2018,17,1,1,15,14.9,0.067,Peyresourde
France,2017,15,1,1,28.5,8.9,0.064,Naves d'Aubrac
France,2017,13,1,1,31,5.6,0.073,Latrape
France,2016,19,1,1,42.5,10.2,0.065,Forclaz Montmin
France,2016,15,1,1,23,6,0.081,Bethiand
France,2016,10,1,1,24,22.6,0.055,d'Envalira
France,2016,9,1,1,19,13.7,0.061,Bonaigua
France,2015,19,1,1,15.5,15.4,0.063,du Chaussy
France,2014,17,1,1,57.5,8.3,0.071,Portillon
France,2014,14,1,1,82,34,0.034,Lautaret
France,2018,17,2,1,37,7.4,0.083,Azet
France,2018,10,2,1,43,11.3,0.07,Croix Fry
France,2017,18,2,1,129.5,9.3,0.075,de Vars
France,2017,13,2,1,46.5,10,0.082,d'Agnes
France,2017,5,2,1,160.5,5.9,0.085,Planche de Belles Filles
France,2016,20,2,1,45.5,11.7,0.06,Colombiere
France,2016,9,2,1,87.5,19,0.054,Port del Canto
France,2016,7,2,1,155.5,12,0.065,d'Aspin
France,2015,12,2,1,93,14.1,0.057,de la Core
France,2014,17,2,1,82,13.2,0.07,Peyresourde
France,2014,13,2,1,152,14.1,0.061,Palaquit
France,2014,10,2,1,54.5,9.3,0.081,Petit Ballon
France,2013,9,2,1,44,7,0.077,Mente
France,2018,19,3,1,78.5,12,0.065,d'Aspin
France,2018,15,3,1,140,12.3,0.063,de Nore
France,2017,17,3,1,132.5,11.9,0.071,Telegraphe
France,2017,15,3,1,158,8.3,0.074,Peyre Taillade
France,2017,13,3,1,74,9.3,0.079,Peguere
France,2017,12,3,1,139.5,6.9,0.081,Mente
France,2017,8,3,1,175.5,11.7,0.064,de la Combe
France,2016,20,3,1,93.5,13.9,0.071,de la Ramiz
France,2016,17,3,1,166.5,13,0.07,de la Forclaz
France,2016,8,3,1,148,10.7,0.068,Azet
France,2015,12,3,1,144,12.9,0.06,Port de Lers
France,2014,17,3,1,102.5,7.4,0.083,Azet
France,2014,14,3,1,177,12.6,0.069,Risoul
France,2014,10,3,1,71.5,7.1,0.084,Platzerwasel
France,2013,9,3,1,87.5,13.2,0.07,Peyresourde
France,2013,8,3,1,193.5,7.8,0.082,Ax 3 Domaines
France,2018,16,4,1,171,6.9,0.081,Mente
France,2018,11,4,1,108.5,17.6,0.058,La Rosiere
France,2018,10,4,1,130,8.8,0.089,de Romme
France,2016,19,4,1,146,9.6,0.08,Mont Blanc
France,2016,9,4,1,157,6.4,0.085,de Beixalis
France,2016,8,4,1,168.5,7.1,0.078,Peyresourde
France,2015,19,4,1,138,18,0.061,La Toussuire
France,2015,17,4,1,139,14,0.055,d'Allos
France,2015,11,4,1,117,12,0.065,d'Aspin
France,2013,19,4,1,165,6.1,0.073,l'Epine
France,2013,9,4,1,107.5,7.4,0.085,Azet
France,2018,16,5,1,208,8.3,0.071,Portillon
France,2018,10,5,1,144,7.5,0.085,Colombiere
France,2017,12,5,1,209.5,9.7,0.078,Peyresourde
France,2014,9,5,1,120,10.8,0.054,Le Markstein
France,2013,20,5,1,78.5,15.9,0.056,Mont Revard
France,2013,19,5,1,191.5,11.3,0.07,Croix Fry
France,2013,9,5,1,135,9.9,0.075,d'Ancizan
France,2016,15,6,1,146,8.4,0.076,Lacets Grand Colombier
France,2014,10,6,1,143.5,3.5,0.095,Chevreres
France,2014,10,7,1,161.5,5.9,0.085,Planche de Belles Filles
France,2017,17,1,2,30,,,d'Ornon
France,2017,9,1,2,3.5,,,des Neyrolles
France,2016,20,1,2,21,,,des Aravis
France,2015,16,1,2,130,9.1,0.046,de Cabre
France,2015,12,1,2,57.5,14.3,0.042,Portet d'Aspet
France,2014,10,1,2,30.5,,,Firstplan
France,2014,9,1,2,11.5,8.6,0.045,
France,2014,8,1,2,142,7.6,0.06,
France,2013,20,1,2,12.5,5.4,0.059,
France,2013,18,1,2,13,6.6,0.062,Manse
France,2013,9,1,2,28.5,5.4,0.069,Portet d'Aspet
France,2018,15,2,2,64.5,10.2,0.049,Sie
France,2018,14,2,2,129,9.1,0.053,Croix de Berthel
France,2018,12,2,2,83,3.4,0.082,Montvernier
France,2017,12,2,2,111.5,,,des Ares
France,2017,8,2,2,138.5,,,de Viry
France,2016,19,2,2,73.5,5.4,0.08,Forclaz Quiege
France,2016,15,2,2,52,8.8,0.056,du Sappel
France,2016,8,2,2,120,8.2,0.049,d'Ancizan
France,2015,16,2,2,189,8.9,0.056,de Manse
France,2015,14,2,2,146,9,0.06,Sauveterre
France,2014,8,2,2,150,3,0.075,
France,2013,16,2,2,48,7.6,0.052,
France,2013,7,2,2,94.5,6.7,0.065,
France,2018,16,3,2,155.5,5.4,0.071,Portet d'Aspet
France,2018,11,3,2,70,5.7,0.065,Roselend
France,2016,9,3,2,143,4.2,0.082,Comella
France,2015,19,3,2,103,5.7,0.068,Mollard
France,2015,17,3,2,96,11,0.052,
France,2014,16,3,2,155,5.3,0.082,Portet d'Aspet
France,2013,19,3,2,143,8.6,0.062,Tamie
France,2013,18,3,2,95,5.1,0.067,d'Ornon
France,2013,16,3,2,156.5,9.5,0.052,Manse
France,2013,2,3,2,95.5,4.6,0.065,
France,2018,14,4,2,186.5,3,0.102,de la Croix Neuve
France,2016,5,4,2,185,5.4,0.091,Puy Mary
France,2015,18,4,2,85,3.1,0.084,de la Morte
France,2015,15,4,2,126.5,7.9,0.058,l'Escrinet
France,2015,14,4,2,176.5,3,0.101,de la Croix Neuve
France,2014,10,4,2,103.5,6.7,0.061,d'Oderen
France,2014,9,4,2,86,4.1,0.079,
France,2013,3,4,2,132,3.3,0.081,
France,2018,19,5,2,159.5,8.6,0.058,Borderes
France,2016,5,5,2,201.5,4.4,0.079,Perthus
France,2015,17,5,2,161,6.2,0.065,Pra Loup
France,2014,2,5,2,143.5,,,
France,2013,18,5,2,131.5,3,0.078,Sarenne
France,2017,12,6,2,214.5,2.4,0.084,Peyragudes
France,2015,18,6,2,176.5,3.4,0.082,Lacets de Montvernier
France,2018,15,1,3,9,3.1,0.059,
France,2018,13,1,3,32.5,2.4,0.069,
France,2018,6,1,3,44,1.5,0.07,
France,2017,19,1,3,26,,,
France,2017,18,1,3,60,,,
France,2017,16,1,3,20.5,,,
France,2017,14,1,3,131,,,
France,2017,8,1,3,101.5,,,
France,2017,5,1,3,107.5,,,
France,2016,17,1,3,72.5,,,
France,2016,6,1,3,62,,,
France,2015,18,1,3,35.5,6.3,0.07,
France,2015,17,1,3,40,6,0.053,
France,2015,15,1,3,9.5,4.6,0.051,
France,2015,13,1,3,131,,,
France,2015,11,1,3,48.5,,,
France,2014,18,1,3,28,,,
France,2014,13,1,3,24,,,
France,2014,11,1,3,141,,,
France,2013,16,1,3,17.5,5.7,0.056,
France,2013,7,1,3,80,6.9,0.056,
France,2013,5,1,3,22,1.4,0.084,
France,2013,2,1,3,70,6.6,0.046,
France,2017,19,2,3,43,,,
France,2017,15,2,3,43.5,,,
France,2017,14,2,3,145,,,
France,2017,9,2,3,11,,,
France,2016,17,2,3,105,,,
France,2016,12,2,3,135.5,,,
France,2016,10,2,3,190,1.8,0.066,
France,2016,5,2,3,142.5,,,
France,2015,18,2,3,60.5,2.3,0.083,
France,2015,17,2,3,67,6.1,0.031,
France,2015,8,2,3,181.5,2,0.069,Mur de Bretagne
France,2014,18,2,3,56,,,
France,2014,12,2,3,83,,,
France,2014,11,2,3,148.5,,,
France,2014,9,2,3,41,7.7,0.041,
France,2014,2,2,3,85,,,
France,2014,1,2,3,103.5,,,
France,2013,20,2,3,17.5,3.6,0.061,
France,2013,18,2,3,45,2.4,0.08,
France,2013,3,2,3,58,7.5,0.054,
France,2013,2,2,3,85,5.2,0.069,
France,2018,14,3,3,142,3.3,0.063,
France,2018,6,3,3,165,2,0.069,Mur de Bretagne
France,2018,5,3,3,140.5,1.9,0.066,
France,2017,19,3,3,177.5,,,
France,2017,3,3,3,120.5,,,
France,2016,15,3,3,63.5,4.9,0.058,
France,2016,6,3,3,149,,,
France,2016,5,3,3,173.5,,,
France,2015,18,3,3,70.5,2.7,0.075,
France,2015,11,3,3,74.5,,,
France,2014,12,3,3,138,,,
France,2014,9,3,3,70,4.5,0.061,
France,2014,8,3,3,161,1.8,0.103,
France,2014,2,3,3,112.5,,,
France,2014,1,3,3,129.5,,,
France,2013,20,3,3,43,6,0.04,
France,2013,14,3,3,113,1.7,0.044,
France,2013,7,3,3,149,6.5,0.04,
France,2013,3,3,3,75,2,0.064,
France,2018,6,4,3,181,2,0.069,Mur de Bretagne
France,2018,5,4,3,158.5,3,0.062,
France,2016,15,4,3,79,5.1,0.054,
France,2016,2,4,3,181.5,2.6,0.062,La Glaciere
France,2015,3,4,3,159.5,1.3,0.096,Mur de Huy
France,2014,16,4,3,176.5,,,des Ares
France,2014,11,4,3,168,,,
France,2014,2,4,3,119.5,,,
France,2013,20,4,3,51,3.4,0.069,
France,2013,15,4,3,208,4.2,0.057,
France,2013,14,4,3,126.5,6.3,0.04,
France,2013,2,4,3,144,1,0.089,
France,2018,5,5,3,184.5,2.2,0.059,
France,2017,3,5,3,212.5,1.6,0.058,Longwy
France,2014,10,5,3,125.5,,,
France,2016,5,6,3,213.5,3.3,0.05,
France,2015,11,6,3,184.5,6.4,0.05,
France,2014,9,6,3,127,1.4,0.086,
France,2014,2,6,3,167,,,
France,2014,2,8,3,182,,,
France,2018,19,1,4,7,1.8,0.072,
France,2018,18,1,4,53.5,1.2,0.07,
France,2018,16,1,4,25,2.4,0.049,
France,2018,14,1,4,81,1,0.074,
France,2018,10,1,4,19,1.5,0.056,
France,2018,8,1,4,35,2,0.043,
France,2018,7,1,4,120,1.5,0.039,
France,2018,5,1,4,106,1.7,0.071,
France,2018,4,1,4,135.5,0.8,0.078,
France,2018,2,1,4,28,1,0.039,
France,2018,1,1,4,173,0.7,0.042,
France,2017,12,1,4,64,,,
France,2017,11,1,4,145.5,,,
France,2017,10,1,4,100.5,,,
France,2017,7,1,4,147.5,,,
France,2017,6,1,4,69,,,
France,2017,4,1,4,170.5,,,
France,2017,3,1,4,18,,,
France,2017,2,1,4,6.5,,,
France,2016,21,1,4,32.5,,,
France,2016,16,1,4,183.5,,,
France,2016,14,1,4,20.5,,,
France,2016,12,1,4,131.5,,,
France,2016,11,1,4,38,,,
France,2016,7,1,4,117,7.7,0.031,
France,2016,5,1,4,16.5,,,
France,2016,4,1,4,182,1.2,0.056,
France,2016,3,1,4,25.5,1.5,0.044,
France,2016,2,1,4,10,1.4,0.057,
France,2016,1,1,4,20.5,,,
France,2015,21,1,4,10.5,,,
France,2015,14,1,4,20,,,
France,2015,10,1,4,66,,,
France,2015,8,1,4,99.5,,,
France,2015,7,1,4,16.5,,,
France,2015,6,1,4,72,,,
France,2015,4,1,4,53,,,
France,2015,3,1,4,109,,,
France,2014,21,1,4,,,,
France,2014,19,1,4,,,,
France,2014,16,1,4,25,,,
France,2014,12,1,4,58.5,,,
France,2014,7,1,4,217.5,3.2,0.05,
France,2014,6,1,4,107.5,0.9,0.062,
France,2014,4,1,4,34,,,
France,2014,2,1,4,47,,,
France,2014,1,1,4,68,,,
France,2013,21,1,4,29.5,,,
France,2013,15,1,4,20.5,3.1,0.049,
France,2013,14,1,4,66.5,1.9,0.049,
France,2013,13,1,4,77.5,1.2,0.04,
France,2013,10,1,4,142,1,0.042,
France,2013,8,1,4,26.5,2.2,0.054,
France,2013,6,1,4,68,0.7,0.07,
France,2013,3,1,4,12,3.4,0.046,
France,2013,1,1,4,45.5,1.1,0.059,
France,2018,19,2,4,40,3.4,0.051,
France,2018,18,2,4,152.5,2.1,0.046,
France,2018,16,2,4,72,2.3,0.058,
France,2018,13,2,4,109.5,1.5,0.049,
France,2018,8,2,4,71.5,2.3,0.043,
France,2018,6,2,4,68.5,2.5,0.035,
France,2018,5,2,4,113,1.6,0.056,
France,2017,16,2,4,65,,,
France,2017,10,2,4,138.5,,,
France,2017,6,2,4,154,,,
France,2017,3,2,4,105.5,,,
France,2017,2,2,4,183,,,
France,2016,14,2,4,93.5,,,
France,2016,11,2,4,57,,,
France,2016,6,2,4,71.5,,,
France,2016,2,2,4,23,1.9,0.05,
France,2016,1,2,4,39,,,
France,2015,15,2,4,69.5,2.6,0.044,
France,2015,13,2,4,156.5,,,
France,2015,11,2,4,61.5,,,
France,2015,10,2,4,90,,,
France,2015,6,2,4,77.5,,,
France,2015,3,2,4,14,,,
France,2014,16,2,4,71.5,,,
France,2014,7,2,4,229,1.3,0.079,
France,2014,6,2,4,157,1.5,0.062,
France,2014,4,2,4,117.5,,,
France,2013,21,2,4,33.5,,,
France,2013,15,2,4,26.5,2.6,0.041,
France,2013,14,2,4,98.6,2.6,0.082,
France,2013,5,2,4,93,1.6,0.041,
France,2017,9,3,4,38,,,
France,2016,14,3,4,101.5,,,
France,2016,2,3,4,52,1.2,0.059,
France,2015,15,3,4,73.5,1.3,0.062,
France,2015,14,3,4,169.5,1.9,0.06,
France,2015,13,3,4,167,,,
France,2015,10,3,4,134,,,
France,2015,6,3,4,191.5,0.85,0.07,Le Havre
France,2015,3,3,4,154,,,
France,2014,11,3,4,152.5,,,
France,2013,15,3,4,143,2.1,0.038,
France,2013,5,3,4,154,3.5,0.042,
France,2017,15,4,4,176.5,,,
France,2017,3,4,4,197,,,
France,2014,12,4,4,164,,,
France,2013,7,4,4,171,2.6,0.05,
France,2013,5,4,4,198,5.7,0.031,
France,2013,14,5,4,161,2.5,0.04,
France,2017,9,6,4,134,,,
France,2013,14,6,4,176,1.6,0.041,
France,2014,2,7,4,175,,,
France,2013,14,7,4,181.5,1.8,0.045,
France,2014,2,9,4,196,0.8,0.108,
France,2018,12,1,HC,53.5,25.3,0.062,Madeleine
France,2018,11,1,HC,26,12.4,0.082,Bisanne
France,2016,8,1,HC,86,19,0.074,Tourmalet
France,2015,20,1,HC,56,29,0.052,Croix de Fer
France,2013,19,1,HC,33.5,21.6,0.051,Glandon
France,2018,11,2,HC,57.5,12.6,0.077,du Pre
France,2017,17,2,HC,78.5,24,0.052,Croix de Fer
France,2015,20,2,HC,110.5,13.8,0.081,Alpe d'Huez
France,2015,19,2,HC,83,22.4,0.069,Croix de Fer
France,2014,14,2,HC,132.5,19,0.066,d'Izoard
France,2013,19,2,HC,83.5,19.2,0.079,Madeleine
France,2013,8,2,HC,166,15.3,0.08,Pailheres
France,2018,17,3,HC,65,16,0.087,du Portet
France,2018,12,3,HC,121,29,0.052,Croix de Fer
France,2018,10,3,HC,68.5,6,0.112,Plateau des Glieres
France,2017,18,3,HC,179.5,14.1,0.073,d'Izoard
France,2016,19,3,HC,96.5,12.4,0.082,Bisanne
France,2016,12,3,HC,184,9.5,0.095,Mont Ventoux (shortened)
France,2014,18,3,HC,95.5,17.1,0.073,Tourmalet
France,2014,13,3,HC,197.5,18.2,0.073,Chamrousse
France,2018,19,4,HC,108,17.1,0.073,Tourmalet
France,2018,12,4,HC,175.5,13.8,0.081,Alpe d'Huez
France,2017,17,4,HC,155,17.7,0.069,Galibier
France,2017,12,4,HC,184,11.7,0.077,Port de Bales
France,2017,9,4,HC,67.5,10.5,0.09,de la Biche
France,2016,20,4,HC,134.5,11.6,0.085,Jouz Plane
France,2016,17,4,HC,184.5,10.4,0.084,Finhaut-Emosson
France,2015,12,4,HC,195,15.8,0.079,Plateau de Beille
France,2015,10,4,HC,166,15.3,0.074,la Pierre Saint Martin
France,2014,18,4,HC,145.5,13.6,0.078,Hautacam
France,2014,17,4,HC,124.5,10.2,0.083,Pla d'Adet
France,2013,18,4,HC,122.5,12.3,0.084,Alpe d'Huez
France,2017,9,5,HC,91,8.5,0.099,Grand Colombier
France,2016,15,5,HC,113,12.8,0.068,Grand Colombier
France,2016,9,5,HC,184.5,10.1,0.072,Arcalis
France,2015,18,5,HC,147,21.7,0.051,Glandon
France,2015,11,5,HC,147,17.1,0.073,Tourmalet
France,2014,16,5,HC,216,11.7,0.077,Port de Bales
France,2013,15,5,HC,242.5,20.8,0.075,Mont Ventoux
France,2018,19,6,HC,180.5,16.6,0.049,d'Aubisque
France,2013,20,6,HC,125,10.7,0.085,Semnoz
France,2013,18,6,HC,158.5,13.8,0.081,Alpe d'Huez
France,2017,9,7,HC,155.5,8.7,0.103,Monte du Chat
