eventid;race;marketid;title;pcs_url
1018573305;Amstel Gold Race 2022;2323157925;Winner;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323355480;Winner;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591520;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591521;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591522;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591523;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591524;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591525;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591526;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591527;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591528;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591529;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591530;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591531;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591532;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323591573;Best finishing position;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323597994;Team of winning rider;race/amstel-gold-race/2022
1018573305;Amstel Gold Race 2022;2323601256;Top 10 Finish;race/amstel-gold-race/2022
1019572565;Amstel Gold Race 2023;2377331530;Winner;race/amstel-gold-race/2023
1019572565;Amstel Gold Race 2023;2377487803;Winner;race/amstel-gold-race/2023
1019572565;Amstel Gold Race 2023;2377487809;To win;race/amstel-gold-race/2023
1019572565;Amstel Gold Race 2023;2377488178;Top 3 Finish;race/amstel-gold-race/2023
1019572565;Amstel Gold Race 2023;2377488181;Top 10 Finish;race/amstel-gold-race/2023
1019572565;Amstel Gold Race 2023;2377488202;Team of winning rider;race/amstel-gold-race/2023
1019572565;Amstel Gold Race 2023;2377492295;Top 10 Finish;race/amstel-gold-race/2023
1019572565;Amstel Gold Race 2023;2377549904;Top 6 Finish;race/amstel-gold-race/2023
1019572565;Amstel Gold Race 2023;2377550354;Top 6 Finish;race/amstel-gold-race/2023
1018587977;La Flèche Brabançonne 2022;2324222404;Winner;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324271062;Winner;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324275828;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324275829;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324275830;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324275831;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324275832;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324275833;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324275834;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324279404;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324302599;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324302762;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324303853;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324303969;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324439213;Best finishing position;race/brabantse-pijl/2022
1018587977;La Flèche Brabançonne 2022;2324439632;Best finishing position;race/brabantse-pijl/2022
1019568594;De Brabantse Pijl 2023;2377132252;Winner;race/brabantse-pijl/2023
1019568594;De Brabantse Pijl 2023;2377186454;Winner;race/brabantse-pijl/2023
1018516981;Bredene Koksijde Classic 2022;2319916470;Winner;race/bredene-koksijde-classic/2022
1018516981;Bredene Koksijde Classic 2022;2319924783;Winner;race/bredene-koksijde-classic/2022
1019505231;Bredene Koksijde Classic 2023;2373506037;Winner;race/bredene-koksijde-classic/2022
1019505231;Bredene Koksijde Classic 2023;2373521974;Winner;race/bredene-koksijde-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343223541;Winner;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226811;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226812;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226813;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226814;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226815;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226816;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226817;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226818;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226819;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226820;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226821;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343226822;Best finishing position;race/bretagne-classic/2022
1018966056;Bretagne Classic Ouest-France 2022;2343229902;Winner;race/bretagne-classic/2022
1018718463;Brussels Cycling Classic 2022;2332042614;Winner;race/brussels-cycling-classic/2022
1018718463;Brussels Cycling Classic 2022;2332111036;Winner;race/brussels-cycling-classic/2022
1019725893;Mont Ventoux Dénivelé Challenge 2023;2385418017;Winner;race/cic-mont-ventoux/2023
1019725893;Mont Ventoux Dénivelé Challenge 2023;2385419502;Winner;race/cic-mont-ventoux/2023
1018944997;Bemer Cyclassic 2022;2342225322;Winner;race/cyclassics-hamburg/2022
1018944997;Bemer Cyclassic 2022;2342225771;Winner;race/cyclassics-hamburg/2022
1018944997;Bemer Cyclassic 2022;2342225919;Best finishing position;race/cyclassics-hamburg/2022
1018944997;Bemer Cyclassic 2022;2342225920;Best finishing position;race/cyclassics-hamburg/2022
1018944997;Bemer Cyclassic 2022;2342225921;Best finishing position;race/cyclassics-hamburg/2022
1018944997;Bemer Cyclassic 2022;2342225922;Best finishing position;race/cyclassics-hamburg/2022
1018944997;Bemer Cyclassic 2022;2342225923;Best finishing position;race/cyclassics-hamburg/2022
1018944997;Bemer Cyclassic 2022;2342225924;Best finishing position;race/cyclassics-hamburg/2022
1018944997;Bemer Cyclassic 2022;2342225925;Best finishing position;race/cyclassics-hamburg/2022
1018944997;Bemer Cyclassic 2022;2342225926;Best finishing position;race/cyclassics-hamburg/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2331974014;Winner;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034269;Winner;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034787;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034788;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034789;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034790;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034791;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034792;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034793;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034794;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034795;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034796;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034797;Best finishing position;race/dauphine/2022
1018717872;General Classification (Criterium du Dauphiné 2022);2332034798;Best finishing position;race/dauphine/2022
1018717873;Stage 1 (Criterium du Dauphiné 2022);2331981798;Winner;race/dauphine/2022
1018717873;Stage 1 (Criterium du Dauphiné 2022);2331982712;Winner;race/dauphine/2022
1018717873;Stage 1 (Criterium du Dauphiné 2022);2332038283;Best finishing position;race/dauphine/2022
1018717873;Stage 1 (Criterium du Dauphiné 2022);2332038284;Best finishing position;race/dauphine/2022
1018717873;Stage 1 (Criterium du Dauphiné 2022);2332038285;Best finishing position;race/dauphine/2022
