stage,race,year,uphill_finish
1,kuurne-bruxelles-kuurne,2020,FALSE
1,g.p. camaiore,2013,FALSE
1,rund um den finanzplatz eschborn-frankfurt,2013,FALSE
1,grand prix cycliste la marseillaise,2016,FALSE
1,world championships - road race,2013,FALSE
1,royal bernard drome classic,2020,FALSE
1,vuelta a la comunidad de madrid,2013,TRUE
1,cyclassics hamburg,2016,FALSE
1,cyclassics hamburg,2017,FALSE
1,dwars door vlaanderen / a travers la flandre,2015,FALSE
1,gent - wevelgem,2015,FALSE
1,giro del piemonte,2015,FALSE
1,giro dell'emilia,2013,TRUE
1,giro dell'emilia,2014,TRUE
1,giro dell'emilia,2015,TRUE
1,gp ouest france - plouay,2015,FALSE
1,gran premio bruno beghelli,2014,FALSE
1,gran premio bruno beghelli,2015,FALSE
1,gran premio miguel indurain,2015,TRUE
1,grand prix cycliste de montreal,2014,FALSE
1,grand prix cycliste de quebec,2014,TRUE
1,grand prix de wallonie,2016,TRUE
1,japan cup cycle road race,2013,FALSE
1,japan cup cycle road race,2014,FALSE
1,japan cup cycle road race,2015,FALSE
1,japan cup cycle road race,2016,FALSE
1,memorial marco pantani,2015,FALSE
1,milano-torino,2013,TRUE
1,milano-torino,2014,TRUE
1,milano-torino,2015,TRUE
1,paris - tours,2013,FALSE
1,paris - tours elite,2014,FALSE
1,paris - tours elite,2015,FALSE
1,paris - tours elite,2016,FALSE
1,riga - jurmala grand prix,2013,FALSE
1,tre valli varesine,2013,TRUE
1,tre valli varesine,2014,FALSE
1,vattenfall cyclassics,2015,FALSE
1,vuelta a burgos,2013,TRUE
2,vuelta a burgos,2013,FALSE
3,vuelta a burgos,2013,TRUE
4,vuelta a burgos,2013,FALSE
5,vuelta a burgos,2013,TRUE
1,world championships - road race,2017,FALSE
