WCS_Rider,PCS_Rider
"De Vreese, Laurens",De Vreese Laurens
"Haas, Nathan",Haas Nathan
"Gerrans, Simon",Gerrans Simon
"McCarthy, Jay",McCarthy Jay
"Gonçalves, José",Gonçalves José
"De Gendt, Thomas",De Gendt Thomas
"Bakelants, Jan",Bakelants Jan
"Restrepo, Jhonatan",Restrepo Jhonatan
"Swift, Ben",Swift Ben
"De Bie, Sean",De Bie Sean
"Sütterlin, Jasha",Sütterlin Jasha
"Kolár, Michal",Kolár Michal
"Selig, Rüdiger",Selig Rüdiger
"Porte, Richie",Porte Richie
"Chaves, Esteban",Chaves Esteban
"Izagirre, Gorka",Izagirre Gorka
"Kelderman, Wilco",Kelderman Wilco
"Pozzovivo, Domenico",Pozzovivo Domenico
"Guerreiro, Ruben",Guerreiro Ruben
"Maison, Jérémy",Maison Jérémy
"Chevrier, Clément",Chevrier Clément
"Laengen, Vegard",Laengen Vegard
"Bauer, Jack",Bauer Jack
"Meyer, Cameron",Meyer Cameron
"Cink, Ondrej",Cink Ondrej
"Clarke, Will",Clarke Will
"Visconti, Giovanni",Visconti Giovanni
"Hamilton, Chris",Hamilton Chris
"Ulissi, Diego",Ulissi Diego
"Earle, Nathan",Earle Nathan
"Ewan, Caleb",Ewan Caleb
"Sagan, Peter",Sagan Peter
"Fröhlinger, Johannes",Fröhlinger Johannes
"Venter, Jaco",Venter Jaco
"Hansen, Adam",Hansen Adam
"Howes, Alex",Howes Alex
"O'Connor, Ben",O'Connor Ben
"Franco, Lopez",Franco Lopez
"Rodriguez, Leonardo",Rodriguez Leonardo
"Ramos, Rubén",Ramos Rubén
"Lucero, Higiño",Lucero Higiño
"González, Pedro",González Pedro
"Azzem, Omar",Azzem Omar
"Javier, Gaston",Javier Gaston
"Rivera, José Luis",Rivera José Luis
"Cabrera, Antonio",Cabrera Antonio
"Gaviria, Fernando",Gaviria Fernando
"Naranjo, Nicolás",Naranjo Nicolás
"Tivani, Gerardo",Tivani Gerardo
"Moyano, Enzo xxx",Moyano Enzo xxx
"Escuela, Ricardo",Escuela Ricardo
"Lucero, Héctor",Lucero Héctor
"Ibarra, Emiliano",Ibarra Emiliano
"Juárez, Daniel",Juárez Daniel
"Ramírez, Brayan",Ramírez Brayan
"Vega, Sergio",Vega Sergio
"Viel, Mattia",Viel Mattia
"Sartassov, Andrei",Sartassov Andrei
"Costa, Rui",Costa Rui
"Torres, Rodolfo",Torres Rodolfo
"Sevilla, Óscar",Sevilla Óscar
"Mollema, Bauke",Mollema Bauke
"Bernal, Egan",Bernal Egan
"Molina, Juan",Molina Juan
"Boaro, Manuele",Boaro Manuele
"Tivani, Nicolas",Tivani Nicolas
"Richeze, Maximiliano",Richeze Maximiliano
"Troia, Oliviero",Troia Oliviero
"Navardauskas, Ramunas",Navardauskas Ramunas
"Barrientos, Julian",Barrientos Julian
"Dotti, Juan Pablo",Dotti Juan Pablo
