stage,race,race_standard,year,class,time_trial,one_day_race,grand_tour,type,sof,tt,classics,n
1,abu dhabi tour,UAE Tour,2017,2.UWT,0,0,0,-135.6038836,-0.871930786,-4.368783203,-16.17145925,10
1,abu dhabi tour,UAE Tour,2018,2.UWT,0,0,0,-225.9545681,28.68077543,-24.61743507,-15.65032122,9
2,abu dhabi tour,UAE Tour,2017,2.UWT,0,0,0,-170.0852303,4.337280856,-7.116824137,-25.07476731,10
2,abu dhabi tour,UAE Tour,2018,2.UWT,0,0,0,-186.9322511,19.81058352,-27.6460178,-3.346630206,10
3,abu dhabi tour,UAE Tour,2017,2.UWT,0,0,0,77.61808832,197.5075896,-24.7131977,-27.22137611,10
3,abu dhabi tour,UAE Tour,2018,2.UWT,0,0,0,-239.1947797,28.24356206,-30.82156289,-17.15384007,10
4,abu dhabi tour,UAE Tour,2017,2.UWT,0,0,0,-98.39513569,18.22447374,-13.23689342,1.43271768,10
4,abu dhabi tour,UAE Tour,2018,2.UWT,1,0,0,34.25911541,80.96483878,-33.09088234,15.17337148,9
5,abu dhabi tour,UAE Tour,2018,2.UWT,0,0,0,55.5300588,176.0231943,22.10234111,-12.5733962,8
1,amgen tour of california,Tour of California,2017,2.UWT,0,0,0,-163.9824759,34.43412582,-7.816285395,29.89730393,10
1,amgen tour of california,Tour of California,2018,2.UWT,0,0,0,-184.7854928,46.06735866,-22.0045247,48.25064444,9
1,amgen tour of california,Tour of California,2019,2.UWT,0,0,0,-89.60937039,18.51474135,-10.17316327,35.9327498,10
2,amgen tour of california,Tour of California,2017,2.UWT,0,0,0,37.17896881,25.86529829,-14.03200847,-8.387825239,9
2,amgen tour of california,Tour of California,2018,2.UWT,0,0,0,36.0682498,60.86357995,-9.409296864,-14.73595049,6
2,amgen tour of california,Tour of California,2019,2.UWT,0,0,0,37.86442855,33.25684448,-13.03166604,-6.360774062,9
3,amgen tour of california,Tour of California,2017,2.UWT,0,0,0,-141.8108692,35.12929441,-20.48034126,54.44942384,10
3,amgen tour of california,Tour of California,2018,2.UWT,0,0,0,-45.89933743,54.36062607,-8.985920583,35.77783778,8
3,amgen tour of california,Tour of California,2019,2.UWT,0,0,0,6.091559548,0.035902929,1.383542411,15.41466684,8
4,amgen tour of california,Tour of California,2017,2.UWT,0,0,0,-153.25116,47.8081185,-15.82522785,51.64982654,7
4,amgen tour of california,Tour of California,2018,2.UWT,1,0,0,19.65370566,7.348356425,-14.35123651,2.822823908,6
4,amgen tour of california,Tour of California,2019,2.UWT,0,0,0,-121.6345538,24.62876545,-12.4941177,14.56544935,10
5,amgen tour of california,Tour of California,2017,2.UWT,0,0,0,33.60775523,25.31654365,-12.80517862,-7.581180028,8
5,amgen tour of california,Tour of California,2018,2.UWT,0,0,0,-143.6414131,42.44713634,-15.16912804,53.37641184,7
5,amgen tour of california,Tour of California,2019,2.UWT,0,0,0,-32.6590151,2.376241889,5.555073662,-14.11609057,7
6,amgen tour of california,Tour of California,2017,2.UWT,1,0,0,-29.79309198,32.66691079,-16.48504094,41.81801264,8
6,amgen tour of california,Tour of California,2018,2.UWT,0,0,0,39.23277847,59.78451815,-10.36552494,-15.07272846,7
6,amgen tour of california,Tour of California,2019,2.UWT,0,0,0,35.06707557,24.22066828,-24.74824773,3.16454674,9
7,amgen tour of california,Tour of California,2017,2.UWT,0,0,0,-87.2816257,42.220577,1.651997886,48.43372561,6
7,amgen tour of california,Tour of California,2018,2.UWT,0,0,0,-153.0143291,44.79097883,-17.10571729,49.05643586,7
7,amgen tour of california,Tour of California,2019,2.UWT,0,0,0,-80.90725966,15.33992933,-13.27965884,30.54948743,9
